ISO,country_name,Direct,Indirect,Total
CHN,China,0.11375019052130228,0.037754395384974264,0.15150458590627655
MEX,Mexico,0.059418558769733794,0.039044542291192794,0.09846310106092658
CAN,Canada,0.027616678068120647,0.058333232903743204,0.08594991097186386
VNM,Vietnam,0.031856999751917595,0.00908192869727645,0.04093892844919404
IRL,Ireland,0.01918162359859215,0.009976711061852788,0.029158334660444936
DEU,Germany,0.016835703931630103,0.011904933573519605,0.028740637505149706
JPN,Japan,0.015013679272924229,0.011427901975723758,0.026441581248647983
IND,India,0.017202593889783232,0.009038358272822266,0.026240952162605496
KOR,South Korea,0.012639942646314285,0.011028953016576198,0.02366889566289048
ITA,Italy,0.01430947490273297,0.005853318315061177,0.02016279321779415
TWN,Taiwan,0.008535895198369723,0.009544148724666144,0.018080043923035867
THA,Thailand,0.00789223635894143,0.005955360331914603,0.013847596690856032
ISR,Israel,0.007259228777990334,0.005892009715575713,0.013151238493566047
CHE,Switzerland,0.007628942740370123,0.005114134132553219,0.012743076872923342
FRA,France,0.008561261027919303,0.004085567458909076,0.01264682848682838
SGP,Singapore,0.008106226257352132,0.003689665221944861,0.011795891479296994
IDN,Indonesia,0.008519183711848394,0.0028193324933115027,0.011338516205159898
GBR,United Kingdom,0.006495708005256699,0.0044953569808170255,0.010991064986073724
BRA,Brazil,0.0035472706104151476,0.006750833083166434,0.010298103693581582
ESP,Spain,0.005927453645515593,0.002415078583877327,0.008342532229392921
NLD,Netherlands,0.004760810428600451,0.0032906493259581902,0.008051459754558642
MYS,Malaysia,0.0036688254172122345,0.004271998735994908,0.007940824153207144
BEL,Belgium,0.004473163389481899,0.0023527754805239697,0.006825938870005869
KHM,Cambodia,0.0056242257538469675,0.00047270845163890646,0.006096934205485874
BGD,Bangladesh,0.0053977433248934455,5.826021675165044e-05,0.005456003541645095
COL,Colombia,0.0018102247526580754,0.00315256003300704,0.004962784785665116
ARG,Argentina,0.002263177885160779,0.0026534664268698916,0.004916644312030671
TUR,Türkiye,0.002788281082946813,0.0018732682302389503,0.004661549313185764
AUS,Australia,0.0026307921389488124,0.001998232210104836,0.004629024349053648
CHL,Chile,0.0014588803710283166,0.0028827915860390294,0.004341671957067346
CRI,Costa Rica,0.0012796157026742027,0.0021670453301230607,0.003446661032797263
PER,Peru,0.0019924466942343156,0.0014120360530895568,0.003404482747323872
SAU,Saudi Arabia,0.00025198733986537555,0.0029943329323819192,0.0032463202722472946
AUT,Austria,0.001726430167320183,0.0014770685106116036,0.003203498677931787
PHL,Philippines,0.0018794991042631727,0.0012085606520228478,0.0030880597562860206
SWE,Sweden,0.001658579005915452,0.0013995570938993027,0.003058136099814755
DOM,Dominican Republic,0.001941447597894708,0.0009623148449421866,0.0029037624428368946
PAK,Pakistan,0.0022336335960350382,0.0004087274901509726,0.0026423610861860108
ECU,Ecuador,0.000797114451470247,0.0018136892748763316,0.0026108037263465785
HUN,Hungary,0.0016529187398987978,0.0009425726791880343,0.002595491419086832
HND,Honduras,0.0020859681521553076,0.0005081043002560785,0.0025940724524113863
GTM,Guatemala,0.0019329784977608888,0.0005602024685301298,0.0024931809662910188
POL,Poland,0.0012831173985021003,0.001158999121456442,0.0024421165199585426
DNK,Denmark,0.001387542924039231,0.0009176633833512961,0.0023052063073905273
ZAF,South Africa,0.0009035264675065124,0.0014009654218815307,0.0023044918893880433
NIC,Nicaragua,0.00187166085888954,0.0004206085540677282,0.002292269412957268
PRT,Portugal,0.0014705977543239426,0.0006749632742394881,0.002145561028563431
NZL,New Zealand,0.0012418709910444537,0.0008675453777171753,0.002109416368761629
IRQ,Iraq,0.00010669590400134676,0.00183080481862501,0.0019375007226263567
SVN,Slovenia,0.001296926394673602,0.0005758055067845611,0.001872731901458163
JOR,Jordan,0.0016323731591114613,0.0002377576459204453,0.0018701308050319064
FIN,Finland,0.0008878775886519192,0.0009393391917287093,0.0018272167803806286
NOR,Norway,0.0008108192465192041,0.0009896863918274475,0.0018005056383466514
LKA,Sri Lanka,0.0014175316361210246,0.00013874055902410843,0.001556272195145133
VEN,Venezuela,5.4905105256370186e-05,0.0014253733844019417,0.001480278489658312
NGA,Nigeria,8.657628626568815e-05,0.0013417227448715156,0.0014282990311372038
ARE,United Arab Emirates,0.00035401843862528236,0.0009760937824133488,0.0013301122210386312
CZE,Czechia,0.0006047680442919326,0.0007131318847175727,0.0013178999290095054
GUY,Guyana,1.3832408087087164e-05,0.0012635892401673824,0.0012774216482544694
SLV,El Salvador,0.0010324635565234568,0.00013748965206363174,0.0011699532085870886
EGY,Egypt,0.0009629252005790653,0.00020455963973665294,0.0011674848403157182
ROU,Romania,0.00045512410134348525,0.0003738476184789158,0.000828971719822401
HKG,Hong Kong,0.0005287669751379597,0.0002587767191806887,0.0007875436943186485
TTO,Trinidad and Tobago,7.043369632072113e-05,0.0006976803756702622,0.0007681140719909833
DZA,Algeria,0.000142050831334444,0.0006170230719137536,0.0007590739032481977
SVK,Slovakia,0.000542365920921315,0.0001977162513572415,0.0007400821722785565
RUS,Russia,0.0003306543126700593,0.0003635730422059093,0.0006942273548759686
GRC,Greece,0.0004019988614230886,0.0002727014245253957,0.0006747002859484844
LTU,Lithuania,0.00036497656437484464,0.00022718343890330663,0.0005921600032781513
MAR,Morocco,0.0003459387635432464,0.00020554039884241893,0.0005514791623856653
CIV,Cote d'Ivoire,0.0002619668253023797,0.0002245011919316654,0.00048646801723404513
KWT,Kuwait,5.9776265085875985e-05,0.0004188237628024636,0.0004786000278883395
URY,Uruguay,0.0002382644690201364,0.0002184852931083462,0.0004567497621284826
AGO,Angola,2.8345030497886155e-05,0.000424077440601141,0.0004524224710990272
KAZ,Kazakhstan,5.10456433951691e-05,0.0004008479565867937,0.0004518935999819628
QAT,Qatar,8.91760147491549e-05,0.0003321418219427128,0.0004213178366918677
KEN,Kenya,0.00037548127515857544,2.866278184139359e-05,0.00040414405699996903
ISL,Iceland,0.0001771223594622226,0.0002148551731902733,0.00039197753265249585
HTI,Haiti,0.000374525219316442,4.673665393607649e-06,0.00037919888471004966
BGR,Bulgaria,0.00024082759619760625,0.0001373388759080543,0.00037816647210566054
TUN,Tunisia,0.0002351908611563952,0.00013377954744907126,0.00036897040860546645
MMR,Myanmar,0.00033607266769245073,2.8541001403605493e-05,0.0003646136690960562
GHA,Ghana,0.00010727867530548772,0.000246349566260751,0.00035362824156623873
LBY,Libya,9.976115111802351e-08,0.00034983583902964855,0.0003499356001807666
MDG,Madagascar,0.00028537767155915395,4.694404463141227e-05,0.0003323217161905662
UKR,Ukraine,0.0001278501221441999,0.0001880718733924422,0.0003159219955366421
BHS,Bahamas,5.6584616858714295e-05,0.00023510061131262728,0.00029168522817134155
OMN,Oman,0.00012931895758842298,0.00014938988846156735,0.00027870884604999034
HRV,Croatia,0.00015876590988753877,9.150400232673989e-05,0.0002502699122142787
BHR,Bahrain,5.091521220863801e-05,0.0001529499660847039,0.00020386517829334188
ETH,Ethiopia,0.00016550218775136243,3.784641146541503e-05,0.00020334859921677744
SRB,Serbia,0.0001024772183688901,9.450818939766628e-05,0.00019698540776655636
LAO,Laos,0.00012402466703904138,6.321160298330099e-05,0.0001872362700223424
EST,Estonia,7.920813675858768e-05,7.294225910399517e-05,0.00015215039586258285
LVA,Latvia,7.86467570478232e-05,6.673931920305281e-05,0.000145386076250876
FJI,Fiji,0.00010301385101557012,3.553447889931896e-05,0.00013854832991488908
PRY,Paraguay,7.614647446606703e-05,5.3812455453474176e-05,0.00012995892991954122
FRO,Faroe Islands,4.506046659184814e-05,8.221343217235504e-05,0.00012727389876420316
JAM,Jamaica,6.626243727124196e-05,5.735369537874387e-05,0.00012361613264998583
PAN,Panama,5.36501582285153e-05,6.843626968395982e-05,0.00012208642791247513
LSO,Lesotho,0.00011631162144865253,1.5065582261295804e-06,0.00011781817967478211
LUX,Luxembourg,4.1888606119797774e-05,7.331396093603706e-05,0.00011520256705583484
MUS,Mauritius,6.121844199438822e-05,4.2899952562544905e-05,0.0001041183945569331
BWA,Botswana,9.863159814647278e-05,3.2935896213573565e-06,0.00010192518776783014
BOL,Bolivia,3.820855226819752e-05,6.10278202978238e-05,9.923637256602131e-05
TZA,Tanzania,7.677448821504326e-05,1.5217599342236067e-05,9.199208755727932e-05
LBN,Lebanon,5.352668914573159e-05,2.4243324615513196e-05,7.777001376124478e-05
CMR,Cameroon,1.981212773016959e-05,5.046148093085913e-05,7.027360866102872e-05
