NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
306,Funeral and burial services,12,Services,Household consumption expenditures (for services),Other services,Professional and other services,Funeral and burial services,,,,,,186
309,Hairdressing salons and personal grooming establishments,14,Services,Household consumption expenditures (for services),Other services,Personal care and clothing services,Personal care services,Hairdressing salons and personal grooming establishments,,,,,187
310,Miscellaneous personal care services,14,Services,Household consumption expenditures (for services),Other services,Personal care and clothing services,Personal care services,Miscellaneous personal care services,,,,,188
312,Laundry and drycleaning services,14,Services,Household consumption expenditures (for services),Other services,Personal care and clothing services,Clothing and footwear services,Laundry and drycleaning services,,,,,189
313,"Clothing repair, rental, and alterations",14,Services,Household consumption expenditures (for services),Other services,Personal care and clothing services,Clothing and footwear services,"Clothing repair, rental, and alterations",,,,,190
314,Repair and hire of footwear,14,Services,Household consumption expenditures (for services),Other services,Personal care and clothing services,Clothing and footwear services,Repair and hire of footwear,,,,,191
316,Child care,12,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Child care,,,,,,192
318,Homes for the elderly,14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,Homes for the elderly,,,,,193
319,Residential mental health and substance abuse,14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,Residential mental health and substance abuse,,,,,194
320,Individual and family services,14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,Individual and family services,,,,,195
321,Vocational rehabilitation services,14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,Vocational rehabilitation services,,,,,196
322,Community food and housing / emergency / other relief services,14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,Community food and housing / emergency / other relief services,,,,,197
323,"Other social assistance, not elsewere classified",14,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social assistance,"Other social assistance, not elsewere classified",,,,,198
324,Social advocacy and civic and social organizations,12,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Social advocacy and civic and social organizations,,,,,,199
325,Religious organizations' services to households,12,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Religious organizations' services to households,,,,,,200
326,Foundations and grantmaking and giving services to households,12,Services,Household consumption expenditures (for services),Other services,Social services and religious activities,Foundations and grantmaking and giving services to households,,,,,,201
328,Domestic services,12,Services,Household consumption expenditures (for services),Other services,Household maintenance,Domestic services,,,,,,202
329,"Moving, storage, and freight services",12,Services,Household consumption expenditures (for services),Other services,Household maintenance,"Moving, storage, and freight services",,,,,,203
330,"Repair of furniture, furnishings, and floor coverings",12,Services,Household consumption expenditures (for services),Other services,Household maintenance,"Repair of furniture, furnishings, and floor coverings",,,,,,204
331,Repair of household appliances,12,Services,Household consumption expenditures (for services),Other services,Household maintenance,Repair of household appliances,,,,,,205
332,Other household services,12,Services,Household consumption expenditures (for services),Other services,Household maintenance,Other household services,,,,,,206
335,Passenger fares for foreign travel,14,Services,Household consumption expenditures (for services),Other services,Net foreign travel,Foreign travel by U.S. residents,Passenger fares for foreign travel,,,,,207
336,U.S. travel outside the United States,14,Services,Household consumption expenditures (for services),Other services,Net foreign travel,Foreign travel by U.S. residents,U.S. travel outside the United States,,,,,208
337,U.S. student expenditures,14,Services,Household consumption expenditures (for services),Other services,Net foreign travel,Foreign travel by U.S. residents,U.S. student expenditures,,,,,209
338,Less: Expenditures in the United States by nonresidents,12,Services,Household consumption expenditures (for services),Other services,Net foreign travel,Less: Expenditures in the United States by nonresidents,,,,,,210
342,Final consumption expenditures of nonprofit institutions serving households (NPISHs),4,Services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),,,,,,,,,211
