NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
81,Pork,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Meats and poultry,Pork,,,,44
82,Other meats,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Meats and poultry,Other meats,,,,45
83,Poultry,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Meats and poultry,Poultry,,,,46
84,Fish and seafood,14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Fish and seafood,,,,,47
86,Fresh milk,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,"Milk, dairy products, and eggs",Fresh milk,,,,48
87,Processed dairy products,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,"Milk, dairy products, and eggs",Processed dairy products,,,,49
88,Eggs,16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,"Milk, dairy products, and eggs",Eggs,,,,50
89,Fats and oils,14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Fats and oils,,,,,51
91,Fruit (fresh),16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Fresh fruits and vegetables,Fruit (fresh),,,,52
92,Vegetables (fresh),16,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Fresh fruits and vegetables,Vegetables (fresh),,,,53
93,Processed fruits and vegetables,14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Processed fruits and vegetables,,,,,54
94,Sugar and sweets,14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,Sugar and sweets,,,,,55
95,"Food products, not elsewhere classified",14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food purchased for off-premises consumption,"Food products, not elsewhere classified",,,,,56
97,"Coffee, tea, and other beverage materials",14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Nonalcoholic beverages purchased for off-premises consumption,"Coffee, tea, and other beverage materials",,,,,57
98,"Mineral waters, soft drinks, and vegetable juices",14,Goods,Nondurable goods,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Nonalcoholic beverages purchased for off-premises consumption,"Mineral waters, soft drinks, and vegetable juices",,,,,58
