Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Albania,ALB,1,31151A,8749.0,21173.0,0.4132149435601946
Albania,ALB,4,31151A,12424.0,21173.0,0.5867850564398054
Albania,ALB,4,311810,179230.0,179230.0,1.0
Albania,ALB,4,3118A0,15489.0,15489.0,1.0
Albania,ALB,4,311910,27667.0,27667.0,1.0
Albania,ALB,2,311920,1168204.0,1219573.0,0.9578795201271265
Albania,ALB,4,311920,51369.0,1219573.0,0.04212047987287354
Albania,ALB,2,311940,301623.0,304627.0,0.9901387598604194
Albania,ALB,4,311940,3004.0,304627.0,0.009861240139580537
Albania,ALB,4,311990,61850.0,61850.0,1.0
Albania,ALB,4,312110,644614.0,644614.0,1.0
Albania,ALB,4,312130,96834.0,96834.0,1.0
Albania,ALB,11,313200,1629.0,1629.0,1.0
Albania,ALB,11,314110,300.0,300.0,1.0
Albania,ALB,11,314120,14263.0,21955.0,0.6496470052379868
Albania,ALB,20,314120,7692.0,21955.0,0.3503529947620132
Albania,ALB,8,314900,1015.0,106695.0,0.009513098083321618
Albania,ALB,11,314900,100178.0,106695.0,0.9389193495477763
Albania,ALB,12,314900,5502.0,106695.0,0.05156755236890201
Albania,ALB,8,315000,140505.0,11134509.0,0.01261887704253506
Albania,ALB,11,315000,10979201.0,11134509.0,0.9860516525695027
Albania,ALB,12,315000,14803.0,11134509.0,0.0013294703879623252
Albania,ALB,8,316000,627611.0,2738700.0,0.22916383685690292
Albania,ALB,12,316000,2111089.0,2738700.0,0.7708361631430971
Albania,ALB,9,321200,2543.0,2543.0,1.0
Albania,ALB,9,321910,9018.0,9018.0,1.0
Albania,ALB,9,3219A0,143293.0,143293.0,1.0
Albania,ALB,10,322210,76034.0,76034.0,1.0
Albania,ALB,10,322220,554579.0,554579.0,1.0
Albania,ALB,10,322230,4768.0,4768.0,1.0
Albania,ALB,10,322291,2078545.0,2078545.0,1.0
Albania,ALB,10,323110,35015.0,35015.0,1.0
Albania,ALB,6,325310,508679.0,508679.0,1.0
Albania,ALB,2,325411,267288.0,267288.0,1.0
Albania,ALB,6,325510,149817.0,149817.0,1.0
Albania,ALB,6,325610,15215.0,15215.0,1.0
Albania,ALB,6,325620,5556.0,5556.0,1.0
