Country,iso3,HS2,detail_code,impVal,bea_total,weight
Albania,ALB,12,111300,3687114.0,3698590.0,0.9968971959584598
Albania,ALB,8,111300,11476.0,3698590.0,0.0031028040415401544
Albania,ALB,12,111900,12565421.0,14150134.0,0.8880072089776676
Albania,ALB,24,111900,1092972.0,14150134.0,0.07724110598528608
Albania,ALB,9,111900,491741.0,14150134.0,0.034751685037046294
Albania,ALB,4,112A00,24790.0,24790.0,1.0
Albania,ALB,13,113000,36420.0,36420.0,1.0
Albania,ALB,3,114000,1282133.0,1282133.0,1.0
Albania,ALB,8,115000,2232.0,2232.0,1.0
Albania,ALB,26,2122A0,32148.0,32148.0,1.0
Albania,ALB,25,212310,2112.0,2112.0,1.0
Albania,ALB,25,2123A0,2355.0,2355.0,1.0
Albania,ALB,10,311210,55953.0,244578.0,0.22877364276427153
Albania,ALB,11,311210,188625.0,244578.0,0.7712263572357285
Albania,ALB,15,311224,1243575.0,1243575.0,1.0
Albania,ALB,17,311300,24774.0,66943.0,0.3700760348356064
Albania,ALB,18,311300,42169.0,66943.0,0.6299239651643936
Albania,ALB,20,311410,17981.0,17981.0,1.0
Albania,ALB,20,311420,677381.0,1544146.0,0.43867678315392455
Albania,ALB,7,311420,779707.0,1544146.0,0.5049438330313325
Albania,ALB,8,311420,87058.0,1544146.0,0.0563793838147429
Albania,ALB,4,311513,1174172.0,1174172.0,1.0
Albania,ALB,22,31151A,12424.0,21173.0,0.5867850564398054
Albania,ALB,4,31151A,8749.0,21173.0,0.4132149435601946
Albania,ALB,19,311810,179230.0,179230.0,1.0
Albania,ALB,19,3118A0,15489.0,15489.0,1.0
Albania,ALB,19,311910,12454.0,27667.0,0.4501391549499404
Albania,ALB,20,311910,15213.0,27667.0,0.5498608450500596
Albania,ALB,12,311920,1021674.0,1219573.0,0.8377309107367906
Albania,ALB,21,311920,51369.0,1219573.0,0.04212047987287354
Albania,ALB,9,311920,146530.0,1219573.0,0.1201486093903358
Albania,ALB,21,311940,3004.0,304627.0,0.009861240139580537
Albania,ALB,9,311940,301623.0,304627.0,0.9901387598604194
Albania,ALB,19,311990,9185.0,61850.0,0.14850444624090542
Albania,ALB,21,311990,52665.0,61850.0,0.8514955537590946
Albania,ALB,22,312110,644614.0,644614.0,1.0
Albania,ALB,22,312130,96834.0,96834.0,1.0
Albania,ALB,53,313200,1629.0,1629.0,1.0
Albania,ALB,57,314110,300.0,300.0,1.0
Albania,ALB,63,314120,14263.0,21955.0,0.6496470052379868
Albania,ALB,94,314120,7692.0,21955.0,0.3503529947620132
Albania,ALB,42,314900,1015.0,106695.0,0.009513098083321618
Albania,ALB,63,314900,100178.0,106695.0,0.9389193495477763
Albania,ALB,64,314900,5502.0,106695.0,0.05156755236890201
Albania,ALB,42,315000,140505.0,11134509.0,0.01261887704253506
Albania,ALB,61,315000,3570668.0,11134509.0,0.3206848187019293
Albania,ALB,62,315000,7408533.0,11134509.0,0.6653668338675733
Albania,ALB,65,315000,14803.0,11134509.0,0.0013294703879623252
Albania,ALB,42,316000,627611.0,2738700.0,0.22916383685690292
Albania,ALB,64,316000,2111089.0,2738700.0,0.7708361631430971
Albania,ALB,44,321200,2543.0,2543.0,1.0
Albania,ALB,44,321910,9018.0,9018.0,1.0
Albania,ALB,44,3219A0,143293.0,143293.0,1.0
Albania,ALB,48,322210,76034.0,76034.0,1.0
Albania,ALB,48,322220,554579.0,554579.0,1.0
Albania,ALB,48,322230,4768.0,4768.0,1.0
Albania,ALB,48,322291,2078545.0,2078545.0,1.0
Albania,ALB,49,323110,35015.0,35015.0,1.0
Albania,ALB,31,325310,508679.0,508679.0,1.0
Albania,ALB,12,325411,267288.0,267288.0,1.0
Albania,ALB,32,325510,149817.0,149817.0,1.0
Albania,ALB,34,325610,15215.0,15215.0,1.0
Albania,ALB,33,325620,5556.0,5556.0,1.0
Albania,ALB,33,3259A0,3767096.0,3767096.0,1.0
Albania,ALB,39,326110,195919.0,195919.0,1.0
Albania,ALB,39,326120,3976.0,3976.0,1.0
Albania,ALB,39,326190,667530.0,674233.0,0.9900583329501819
Albania,ALB,96,326190,6703.0,674233.0,0.00994166704981809
Albania,ALB,40,326220,107325.0,107325.0,1.0
Albania,ALB,40,326290,10619.0,10619.0,1.0
Albania,ALB,69,327100,20281.0,20281.0,1.0
Albania,ALB,70,327200,73211.0,73211.0,1.0
Albania,ALB,68,327991,11025.0,11025.0,1.0
Albania,ALB,38,327999,2077.0,5277.0,0.39359484555618723
Albania,ALB,68,327999,3200.0,5277.0,0.6064051544438128
Albania,ALB,72,331110,64719108.0,64719108.0,1.0
