country,CTY_CODE,ISO3,HS2,2024_tariff,2025_tariff_increase,2025_tariff,2024_imports,2024_duty,HS_Section,sector_description
European Union,0.0,EU,49,0.0,9.90604409830332,9.90604409830332,639568552.0,0.0,10,Pulp & Paper
European Union,0.0,EU,50,0.6440405317432613,10.0,10.644040531743261,12718920.0,81915.0,11,Textile & App.
European Union,0.0,EU,51,9.007027272459602,10.0,19.007027272459602,79235721.0,7136783.0,11,Textile & App.
European Union,0.0,EU,52,7.130234489691826,10.0,17.130234489691826,93769623.0,6685994.0,11,Textile & App.
European Union,0.0,EU,53,0.4861648858606349,10.0,10.486164885860635,79249039.0,385281.0,11,Textile & App.
European Union,0.0,EU,54,6.430670105199901,10.0,16.4306701051999,270927535.0,17422456.0,11,Textile & App.
European Union,0.0,EU,55,5.701779560645246,10.0,15.701779560645246,313667984.0,17884657.0,11,Textile & App.
European Union,0.0,EU,56,1.140063340745224,10.0,11.140063340745224,679574259.0,7747577.0,11,Textile & App.
European Union,0.0,EU,57,3.98265417212929,10.0,13.98265417212929,181521460.0,7229372.0,11,Textile & App.
European Union,0.0,EU,58,7.839802768377151,10.0,17.83980276837715,101530169.0,7959765.0,11,Textile & App.
European Union,0.0,EU,59,3.1472318961004544,10.0,13.147231896100454,516426515.0,16253140.0,11,Textile & App.
European Union,0.0,EU,60,10.05741358074997,10.0,20.05741358074997,104055520.0,10465294.0,11,Textile & App.
European Union,0.0,EU,61,15.769658337869023,10.0,25.769658337869025,1121076863.0,176789991.0,11,Textile & App.
European Union,0.0,EU,62,13.623285213101813,10.0,23.623285213101813,2159832224.0,294240104.0,11,Textile & App.
European Union,0.0,EU,63,6.88017063012321,10.0,16.88017063012321,456506498.0,31408426.0,11,Textile & App.
European Union,0.0,EU,64,10.468265114793638,10.0,20.46826511479364,2926217407.0,306324196.0,12,Footwear
European Union,0.0,EU,65,3.3134299694688383,10.0,13.313429969468839,153671846.0,5091809.0,12,Footwear
European Union,0.0,EU,66,5.293805623012614,16.098946639419523,21.392752262432136,10610042.0,561675.0,12,Footwear
European Union,0.0,EU,67,1.2735408536035835,10.0,11.273540853603583,16189037.0,206174.0,12,Footwear
European Union,0.0,EU,68,1.4556387312119057,10.0,11.455638731211906,1983161988.0,28867674.0,13,Stone & Glass
European Union,0.0,EU,69,6.883311475417522,10.0,16.88331147541752,1817024414.0,125071450.0,13,Stone & Glass
European Union,0.0,EU,70,4.224989582784127,10.140407051575524,14.365396634359652,1654033593.0,69882747.0,13,Stone & Glass
European Union,0.0,EU,71,2.4225472298631594,10.0,12.42254722986316,9460213414.0,229178138.0,14,Jewelery
European Union,0.0,EU,72,2.148661238050236,9.930282368652923,12.07894360670316,5548479811.0,119218035.0,15,Base Metals
European Union,0.0,EU,73,1.5767249303368294,30.9382224935764,32.51494742391323,7743968504.0,122101082.0,15,Base Metals
European Union,0.0,EU,74,1.914840730564028,5.047988758312032,6.96282948887606,1669843893.0,31974851.0,15,Base Metals
European Union,0.0,EU,75,1.816766603210236,9.071960044271028,10.888726647481265,1000540574.0,18177487.0,15,Base Metals
