NIPA Line,Indented_Description,Description
136,            Miscellaneous household products,Miscellaneous household products
137,        Personal care products,Personal care products
138,"            Hair, dental, shaving, and miscellaneous personal care products except electrical products","Hair, dental, shaving, and miscellaneous personal care products except electrical products"
139,            Cosmetic / perfumes / bath / nail preparations and implements,Cosmetic / perfumes / bath / nail preparations and implements
140,            Electric appliances for personal care,Electric appliances for personal care
141,        Tobacco,Tobacco
142,"        Magazines, newspapers, and stationery","Magazines, newspapers, and stationery"
143,            Newspapers and periodicals,Newspapers and periodicals
144,            Stationery and miscellaneous printed materials,Stationery and miscellaneous printed materials
145,        Net expenditures abroad by U.S. residents,Net expenditures abroad by U.S. residents
146,            Expenditures abroad by U.S. residents,Expenditures abroad by U.S. residents
147,              Government employees' expenditures abroad,Government employees' expenditures abroad
148,              Private employees' expenditures abroad,Private employees' expenditures abroad
149,            Less: Personal remittances in kind to nonresidents,Less: Personal remittances in kind to nonresidents
150,Services,Services
151,    Household consumption expenditures (for services),Household consumption expenditures (for services)
152,      Housing and utilities,Housing and utilities
153,        Housing,Housing
154,            Rental of tenant-occupied nonfarm housing,Rental of tenant-occupied nonfarm housing
155,              Tenant-occupied mobile homes,Tenant-occupied mobile homes
156,              Tenant-occupied stationary homes and landlord durables,Tenant-occupied stationary homes and landlord durables
157,                Tenant-occupied stationary homes,Tenant-occupied stationary homes
158,                Tenant landlord durables,Tenant landlord durables
159,"                Tenant-occupied, including landlord durables","Tenant-occupied, including landlord durables"
160,            Imputed rental of owner-occupied nonfarm housing,Imputed rental of owner-occupied nonfarm housing
161,              Owner-occupied mobile homes,Owner-occupied mobile homes
162,              Owner-occupied stationary homes,Owner-occupied stationary homes
163,            Rental value of farm dwellings,Rental value of farm dwellings
164,            Group housing,Group housing
165,        Household utilities,Household utilities
166,            Water supply and sanitation,Water supply and sanitation
167,              Water supply and sewage maintenance,Water supply and sewage maintenance
168,              Garbage and trash collection,Garbage and trash collection
169,            Electricity and gas,Electricity and gas
170,              Electricity,Electricity
171,              Natural gas,Natural gas
172,      Health care,Health care
173,        Outpatient services,Outpatient services
174,            Physician services,Physician services
175,            Dental services,Dental services
176,            Paramedical services,Paramedical services
177,              Home health care,Home health care
178,              Medical laboratories,Medical laboratories
179,              Other professional medical services,Other professional medical services
180,                Specialty outpatient care facilities and health and allied services,Specialty outpatient care facilities and health and allied services
181,                All other professional medical services,All other professional medical services
182,        Hospital and nursing home services,Hospital and nursing home services
183,            Hospitals,Hospitals
184,              Nonprofit hospitals' services to households,Nonprofit hospitals' services to households
185,              Proprietary hospitals,Proprietary hospitals
186,              Government hospitals,Government hospitals
187,            Nursing homes,Nursing homes
188,              Nonprofit nursing homes' services to households,Nonprofit nursing homes' services to households
189,              Proprietary and government nursing homes,Proprietary and government nursing homes
190,      Transportation services,Transportation services
191,        Motor vehicle services,Motor vehicle services
192,            Motor vehicle maintenance and repair,Motor vehicle maintenance and repair
193,            Other motor vehicle services,Other motor vehicle services
194,              Motor vehicle leasing,Motor vehicle leasing
195,                Auto leasing,Auto leasing
196,                Truck leasing,Truck leasing
197,              Motor vehicle rental,Motor vehicle rental
198,              Parking fees and tolls,Parking fees and tolls
199,        Public transportation,Public transportation
200,            Ground transportation,Ground transportation
201,              Railway transportation,Railway transportation
202,              Road transportation,Road transportation
203,                Intercity buses,Intercity buses
204,                Taxicabs and ride sharing services,Taxicabs and ride sharing services
205,                Intracity mass transit,Intracity mass transit
206,                Other road transportation service,Other road transportation service
207,            Air transportation,Air transportation
208,            Water transportation,Water transportation
209,      Recreation services,Recreation services
210,"        Membership clubs, sports centers, parks, theaters, and museums","Membership clubs, sports centers, parks, theaters, and museums"
211,            Membership clubs and participant sports centers,Membership clubs and participant sports centers
212,"            Amusement parks, campgrounds, and related recreational services","Amusement parks, campgrounds, and related recreational services"
213,            Admissions to specified spectator amusements,Admissions to specified spectator amusements
214,              Motion picture theaters,Motion picture theaters
215,"              Live entertainment, excluding sports","Live entertainment, excluding sports"
216,              Spectator sports,Spectator sports
217,            Museums and libraries,Museums and libraries
218,"        Audio-video, photographic, and information processing equipment services","Audio-video, photographic, and information processing equipment services"
219,"            Cable, satellite, and other live television services","Cable, satellite, and other live television services"
220,            Photo processing,Photo processing
221,            Photo studios,Photo studios
222,"            Repair and rental of audio-visual, photographic, and information processing equipment","Repair and rental of audio-visual, photographic, and information processing equipment"
223,            Video and audio streaming and rental,Video and audio streaming and rental
224,              Video streaming and rental,Video streaming and rental
225,              Audio streaming and radio services (including satellite radio),Audio streaming and radio services (including satellite radio)
226,        Gambling,Gambling
227,            Casino gambling,Casino gambling
228,            Lotteries,Lotteries
229,            Pari-mutuel net receipts,Pari-mutuel net receipts
230,        Other recreational services,Other recreational services
231,            Veterinary and other services for pets,Veterinary and other services for pets
232,            Package tours,Package tours
233,            Maintenance and repair of recreational vehicles and sports equipment,Maintenance and repair of recreational vehicles and sports equipment
234,      Food services and accommodations,Food services and accommodations
235,        Food services,Food services
236,            Purchased meals and beverages,Purchased meals and beverages
237,              Meals and nonalcoholic beverages,Meals and nonalcoholic beverages
238,                Meals at schools,Meals at schools
239,                    Elementary and secondary school lunches,Elementary and secondary school lunches
240,                    Higher education school lunches,Higher education school lunches
241,                Other purchased meals,Other purchased meals
242,                    Meals at limited service eating places,Meals at limited service eating places
243,                    Meals at other eating places,Meals at other eating places
244,                    Meals at drinking places,Meals at drinking places
245,              Alcohol in purchased meals,Alcohol in purchased meals
246,            Food furnished to employees (including military),Food furnished to employees (including military)
247,              Food supplied to civilians,Food supplied to civilians
248,              Food supplied to military,Food supplied to military
249,        Accommodations,Accommodations
250,            Hotels and motels,Hotels and motels
251,            Housing at schools,Housing at schools
252,      Financial services and insurance,Financial services and insurance
253,        Financial services,Financial services
254,            Financial services furnished without payment,Financial services furnished without payment
255,              Commercial banks,Commercial banks
256,              Other depository institutions and regulated investment companies,Other depository institutions and regulated investment companies
257,              Pension funds,Pension funds
258,"            Financial service charges, fees, and commissions","Financial service charges, fees, and commissions"
259,              Financial service charges and fees,Financial service charges and fees
260,              Securities commissions,Securities commissions
261,                Direct commissions,Direct commissions
262,                    Exchange-listed equities,Exchange-listed equities
263,                    Other direct commissions,Other direct commissions
264,                Indirect commissions,Indirect commissions
265,                    Over-the-counter equity securities,Over-the-counter equity securities
266,                    Other imputed commissions,Other imputed commissions
267,                Mutual fund sales charges,Mutual fund sales charges
268,              Portfolio management and investment advice services,Portfolio management and investment advice services
269,"              Trust, fiduciary, and custody activities","Trust, fiduciary, and custody activities"
270,        Insurance,Insurance
271,            Life insurance,Life insurance
272,            Net household insurance,Net household insurance
273,              Household insurance premiums and premium supplements,Household insurance premiums and premium supplements
274,              Less: Household insurance normal losses,Less: Household insurance normal losses
275,            Net health insurance,Net health insurance
276,              Medical care and hospitalization,Medical care and hospitalization
277,              Income loss,Income loss
278,              Workers' compensation,Workers' compensation
279,            Net motor vehicle and other transportation insurance,Net motor vehicle and other transportation insurance
280,      Other services,Other services
281,        Communication,Communication
282,            Telecommunication services,Telecommunication services
283,"              Land-line telephone services, local charges","Land-line telephone services, local charges"
284,"              Land-line telephone services, long-distance charges","Land-line telephone services, long-distance charges"
285,              Cellular telephone services,Cellular telephone services
286,            Postal and delivery services,Postal and delivery services
287,              First-class postal service (by U.S. Postal Service),First-class postal service (by U.S. Postal Service)
288,              Other delivery services (by non-U.S. postal facilities),Other delivery services (by non-U.S. postal facilities)
289,            Internet access,Internet access
290,        Education services,Education services
291,            Higher education,Higher education
292,              Proprietary and public higher education,Proprietary and public higher education
293,              Nonprofit private higher education services to households,Nonprofit private higher education services to households
294,"            Nursery, elementary, and secondary schools","Nursery, elementary, and secondary schools"
295,              Elementary and secondary schools,Elementary and secondary schools
296,              Day care and nursery schools,Day care and nursery schools
297,            Commercial and vocational schools,Commercial and vocational schools
298,        Professional and other services,Professional and other services
299,            Legal services,Legal services
300,            Accounting and other business services,Accounting and other business services
301,              Tax preparation and other related services,Tax preparation and other related services
302,              Employment agency services,Employment agency services
303,              Other personal business services,Other personal business services
304,            Labor organization dues,Labor organization dues
305,            Professional association dues,Professional association dues
306,            Funeral and burial services,Funeral and burial services
307,        Personal care and clothing services,Personal care and clothing services
308,            Personal care services,Personal care services
309,              Hairdressing salons and personal grooming establishments,Hairdressing salons and personal grooming establishments
310,              Miscellaneous personal care services,Miscellaneous personal care services
311,            Clothing and footwear services,Clothing and footwear services
312,              Laundry and drycleaning services,Laundry and drycleaning services
313,"              Clothing repair, rental, and alterations","Clothing repair, rental, and alterations"
314,              Repair and hire of footwear,Repair and hire of footwear
315,        Social services and religious activities,Social services and religious activities
316,            Child care,Child care
317,            Social assistance,Social assistance
318,              Homes for the elderly,Homes for the elderly
319,              Residential mental health and substance abuse,Residential mental health and substance abuse
320,              Individual and family services,Individual and family services
321,              Vocational rehabilitation services,Vocational rehabilitation services
322,              Community food and housing / emergency / other relief services,Community food and housing / emergency / other relief services
323,"              Other social assistance, not elsewere classified","Other social assistance, not elsewere classified"
324,            Social advocacy and civic and social organizations,Social advocacy and civic and social organizations
325,            Religious organizations' services to households,Religious organizations' services to households
326,            Foundations and grantmaking and giving services to households,Foundations and grantmaking and giving services to households
327,        Household maintenance,Household maintenance
328,            Domestic services,Domestic services
329,"            Moving, storage, and freight services","Moving, storage, and freight services"
330,"            Repair of furniture, furnishings, and floor coverings","Repair of furniture, furnishings, and floor coverings"
331,            Repair of household appliances,Repair of household appliances
332,            Other household services,Other household services
333,        Net foreign travel,Net foreign travel
334,            Foreign travel by U.S. residents,Foreign travel by U.S. residents
335,              Passenger fares for foreign travel,Passenger fares for foreign travel
336,              U.S. travel outside the United States,U.S. travel outside the United States
337,              U.S. student expenditures,U.S. student expenditures
338,            Less: Expenditures in the United States by nonresidents,Less: Expenditures in the United States by nonresidents
339,              Foreign travel in the United States,Foreign travel in the United States
340,              Medical expenditures of foreigners,Medical expenditures of foreigners
341,              Expenditures of foreign students in the United States,Expenditures of foreign students in the United States
342,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),Final consumption expenditures of nonprofit institutions serving households (NPISHs)
