Country,impVal,hs_code,hs2_code,detail_code
Saudi Arabia,136710.0,409000065,4,112A00
United Arab Emirates,2050.0,409000065,4,112A00
Yemen,84872.0,409000065,4,112A00
Israel,2016.0,511994070,5,31161A
Israel,1385378.0,601106000,6,111400
Israel,3248693.0,601109080,6,111400
Israel,3867445.0,602100000,6,111400
Israel,19454.0,602909010,6,111400
Israel,321975.0,602909090,6,111400
Israel,12140.0,603190116,6,111400
United Arab Emirates,2696.0,603190116,6,111400
Israel,1538562.0,603190129,6,111400
Israel,2586390.0,603190131,6,111400
Israel,14813.0,603190135,6,111400
Israel,20652.0,603190142,6,111400
Israel,2353070.0,603190195,6,111400
United Arab Emirates,26189.0,603190195,6,111400
Israel,2185.0,603900000,6,339990
United Arab Emirates,11600.0,603900000,6,339990
Israel,19745.0,604200070,6,111400
Israel,4394.0,604200078,6,111400
Israel,312546.0,604200082,6,111400
Israel,90647.0,604200084,6,111400
Israel,3184042.0,604200086,6,111400
United Arab Emirates,482339.0,604200086,6,111400
Israel,1116173.0,604906000,6,339990
West Bank Administered by Israel,43171.0,703900040,7,111200
Israel,5296044.0,706102000,7,111200
Iran,26356.0,709591100,7,111400
Syria,2875.0,709591100,7,111400
Israel,341425.0,709602010,7,111200
Israel,2562944.0,709604007,7,111400
Israel,544507.0,709604009,7,111400
Israel,455194.0,709604011,7,111400
Israel,2573479.0,709604022,7,111400
Israel,71136.0,709604027,7,111400
Israel,159650.0,709604032,7,111400
Israel,47880.0,709604060,7,111200
Israel,156888.0,709604063,7,111200
Israel,6195.0,709604069,7,111200
Israel,1251929.0,709999080,7,111200
West Bank Administered by Israel,470679.0,709999080,7,111200
Israel,38604.0,710223700,7,311410
Saudi Arabia,2955.0,710223700,7,311410
Israel,3027.0,710290500,7,311410
Jordan,2181.0,710290500,7,311410
Israel,28791.0,710294000,7,311410
Israel,312756.0,710300000,7,311410
Israel,67744.0,710807060,7,311410
Israel,999683.0,710809726,7,311410
Israel,818041.0,710809730,7,311410
Israel,7813492.0,710809765,7,311410
Saudi Arabia,8252.0,710909100,7,311410
Israel,2076.0,711202800,7,111300
Jordan,44571.0,711202800,7,111300
West Bank Administered by Israel,3040.0,711202800,7,111300
Israel,187060.0,711203800,7,111300
Israel,91134.0,711400000,7,311420
Syria,61436.0,711903000,7,311420
Jordan,12337.0,711906500,7,311420
United Arab Emirates,21641.0,712202000,7,311940
United Arab Emirates,25453.0,712204000,7,311420
Israel,3865.0,712392100,7,311420
Israel,3132.0,712904020,7,311940
Jordan,7492.0,712904020,7,311940
United Arab Emirates,31470.0,712904020,7,311940
Israel,10250.0,712904040,7,311420
Israel,77912.0,712906500,7,311420
United Arab Emirates,6966.0,712906500,7,311420
Israel,4749.0,712907000,7,311420
United Arab Emirates,10800.0,712907000,7,311420
Israel,7700411.0,712907400,7,311210
Jordan,15641.0,712908540,7,311420
Lebanon,2550.0,712908540,7,311420
Israel,147201.0,712908580,7,311420
Jordan,72000.0,712908580,7,311420
Lebanon,55858.0,712908580,7,311420
Syria,21075.0,712908580,7,311420
United Arab Emirates,90202.0,712908580,7,311420
West Bank Administered by Israel,86784.0,712908580,7,311420
Israel,4530.0,713104015,7,1111B0
Israel,4104.0,713104020,7,1111B0
Israel,29814.0,713202075,7,1111B0
Lebanon,8915.0,713202075,7,1111B0
Oman,2050.0,713202075,7,1111B0
United Arab Emirates,145806.0,713202075,7,1111B0
United Arab Emirates,2097510.0,713312000,7,1111B0
Israel,3182.0,713314000,7,1111B0
United Arab Emirates,2393005.0,713314000,7,1111B0
Israel,8554.0,713332020,7,1111B0
Israel,6886.0,713332090,7,1111B0
Oman,4200.0,713332090,7,1111B0
Israel,13472.0,713334020,7,1111B0
Israel,2160.0,713334030,7,1111B0
United Arab Emirates,5071.0,713334050,7,1111B0
Israel,28855.0,713334090,7,1111B0
Jordan,7326.0,713334090,7,1111B0
Iraq,4320.0,713350000,7,1111B0
United Arab Emirates,2712.0,713350000,7,1111B0
Israel,28830.0,713392160,7,1111B0
Israel,5839.0,713392170,7,1111B0
Israel,94856.0,713394160,7,1111B0
Lebanon,5748.0,713394160,7,1111B0
Israel,42557.0,713394170,7,1111B0
Israel,20516.0,713402020,7,1111B0
Lebanon,3480.0,713402020,7,1111B0
United Arab Emirates,5605.0,713402020,7,1111B0
United Arab Emirates,7025.0,713402035,7,1111B0
Israel,8853.0,713402050,7,1111B0
Lebanon,4560.0,713402050,7,1111B0
United Arab Emirates,67480.0,713402050,7,1111B0
Jordan,14951.0,713402085,7,1111B0
Lebanon,79396.0,713402085,7,1111B0
United Arab Emirates,174262.0,713402085,7,1111B0
Jordan,3504.0,713502000,7,1111B0
United Arab Emirates,2893.0,713606000,7,1111B0
United Arab Emirates,23755.0,713608000,7,1111B0
Lebanon,5681.0,713908100,7,1111B0
United Arab Emirates,3946.0,801110000,8,311990
United Arab Emirates,834038.0,801320000,8,111300
Israel,309195.0,802120015,8,111300
Yemen,5400.0,802120015,8,111300
Israel,3207.0,802919000,8,111300
United Arab Emirates,6474.0,802919000,8,111300
Lebanon,7840.0,802921000,8,115000
Lebanon,2483.0,802998200,8,111300
Iraq,2600.0,802999800,8,115000
Lebanon,2301.0,802999800,8,115000
Israel,166852.0,804102010,8,111300
Saudi Arabia,92613.0,804102010,8,111300
Israel,1859552.0,804102090,8,111300
Jordan,205558.0,804102090,8,111300
Oman,53086.0,804102090,8,111300
Saudi Arabia,2988825.0,804102090,8,111300
United Arab Emirates,1527815.0,804102090,8,111300
West Bank Administered by Israel,235152.0,804102090,8,111300
Israel,7292967.0,804104000,8,111300
Jordan,331357.0,804104000,8,111300
