Country,impVal,hs_code,hs2_code
Israel,312546.0,0604200082,06
Israel,90647.0,0604200084,06
Israel,3184042.0,0604200086,06
United Arab Emirates,482339.0,0604200086,06
Israel,1116173.0,0604906000,06
West Bank Administered by Israel,43171.0,0703900040,07
Israel,5296044.0,0706102000,07
Iran,26356.0,0709591100,07
Syria,2875.0,0709591100,07
Israel,341425.0,0709602010,07
Israel,2562944.0,0709604007,07
Israel,544507.0,0709604009,07
Israel,455194.0,0709604011,07
Israel,2573479.0,0709604022,07
Israel,71136.0,0709604027,07
Israel,159650.0,0709604032,07
Israel,47880.0,0709604060,07
Israel,156888.0,0709604063,07
Israel,6195.0,0709604069,07
Israel,1251929.0,0709999080,07
West Bank Administered by Israel,470679.0,0709999080,07
Israel,38604.0,0710223700,07
Saudi Arabia,2955.0,0710223700,07
Israel,3027.0,0710290500,07
Jordan,2181.0,0710290500,07
Israel,28791.0,0710294000,07
Israel,312756.0,0710300000,07
Israel,67744.0,0710807060,07
Israel,999683.0,0710809726,07
Israel,818041.0,0710809730,07
Israel,7813492.0,0710809765,07
Saudi Arabia,8252.0,0710909100,07
Israel,2076.0,0711202800,07
Jordan,44571.0,0711202800,07
West Bank Administered by Israel,3040.0,0711202800,07
Israel,187060.0,0711203800,07
Israel,91134.0,0711400000,07
Syria,61436.0,0711903000,07
Jordan,12337.0,0711906500,07
United Arab Emirates,21641.0,0712202000,07
United Arab Emirates,25453.0,0712204000,07
Israel,3865.0,0712392100,07
Israel,3132.0,0712904020,07
Jordan,7492.0,0712904020,07
United Arab Emirates,31470.0,0712904020,07
Israel,10250.0,0712904040,07
Israel,77912.0,0712906500,07
United Arab Emirates,6966.0,0712906500,07
Israel,4749.0,0712907000,07
United Arab Emirates,10800.0,0712907000,07
Israel,7700411.0,0712907400,07
Jordan,15641.0,0712908540,07
Lebanon,2550.0,0712908540,07
Israel,147201.0,0712908580,07
Jordan,72000.0,0712908580,07
Lebanon,55858.0,0712908580,07
Syria,21075.0,0712908580,07
United Arab Emirates,90202.0,0712908580,07
West Bank Administered by Israel,86784.0,0712908580,07
Israel,4530.0,0713104015,07
Israel,4104.0,0713104020,07
Israel,29814.0,0713202075,07
Lebanon,8915.0,0713202075,07
Oman,2050.0,0713202075,07
United Arab Emirates,145806.0,0713202075,07
United Arab Emirates,2097510.0,0713312000,07
Israel,3182.0,0713314000,07
United Arab Emirates,2393005.0,0713314000,07
Israel,8554.0,0713332020,07
Israel,6886.0,0713332090,07
Oman,4200.0,0713332090,07
Israel,13472.0,0713334020,07
Israel,2160.0,0713334030,07
United Arab Emirates,5071.0,0713334050,07
Israel,28855.0,0713334090,07
Jordan,7326.0,0713334090,07
Iraq,4320.0,0713350000,07
United Arab Emirates,2712.0,0713350000,07
Israel,28830.0,0713392160,07
Israel,5839.0,0713392170,07
Israel,94856.0,0713394160,07
Lebanon,5748.0,0713394160,07
Israel,42557.0,0713394170,07
Israel,20516.0,0713402020,07
Lebanon,3480.0,0713402020,07
United Arab Emirates,5605.0,0713402020,07
United Arab Emirates,7025.0,0713402035,07
Israel,8853.0,0713402050,07
Lebanon,4560.0,0713402050,07
United Arab Emirates,67480.0,0713402050,07
Jordan,14951.0,0713402085,07
Lebanon,79396.0,0713402085,07
United Arab Emirates,174262.0,0713402085,07
Jordan,3504.0,0713502000,07
United Arab Emirates,2893.0,0713606000,07
United Arab Emirates,23755.0,0713608000,07
Lebanon,5681.0,0713908100,07
United Arab Emirates,3946.0,0801110000,08
United Arab Emirates,834038.0,0801320000,08
Israel,309195.0,0802120015,08
Yemen,5400.0,0802120015,08
Israel,3207.0,0802919000,08
United Arab Emirates,6474.0,0802919000,08
Lebanon,7840.0,0802921000,08
Lebanon,2483.0,0802998200,08
Iraq,2600.0,0802999800,08
Lebanon,2301.0,0802999800,08
Israel,166852.0,0804102010,08
Saudi Arabia,92613.0,0804102010,08
Israel,1859552.0,0804102090,08
Jordan,205558.0,0804102090,08
Oman,53086.0,0804102090,08
Saudi Arabia,2988825.0,0804102090,08
United Arab Emirates,1527815.0,0804102090,08
West Bank Administered by Israel,235152.0,0804102090,08
Israel,7292967.0,0804104000,08
Jordan,331357.0,0804104000,08
Saudi Arabia,2637160.0,0804104000,08
United Arab Emirates,318280.0,0804104000,08
West Bank Administered by Israel,1309980.0,0804104000,08
Israel,2579202.0,0804106000,08
Jordan,28135.0,0804106000,08
Saudi Arabia,1747854.0,0804106000,08
United Arab Emirates,500808.0,0804106000,08
United Arab Emirates,91832.0,0804108000,08
United Arab Emirates,41805.0,0804204000,08
United Arab Emirates,4200.0,0804206000,08
United Arab Emirates,103032.0,0804208000,08
Israel,2971.0,0804508010,08
United Arab Emirates,33972.0,0804508010,08
Israel,48804.0,0805210010,08
Israel,15136815.0,0805210090,08
Israel,2951334.0,0805408000,08
United Arab Emirates,48825.0,0805502050,08
Israel,1147724.0,0805900100,08
Iraq,4750.0,0806201090,08
Israel,704660.0,0810700000,08
Israel,177948.0,0810904610,08
Israel,5235848.0,0810904660,08
Iraq,23491.0,0813100000,08
Lebanon,19121.0,0813100000,08
Syria,85704.0,0813100000,08
United Arab Emirates,21255.0,0813100000,08
United Arab Emirates,54447.0,0813202010,08
United Arab Emirates,12654.0,0813202090,08
United Arab Emirates,38261.0,0813401500,08
Israel,7308.0,0813402060,08
United Arab Emirates,5000.0,0813403090,08
United Arab Emirates,6225.0,0813404000,08
Israel,846399.0,0813409000,08
Jordan,10253.0,0813409000,08
Lebanon,32910.0,0813409000,08
United Arab Emirates,51993.0,0813409000,08
Oman,7000.0,0813500020,08
United Arab Emirates,7057.0,0813500020,08
Israel,10401.0,0813500040,08
Jordan,45904.0,0813500040,08
Lebanon,4870.0,0813500040,08
Saudi Arabia,4914.0,0813500040,08
Israel,3024.0,0813500060,08
Syria,2842.0,0813500060,08
Yemen,48450.0,0901110015,09
Saudi Arabia,66240.0,0901110025,09
Yemen,1932376.0,0901110025,09
Jordan,8285.0,0901110055,09
Oman,2660.0,0901110055,09
Saudi Arabia,12524.0,0901110055,09
Syria,328536.0,0901110055,09
United Arab Emirates,111238.0,0901110055,09
Yemen,192495.0,0901110055,09
Israel,17814.0,0901210035,09
Israel,931085.0,0901210045,09
Jordan,181208.0,0901210045,09
Lebanon,2137853.0,0901210045,09
Saudi Arabia,64586.0,0901210045,09
Syria,374477.0,0901210045,09
United Arab Emirates,257925.0,0901210045,09
Yemen,25792.0,0901210045,09
Israel,39332.0,0901210065,09
Jordan,3073096.0,0901210065,09
Lebanon,1649967.0,0901210065,09
Saudi Arabia,13758.0,0901210065,09
Syria,9720.0,0901210065,09
United Arab Emirates,69961.0,0901210065,09
Yemen,697174.0,0901210065,09
Jordan,3627.0,0901220045,09
Lebanon,18850.0,0901220045,09
Syria,82834.0,0901220045,09
United Arab Emirates,10125.0,0901220045,09
Jordan,5768.0,0901220060,09
Lebanon,2500.0,0901220060,09
Saudi Arabia,12726.0,0901220060,09
United Arab Emirates,79213.0,0901220060,09
Yemen,49131.0,0901901000,09
Israel,30000.0,0901902000,09
Lebanon,15524.0,0901902000,09
United Arab Emirates,4499.0,0902101015,09
Israel,104365.0,0902101050,09
Jordan,6300.0,0902101050,09
United Arab Emirates,137948.0,0902101050,09
Yemen,68950.0,0902101050,09
Israel,10032.0,0902109050,09
United Arab Emirates,619300.0,0902109050,09
Yemen,55275.0,0902109050,09
Yemen,80500.0,0902209015,09
United Arab Emirates,199966.0,0902209050,09
Iraq,18310.0,0902300050,09
Israel,748724.0,0902300050,09
Jordan,123885.0,0902300050,09
United Arab Emirates,8302699.0,0902300050,09
Israel,160060.0,0902300090,09
Jordan,34967.0,0902300090,09
Saudi Arabia,31287.0,0902300090,09
United Arab Emirates,11805808.0,0902300090,09
Yemen,176691.0,0902300090,09
Iraq,8140.0,0902400000,09
Jordan,306125.0,0902400000,09
Lebanon,9350.0,0902400000,09
Oman,11800.0,0902400000,09
Qatar,12400.0,0902400000,09
United Arab Emirates,8727.0,0902400000,09
Yemen,381122.0,0902400000,09
Syria,28450.0,0903000000,09
Lebanon,10191.0,0904110020,09
United Arab Emirates,206943.0,0904110020,09
Jordan,4800.0,0904110040,09
Israel,29793.0,0904120000,09
Jordan,27099.0,0904120000,09
Lebanon,39128.0,0904120000,09
United Arab Emirates,84865.0,0904120000,09
Yemen,2435.0,0904120000,09
Israel,43270.0,0904212000,09
Lebanon,27198.0,0904212000,09
United Arab Emirates,11628.0,0904212000,09
Jordan,2424.0,0904216090,09
Lebanon,71534.0,0904216090,09
Syria,10348.0,0904216090,09
United Arab Emirates,35787.0,0904216090,09
Lebanon,35741.0,0904218000,09
Israel,2988214.0,0904222000,09
Jordan,10181.0,0904222000,09
Lebanon,7906.0,0904222000,09
United Arab Emirates,104817.0,0904222000,09
Israel,16974.0,0904227600,09
Jordan,32415.0,0904227600,09
Lebanon,50373.0,0904227600,09
Syria,3100.0,0904227600,09
United Arab Emirates,897765.0,0904227600,09
Yemen,6302.0,0904227600,09
Lebanon,28579.0,0904228000,09
Israel,46368.0,0905200000,09
Lebanon,16960.0,0905200000,09
Lebanon,52186.0,0906110000,09
United Arab Emirates,3170.0,0906110000,09
Jordan,6200.0,0906190000,09
Israel,2214.0,0906200000,09
Jordan,4996.0,0906200000,09
Lebanon,28110.0,0906200000,09
United Arab Emirates,16470.0,0906200000,09
Jordan,12600.0,0907100000,09
United Arab Emirates,105035.0,0907100000,09
Jordan,11400.0,0907200000,09
Lebanon,2900.0,0907200000,09
United Arab Emirates,5400.0,0908110000,09
Israel,2360.0,0908120000,09
Lebanon,5393.0,0908120000,09
Iraq,40648.0,0908310000,09
Jordan,6000.0,0908310000,09
Lebanon,22282.0,0908310000,09
United Arab Emirates,6247.0,0908310000,09
Jordan,4400.0,0908320000,09
Lebanon,26807.0,0908320000,09
United Arab Emirates,4141.0,0908320000,09
Lebanon,3459.0,0909210000,09
United Arab Emirates,9836.0,0909210000,09
Lebanon,41876.0,0909220000,09
United Arab Emirates,10736.0,0909220000,09
Lebanon,32732.0,0909310000,09
United Arab Emirates,555400.0,0909310000,09
Israel,16732.0,0909320000,09
Jordan,3500.0,0909320000,09
Lebanon,44187.0,0909320000,09
Syria,7803.0,0909320000,09
United Arab Emirates,32597.0,0909320000,09
Lebanon,23659.0,0909610000,09
Syria,1172212.0,0909610000,09
Jordan,3750.0,0909620000,09
Syria,291289.0,0909620000,09
Israel,3562098.0,0910120000,09
Jordan,11939.0,0910120000,09
Lebanon,21642.0,0910120000,09
United Arab Emirates,3343.0,0910120000,09
Israel,47800.0,0910200000,09
Oman,52990.0,0910200000,09
United Arab Emirates,51193.0,0910200000,09
Israel,85184.0,0910300000,09
Jordan,16488.0,0910300000,09
Lebanon,44171.0,0910300000,09
United Arab Emirates,9739.0,0910300000,09
Iraq,8431.0,0910910000,09
Israel,120927.0,0910910000,09
Jordan,513097.0,0910910000,09
Kuwait,14553.0,0910910000,09
Lebanon,970166.0,0910910000,09
Oman,2275.0,0910910000,09
Saudi Arabia,17920.0,0910910000,09
Syria,67819.0,0910910000,09
United Arab Emirates,5387239.0,0910910000,09
West Bank Administered by Israel,7300.0,0910910000,09
Yemen,19050.0,0910910000,09
Lebanon,10400.0,0910990500,09
United Arab Emirates,6967.0,0910990500,09
West Bank Administered by Israel,5335.0,0910990500,09
Israel,16324.0,0910990600,09
Jordan,369852.0,0910990600,09
Lebanon,75727.0,0910990600,09
Syria,24886.0,0910990600,09
West Bank Administered by Israel,5516.0,0910990600,09
Israel,31822.0,0910990700,09
Lebanon,19457.0,0910990700,09
Iraq,7804.0,0910991000,09
Israel,25632.0,0910991000,09
Jordan,15398.0,0910991000,09
Lebanon,34957.0,0910991000,09
United Arab Emirates,13745.0,0910991000,09
Jordan,3400.0,0910992000,09
Israel,77389.0,0910995000,09
United Arab Emirates,64517.0,0910995000,09
Israel,457133.0,0910996000,09
Jordan,1001610.0,0910996000,09
Lebanon,611122.0,0910996000,09
Saudi Arabia,15456.0,0910996000,09
Syria,41239.0,0910996000,09
United Arab Emirates,1627616.0,0910996000,09
West Bank Administered by Israel,390378.0,0910996000,09
Yemen,129851.0,0910996000,09
Israel,3332.0,1001990097,10
Lebanon,9000.0,1001990097,10
Israel,23800.0,1005904040,10
Jordan,5755.0,1005904040,10
Israel,45603.0,1006202090,10
Jordan,25788.0,1006202090,10
United Arab Emirates,858022.0,1006202090,10
Iraq,56500.0,1006301020,10
Lebanon,139935.0,1006301020,10
Israel,24624.0,1006309057,10
Iraq,17130.0,1006309059,10
Israel,10585.0,1006309059,10
United Arab Emirates,332040.0,1006309059,10
Israel,22162.0,1006309061,10
United Arab Emirates,22425.0,1006309065,10
Lebanon,2170.0,1006309075,10
United Arab Emirates,67340.0,1006309085,10
Israel,5400.0,1008100000,10
Israel,53496.0,1008500090,10
Jordan,5620.0,1008900140,10
United Arab Emirates,16628.0,1101000010,11
Jordan,4100.0,1101000020,11
United Arab Emirates,185201.0,1101000020,11
Israel,24505.0,1101000030,11
United Arab Emirates,115551.0,1101000050,11
Iraq,19883.0,1101000060,11
Israel,1832315.0,1101000060,11
Jordan,10500.0,1101000060,11
Lebanon,6540.0,1101000060,11
United Arab Emirates,10506653.0,1101000060,11
Jordan,5082.0,1102200000,11
Lebanon,3402.0,1102200000,11
Israel,3868.0,1102902000,11
Israel,8623.0,1102902500,11
United Arab Emirates,2480.0,1102902500,11
Israel,11691.0,1102902700,11
United Arab Emirates,1481007.0,1102903000,11
Israel,62250.0,1102906000,11
Jordan,12265.0,1102906000,11
United Arab Emirates,352051.0,1102906000,11
Israel,21490.0,1103110020,11
United Arab Emirates,97228.0,1103110020,11
Israel,1371640.0,1103110040,11
Jordan,16236.0,1103110040,11
Lebanon,40755.0,1103110040,11
West Bank Administered by Israel,15463.0,1103110040,11
Israel,3134.0,1103191200,11
Jordan,5740.0,1104120000,11
Israel,68837.0,1104191000,11
Lebanon,3840.0,1104191000,11
Israel,60766.0,1104291000,11
Iraq,12913.0,1104299000,11
Jordan,19870.0,1104299000,11
United Arab Emirates,3400.0,1104299000,11
Lebanon,14000.0,1104300000,11
Israel,8502.0,1106100000,11
Lebanon,14502.0,1106100000,11
United Arab Emirates,9317.0,1106100000,11
United Arab Emirates,54960.0,1106209000,11
Israel,32861.0,1106304000,11
United Arab Emirates,2139316.0,1106304000,11
Israel,65062.0,1108120010,11
