Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
St Pierre and Miquelon,SPM,31ND,2500.0,North America,RoWorld,2.8610560830376078e-09,4.8439603754909066e-08,873803213723.0,51610661653.0
St Pierre and Miquelon,SPM,33DG,2964.0,North America,RoWorld,1.4958804304537316e-09,4.386222405146625e-08,1981441791508.0,67575232768.0
St Pierre and Miquelon,SPM,Other,3430259.0,North America,RoWorld,2.3265920550457932e-05,0.0003546095358792158,147437063260.0,9673341106.0
St Vincent and the Grenadines,VCT,11,2029463.0,North America,RoWorld,2.4655775624506777e-05,7.345921177283507e-05,82311870083.0,27627072916.0
St Vincent and the Grenadines,VCT,31ND,78545.0,North America,RoWorld,8.988866001687556e-08,1.521875470771733e-06,873803213723.0,51610661653.0
St Vincent and the Grenadines,VCT,33DG,95854.0,North America,RoWorld,4.837588487878272e-08,1.418478280779098e-06,1981441791508.0,67575232768.0
St Vincent and the Grenadines,VCT,Other,6060018.0,North America,RoWorld,4.110240577237607e-05,0.0006264658646474489,147437063260.0,9673341106.0
Sudan,SDN,11,13114399.0,Africa,RoWorld,0.0001593257325678054,0.0004746937556459302,82311870083.0,27627072916.0
Sudan,SDN,Other,19492.0,Africa,RoWorld,1.3220556330280776e-07,2.01502250219522e-06,147437063260.0,9673341106.0
Suriname,SUR,11,46835929.0,South America,RoWorld,0.0005690057697969019,0.0016952910336322797,82311870083.0,27627072916.0
Suriname,SUR,21,12500.0,South America,RoWorld,6.852866585113013e-08,2.984908397014096e-07,182405418882.0,41877332023.0
Suriname,SUR,31ND,1472880.0,South America,RoWorld,1.6855969134337727e-06,2.8538289431412183e-05,873803213723.0,51610661653.0
Suriname,SUR,33DG,10490396.0,South America,RoWorld,5.294324589780737e-06,0.00015524024957510303,1981441791508.0,67575232768.0
Suriname,SUR,Other,32101705.0,South America,RoWorld,0.00021773158180307613,0.003318574693917136,147437063260.0,9673341106.0
"Svalbard, Jan Mayen Island",SJM,31ND,12285.0,Europe,Europe,1.4059229592046805e-08,3.911941016862715e-08,873803213723.0,314038477243.0
"Svalbard, Jan Mayen Island",SJM,33DG,28303.0,Europe,Europe,1.4284043125213212e-08,7.610616191998286e-08,1981441791508.0,371888415944.0
"Svalbard, Jan Mayen Island",SJM,Other,1267.0,Europe,Europe,8.593497265783779e-09,2.208950020192951e-08,147437063260.0,57357567551.0
Sweden,SWE,11,54701080.0,Europe,Europe,0.0006645588290588176,0.009991557740606706,82311870083.0,5474729909.0
Sweden,SWE,21,24730525.0,Europe,Europe,0.0001355799907238416,0.010167414733228464,182405418882.0,2432331684.0
Sweden,SWE,31ND,5324434920.0,Europe,Europe,0.006093402766641543,0.01695472149382511,873803213723.0,314038477243.0
Sweden,SWE,33DG,12005525574.0,Europe,Europe,0.006058984738008907,0.03228260160652013,1981441791508.0,371888415944.0
Sweden,SWE,Other,586280569.0,Europe,Europe,0.003976480242054979,0.010221503352259548,147437063260.0,57357567551.0
Switzerland,CHE,11,9799589.0,Europe,Europe,0.0001190543841382596,0.0017899675715308423,82311870083.0,5474729909.0
Switzerland,CHE,21,1748682.0,Europe,Europe,9.586787556630875e-06,0.0007189323773163496,182405418882.0,2432331684.0
Switzerland,CHE,31ND,26501190350.0,Europe,Europe,0.03032855674344202,0.08438835451839753,873803213723.0,314038477243.0
Switzerland,CHE,33DG,33153076591.0,Europe,Europe,0.016731794359585227,0.08914791418507718,1981441791508.0,371888415944.0
Switzerland,CHE,Other,3759503390.0,Europe,Europe,0.025499038755066965,0.06554502832877639,147437063260.0,57357567551.0
Syria,SYR,11,696136.0,Asia,RoAsia,8.457297827130453e-06,5.837001542429854e-05,82311870083.0,11926260340.0
Syria,SYR,31ND,8692242.0,Asia,RoAsia,9.947596739733993e-06,3.842260654555308e-05,873803213723.0,226227286004.0
Syria,SYR,33DG,2642400.0,Asia,RoAsia,1.3335743756514644e-06,4.976164877669063e-06,1981441791508.0,531011344069.0
Syria,SYR,Other,9272158.0,Asia,RoAsia,6.288892219488176e-05,0.00036576523874167817,147437063260.0,25350025147.0
Taiwan,TWN,11,213615461.0,Asia,RoAsia,0.002595196303821049,0.01791135317443523,82311870083.0,11926260340.0
Taiwan,TWN,21,818288.0,Asia,RoAsia,4.486094793759165e-06,4.6422399421869525e-05,182405418882.0,17627007871.0
Taiwan,TWN,31ND,7098361417.0,Asia,RoAsia,0.00812352404468292,0.0313771231683984,873803213723.0,226227286004.0
Taiwan,TWN,33DG,106360269103.0,Asia,RoAsia,0.05367822035390363,0.2002975459770582,1981441791508.0,531011344069.0
Taiwan,TWN,Other,2590962618.0,Asia,RoAsia,0.017573346624728477,0.10220749695416466,147437063260.0,25350025147.0
Tajikistan,TJK,11,71285.0,Asia,RoAsia,8.660354810080133e-07,5.977146059851986e-06,82311870083.0,11926260340.0
Tajikistan,TJK,31ND,207353.0,Asia,RoAsia,2.3729942479443883e-07,9.165693655376908e-07,873803213723.0,226227286004.0
Tajikistan,TJK,33DG,3918536.0,Asia,RoAsia,1.97761852848463e-06,7.3793828394950875e-06,1981441791508.0,531011344069.0
Tajikistan,TJK,Other,436764.0,Asia,RoAsia,2.9623758798680238e-06,1.7229332021064604e-05,147437063260.0,25350025147.0
Tanzania,TZA,11,60107799.0,Africa,RoWorld,0.0007302446043248647,0.0021756846692647285,82311870083.0,27627072916.0
Tanzania,TZA,31ND,82910416.0,Africa,RoWorld,9.488454001759144e-05,0.001606459079277869,873803213723.0,51610661653.0
Tanzania,TZA,33DG,48214879.0,Africa,RoWorld,2.433323007854068e-05,0.0007134992662997082,1981441791508.0,67575232768.0
Tanzania,TZA,Other,13481761.0,Africa,RoWorld,9.144078633895058e-05,0.0013937026361696048,147437063260.0,9673341106.0
Thailand,THA,11,1044517812.0,Asia,RoAsia,0.012689759216340852,0.08758133582718688,82311870083.0,11926260340.0
