"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
,Name,Crop production,Animal production and aquaculture,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,"Electric power generation, transmission, and distribution","Natural gas distribution and water, sewage and other systems","Education, hospital, and health structures",Maintenance and repair construction,Office and commercial structures,Other residential construction,Other nonresidential structures,Power and communication structures,Single-family residential structures,Transportation structures and highways and streets,Wood products,Nonmetallic mineral products,Iron and steel mills and manufacturing from purchased steel,Nonferrous metal production and processing and foundries,Fabricated metal products,Agricultural implement manufacturing,Construction machinery manufacturing,Mining and oil and gas field machinery manufacturing,Other machinery,Computer and peripheral equipment manufacturing,Communications equipment manufacturing,Semiconductor and other electronic component manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing",Other computer and electronic product manufacturing,"Electrical equipment, appliances, and components",Automobile manufacturing,Light truck and utility vehicle manufacturing,Heavy duty truck manufacturing,"Motor vehicle body, trailer, and parts manufacturing",Aerospace product and parts manufacturing,All other transportation equipment manufacturing,Furniture and related products,Medical equipment and supplies manufacturing,Other miscellaneous manufacturing,Food manufacturing,Beverage manufacturing,Tobacco product manufacturing,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Basic chemical manufacturing,"Resin, rubber, and artificial fibers manufacturing",Pharmaceutical and medicine manufacturing,Other chemical manufacturing,Plastics and rubber products,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Professional and commercial equipment and supplies merchant wholesalers,Household appliances and electrical and electronic goods merchant wholesalers,"Machinery, equipment, and supplies merchant wholesalers",Other durable goods merchant wholesalers,Drugs and druggists sundries merchant wholesalers,Grocery and related products merchant wholesalers,Petroleum and petroleum products merchant wholesalers,Other nondurable goods merchant wholesalers,Wholesale electronic markets and agents and brokers,Customs duties,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Building material and garden equipment and supplies dealers,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,Nonstore retailers,All other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation and support activities,Couriers and messengers,Warehousing and storage,"Newspaper, periodical, book, and directory publishers",Software publishers,Motion picture and sound recording industries,Broadcasting (except Internet),Wired telecommunications carriers,Wireless telecommunications carriers (except satellites),"Other telecommunications, including satellite","Data processing, hosting, and related services",Other information services,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Direct life insurance carriers,"Insurance Carriers, except Direct Life Insurance","Agencies, brokerages, and other insurance related activities","Funds, trusts, and other financial vehicles",Owner-occupied housing,Tenant-occupied housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Accounting, tax preparation, bookkeeping, and payroll services","Architectural, engineering, and related services","Management, scientific, and technical consulting services",Scientific research and development services,"Advertising, public relations, and related services","Specialized design services and other professional, scientific, and technical services",Management of companies and enterprises,Employment services,Services to buildings and dwellings,Other administrative and support services,Waste management and remediation services,Educational services,Offices of physicians,Offices of dentists,Offices of other health practitioners,Outpatient care centers,Other ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local government educational services,State and local government hospitals and health services,State and local government other services,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,Imports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total Final Uses,Total Commodity Output
111,Crop production,22609,8451,97,0,15,12,0,0,20,414,36,386,37,19,155,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,68988,5174,1583,1812,0,0,0,0,13927,0,48,0,0,0,1,0,0,0,0,1,1,36,0,0,541,227,14,0,0,252,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,9,11,7,165,21,0,4,0,1048,2,0,136,0,0,0,0,0,0,0,0,0,39,22,497,0,0,17,0,0,-99,0,303,149,1265,0,128675,64009,0,0,0,0,-5556,35740,-34632,0,0,0,0,0,0,0,0,0,0,0,0,59561,188236
112,Animal production and aquaculture,657,48109,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,140125,2,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,24,0,0,10,0,52,0,0,0,0,0,0,0,0,0,352,19,2578,0,0,1,0,11,0,0,20,115,275,0,193904,11512,0,0,0,0,1976,2123,-6564,0,0,0,0,0,0,0,0,0,0,0,0,9047,202951
113FF,"Forestry, fishing, and related activities",19698,3222,7311,0,77,0,0,0,0,0,0,0,0,0,0,0,11602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,222,7732,104,0,0,129,2945,22,0,199,6,0,124,1775,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,22,0,2,0,0,61,0,0,0,0,0,0,0,0,0,200,367,4503,0,0,107,0,0,0,15,48,250,2879,0,64680,6572,0,0,0,0,434,6514,-17918,0,0,0,0,0,0,0,0,0,0,0,0,-4398,60282
211,Oil and gas extraction,0,0,0,16095,0,0,5027,3871,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283512,4899,14,5,50,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,75,2,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,33,0,0,0,2,1,0,1,0,0,2,0,0,0,2,182,0,0,0,0,0,0,0,0,0,21,0,0,0,1,1,0,0,0,1370,0,0,0,16762,331958,0,0,0,0,0,-3057,30506,-146746,0,0,0,0,0,0,0,0,0,0,0,0,-119297,212661
212,"Mining, except oil and gas",830,515,0,79,7693,88,3281,152,205,2998,1534,2484,950,367,2547,2296,13,9169,5212,3560,494,44,0,30,36,0,5,0,0,2,80,0,7,0,63,151,5,16,52,20,1359,123,43,54,0,1790,0,3133,3441,81,13,2055,183,0,3,0,0,11,0,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,91,0,5,1,0,2,0,3,35,0,18,112,157,12,37,30,357,0,0,0,0,0,0,3,5,0,0,0,0,0,534,0,585,0,0,47,0,523,353,75,418,0,0,0,0,0,29,38,70,280,885,166,919,173,904,202,0,0,3287,0,293,378,1127,5161,74591,173,104,0,0,0,-1123,15849,-5116,0,0,0,0,0,0,0,0,0,0,0,0,9887,84478
213,Support activities for mining,0,0,0,12422,1040,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492,0,2288,0,0,97579,-87,3045,-1048,0,0,0,0,0,0,0,0,0,0,0,0,101777,118269
2211,"Electric power generation, transmission, and distribution",1473,1597,84,2613,3562,660,9375,469,662,1465,826,1929,732,364,1579,678,1665,3302,2470,2286,4072,144,149,147,1984,19,77,1332,366,3,652,51,241,32,2392,1657,426,572,411,440,5730,794,211,777,17,5194,1429,4459,5985,2181,986,1676,4498,943,966,1055,1307,2566,1142,2089,322,3085,445,0,4471,9293,8314,2049,2024,4682,1872,2477,2967,240,26,103,3635,251,528,830,233,2180,326,625,493,393,2603,1017,165,2215,758,4119,935,67,329,308,7,0,602,36270,818,687,506,381,799,459,1969,440,728,5018,291,735,1678,679,770,1585,383,390,1498,441,8314,3645,1296,918,3237,7011,20634,1941,2217,1195,0,1580,302,1926,1361,622,1844,1263,277783,177661,0,0,0,0,0,2744,-2431,0,0,0,0,0,0,0,0,0,0,0,0,177974,455757
2212NW,"Natural gas distribution and water, sewage and other systems",5497,687,19,1447,178,69,1233,234,20,210,80,316,95,55,193,124,195,614,244,187,794,25,25,21,277,1,3,81,95,1,115,5,78,7,513,302,91,115,52,78,1545,191,46,105,3,1024,118,1537,2355,386,129,915,447,20,64,433,74,256,35,202,34,221,31,0,639,280,169,143,101,215,91,84,188,44,44,171,726,52,170,467,104,577,36,22,48,54,72,21,48,35,35,541,111,18,69,63,2834,1,0,6090,591,87,42,60,98,90,71,13,68,189,25,287,425,816,3993,168,33,5,81,52,756,431,80,105,255,745,1536,281,346,484,0,1931,899,866,5103,2881,7777,1583,72163,87756,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,89021,161184
23EH,"Education, hospital, and health structures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58226,0,0,0,0,0,0,2402,0,0,0,2309,0,0,0,85366,148303,148303
