hs_commodity,hs_description,naics_2023,naics_2022,overlap_type
713202025,"Kabuli Chickpeas, Except Seed, Dried,shelled (kg)",111130.0,,only_2023
713202075,"Chickpeas (garbanzos), Dried, Shelled, Nesoi (kg)",111130.0,,only_2023
713402035,"Red Lentils,certified Organic,dried,shelled, Nesoi (kg)",111130.0,,only_2023
713402050,"Red Lentils, Dried, Nt Org, Shelled, Nesoi (kg)",111130.0,,only_2023
713402065,"Lentils, Certified Organic,dried, Shelled, Nesoi (kg)",111130.0,,only_2023
713402085,"Lentils, Dried, Nt Cert, Shelled, Nesoi (kg)",111130.0,,only_2023
701901010,"Yellow (solano) Potatoes, Exc Seed,cert Org, Fr/ch (kg)",111211.0,,only_2023
701901060,"Yellow (solano) Potatoes Except Seed,not Org,fr/ch (kg)",111211.0,,only_2023
701905043,"Potatoes,cert Organic, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905046,"Russet Or Netted Gem Potatoes, Fr/ch, Nesoi (kg)",111211.0,,only_2023
701905056,"Red Skin Variety Potatoes, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905066,"Potatoes, White Varieties, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905076,"Potatoes, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
707004015,"Gherkins, Entered 3/1-4/30,fresh/chill (kg)",111219.0,,only_2023
707004035,No description available,111219.0,,only_2023
707004055,No description available,111219.0,,only_2023
705192020,"Lettuce, Entry 6/1-10/31, Fresh, Chilled, Romaine (kg)",111219.0,,only_2023
705192040,"Lettuce, Entry 6/1-10/31,fresh,chilled,butterhead (kg)",111219.0,,only_2023
705192060,"Red And Green Lettuce,entry 6/1-10/31,fr/ch (kg)",111219.0,,only_2023
705192080,"Lettuce, Entry 6/1-10/31, Fresh, Chilled, Nesoi (kg)",111219.0,,only_2023
705194020,"Lettuce, Entry 11/1-5/31, Fresh, Chilled, Romaine (kg)",111219.0,,only_2023
705194040,"Lettuce, Entry 11/1-5/31, Fresh,chilled,butterhead (kg)",111219.0,,only_2023
705194060,"Red And Green Lettuce,entry 11/1-5/31,fr/ch (kg)",111219.0,,only_2023
705194080,"Lettuce, Entry 11/1-5/31, Fresh, Chilled, Nesoi (kg)",111219.0,,only_2023
706904020,"Celeriac, Fresh Or Chilled (kg)",111219.0,,only_2023
706904040,"Salsify & Similar Edible Roots, Fr/ch (kg)",111219.0,,only_2023
703104025,"Onions Oth Th Pearl Or Sets, Cert Org,fr/ch Nesoi (kg)",111219.0,,only_2023
703104045,"Shallots, Cert Organic, Fresh/chill Nesoi (kg)",111219.0,,only_2023
703104065,"Onions Oth Th Pearl Or Sets, Nt Cert Org,fr/ch Nes (kg)",111219.0,,only_2023
703104085,No description available,111219.0,,only_2023
709404020,"Celery Nt Celeriac,nt Redu,4/15-7/31,fr/ch,org (kg)",111219.0,,only_2023
709404040,"Celery Nt Celeriac,nt Redu,4/15-7/31,fr/ch,nt Org (kg)",111219.0,,only_2023
709406020,"Celery Nt Celeriac,nt Redu, Ent 8/1-4/14,fr/ch,org (kg)",111219.0,,only_2023
709406040,"Celery Nt Celeriac,nt Redu,8/1-4/14,fr/ch,nt Org (kg)",111219.0,,only_2023
709932022,"Butternut Squash, Cert Org, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932025,"Grey Squash, Cert Organic, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932028,"Spaghetti Squash, Cert Org, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932032,"Kabocha Squash, Cert Org, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932035,"Acorn Squash, Cert Org, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932038,"Squash, Certified Organic, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932055,"Zucchini Squash, Nt Org,fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932060,"Butternut Squash, Nt Org, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932065,"Grey Squash, Nt Org,fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932070,"Spaghetti Squash, Nt Org,fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932075,"Yellow Straightneck Squash,nt Org,fr/chilled,nesoi (kg)",111219.0,,only_2023
709932080,"Kabocha Squash, Nt Org,fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932085,"Acorn Squash, Nt Org, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709932090,"Squash, Nt Org, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
708102020,"Peas Entered 7/1-9/30, Fresh, Chilld, Snow Peas (kg)",111219.0,,only_2023
708102040,"Peas Entered 7/1-9/30,fresh,chilld,sugar Snap Peas (kg)",111219.0,,only_2023
708102060,"Peas Entered 7/1-9/30, Fresh, Chilld,nesoi (kg)",111219.0,,only_2023
708104020,"Peas Entered 10/1-6/30, Fresh, Chilld, Snow Peas (kg)",111219.0,,only_2023
708104040,"Peas Ent 10/1-6/30, Fresh,chilld,sugar Snap Peas (kg)",111219.0,,only_2023
708104060,"Peas Entered 7/1-9/30, Fresh, Chilld,nesoi (kg)",111219.0,,only_2023
807197020,"Melons, Fresh, Entered 12/1 To 5/31, Honeydew (kg)",111219.0,,only_2023
807197040,"Melons, Fresh, Entered 12/1 To 5/31, Nesoi (kg)",111219.0,,only_2023
807198020,"Melons, Fresh, Entered 6/1-11/30, Honeydew (kg)",111219.0,,only_2023
807198040,"Melons, Fresh, Entered 6/1-11/30, Nesoi (kg)",111219.0,,only_2023
709602020,"Jalapeno Peppers,oth Th Greenhouse, Fresh/chilled (kg)",111219.0,,only_2023
709602030,"Mini Sweet Peppers,oth Th Greenhouse,fresh/chilled (kg)",111219.0,,only_2023
709602040,"Anaheim Peppers,oth Th Greenhouse, Fresh/chilled (kg)",111219.0,,only_2023
709602050,"Poblano Peppers,oth Than Greenhouse, Fresh/chilled (kg)",111219.0,,only_2023
709602060,"Serrano Peppers,oth Than Greenhouse, Fresh/chilled (kg)",111219.0,,only_2023
709602070,"Chili Peppers,oth Th Greenhouse, Fresh/chilled,nes (kg)",111219.0,,only_2023
709999030,"Cactus Leaves, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
709999080,"Vegetables, Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
704904022,"Broccoli Incl Sprouting Broccoli,fr/ch,cert Org (kg)",111219.0,,only_2023
704904024,"Broccoli Incl Sprouting Broccoli,fr/ch,oth Th Cert (kg)",111219.0,,only_2023
704904045,"Napa Cabbage,  Fresh Or Chilled, Nesoi (kg)",111219.0,,only_2023
704904055,"Kohlrabi & Similar Edible Brassicas, Fr/ch, Nesoi (kg)",111219.0,,only_2023
707002015,"Gherkins, Entered 12/1-end Of Feb,fresh/chill (kg)",111219.0,,only_2023
707002035,No description available,111219.0,,only_2023
707002055,No description available,111219.0,,only_2023
805503020,"Limes (citrus Latifolia), Fresh Or Dried,cert Org (kg)",111320.0,,only_2023
805503040,"Limes (citrus Latifolia),fresh Or Dried,oth Th Org (kg)",111320.0,,only_2023
806102005,"Grapes, Fresh, Certified Organic,entered 2/15-3/31 (m3)",111332.0,,only_2023
806102015,"Grapes, Fresh, Red Varieties, Entered 2/15-3/31 (m3)",111332.0,,only_2023
806102025,"Grapes, Fresh, White Varieties, Entered 2/15-3/31 (m3)",111332.0,,only_2023
806102035,"Grapes, Fresh, Black Varieties, Entered 2/15-3/31 (m3)",111332.0,,only_2023
806102045,"Grapes, Fresh, Entered 2/15-3/31, Nesoi (m3)",111332.0,,only_2023
806104005,"Grapes, Fresh, Certified Organic, Entered 4/1-6/30 (m3)",111332.0,,only_2023
806104015,"Grapes, Fresh, Red Varieties, Entered 4/1-6/30 (m3)",111332.0,,only_2023
806104025,"Grapes, Fresh, White Varieties, Entered 4/1-6/30 (m3)",111332.0,,only_2023
806104035,No description available,111332.0,,only_2023
806104045,"Grapes, Fresh, Entered 4/1-6/30, Nesoi (m3)",111332.0,,only_2023
806106005,"Grapes, Fresh, Certified Organic,entering 7/1-2/14 (m3)",111332.0,,only_2023
806106015,"Grapes, Fresh, Red Varieties, Entering 7/1-2/14 (m3)",111332.0,,only_2023
806106025,"Grapes, Fresh, White Varieties, Entering 7/1-2/14 (m3)",111332.0,,only_2023
806106035,"Grapes, Fresh, Black Varieties, Entering 7/1-2/14 (m3)",111332.0,,only_2023
806106045,"Grapes, Fresh, Entering 7/1-2/14, Nesoi (m3)",111332.0,,only_2023
810904620,"Fruits, Fresh, Cactus Pears, Nesoi (kg)",111339.0,,only_2023
810904630,"Fruits, Fresh, Dragon Fruit, Nesoi (kg)",111339.0,,only_2023
810904640,"Fruits, Fresh, Jackfruit, Nesoi (kg)",111339.0,,only_2023
810904650,"Fruits, Fresh, Lychee, Nesoi (kg)",111339.0,,only_2023
810904660,"Fruits, Fresh, Pomegranates, Nesoi (kg)",111339.0,,only_2023
810904670,"Fruits, Fresh, Rambutan, Nesoi (kg)",111339.0,,only_2023
810904680,"Fruits, Fresh, Nesoi (kg)",111339.0,,only_2023
804102010,"Dates Whole,cert Org,fr/dried,in Units Wt Lt=4.6kg (kg)",111339.0,,only_2023
804102090,"Dates Whole, Fr/dried, Packed In Units Wt Lt=4.6kg (kg)",111339.0,,only_2023
804504065,"Mangosteens Fresh, Entered 9/1-5/31 (kg)",111339.0,,only_2023
804504075,"Guavas And Mangoes, Fresh, Entered 9/1-5/31 (kg)",111339.0,,only_2023
804506065,Mangosteens Fresh Entered 6/1-8/31 (kg),111339.0,,only_2023
804506075,Guavas And Mangoes Fresh Entered 6/1-8/31 (kg),111339.0,,only_2023
707005030,"Grnhouse Cucumbers, Persian,fr, 5/1-6/30,9/1-11/30 (kg)",111419.0,,only_2023
707005050,"Grnhouse Cucumber,lng Seedls,fr,5/1-6/30,9/1-11/30 (kg)",111419.0,,only_2023
707005060,"Greenhouse Cucumbers,fr, 5/1-6/30,9/1-11/30, Nes (kg)",111419.0,,only_2023
707006024,"Greenhouse Cucumbers, Persian,7/1-8/31, Fr/ch Nes (kg)",111419.0,,only_2023
707006026,"Greenhouse Cucumbers,lng Seedls,7/1-8/31,fr/ch Nes (kg)",111419.0,,only_2023
707006028,"Greenhouse Cucumbers, 7/1-8/31, Fresh/chilled Nes (kg)",111419.0,,only_2023
604200005,"Foliage, Branches Etc, Fresh, Aralia (no)",111422.0,,only_2023
604200011,"Foliage, Branches Etc, Fresh, Aspidistra (no)",111422.0,,only_2023
604200015,"Foliage, Branches Etc, Fresh, Eucalyptus (no)",111422.0,,only_2023
604200065,"Foliage, Branches Etc, Fresh, Ferns, Leather Leaf (no)",111422.0,,only_2023
604200070,"Foliage, Branches Etc, Fresh, Other Ferns (no)",111422.0,,only_2023
604200074,"Foliage, Branches Etc, Fresh, Palms, Chamaedorea (no)",111422.0,,only_2023
604200078,"Foliage, Branches Etc, Fresh, Other Palms (no)",111422.0,,only_2023
604200082,"Foliage, Branches Etc, Fresh, Pittosporum (no)",111422.0,,only_2023
604200084,"Foliage, Branches Etc, Fresh, Ruscus (no)",111422.0,,only_2023
604200086,"Foliage, Branches Etc, Fresh, Nesoi (no)",111422.0,,only_2023
603190107,"Cut Flowers And Flower Buds,  Fresh, Alstroemeria (no)",111422.0,,only_2023
603190109,"Cut Flowers And Flower Buds,  Fresh, Aster (no)",111422.0,,only_2023
603190111,"Cut Flowers And Flower Buds,frsh,bells Of Ireland (no)",111422.0,,only_2023
603190113,"Cut Flowers And Flower Buds,fresh,bird Of Paradise (no)",111422.0,,only_2023
603190115,"Cut Flowers And Flower Buds,  Fresh, Daffodils (no)",111422.0,,only_2023
603190117,"Cut Flowers And Flower Buds,  Fresh, Freesia (no)",111422.0,,only_2023
603190118,"Cut Flowers And Flower Buds,  Fresh, Gerbera (no)",111422.0,,only_2023
603190119,"Cut Flowers And Flower Buds,  Fresh, Gladiolus (no)",111422.0,,only_2023
603190127,"Cut Flowers And Flower Buds, Fresh, Hypericum (no)",111422.0,,only_2023
603190129,"Cut Flowers And Flower Buds,  Fresh, Lisianthus (no)",111422.0,,only_2023
603190131,"Cut Flowers And Flower Buds,  Fresh, Peony (no)",111422.0,,only_2023
603190135,"Cut Flowers And Flower Buds,  Fresh, Ranunculus (no)",111422.0,,only_2023
603190141,"Cut Flowers And Flower Buds,  Fresh,  Statice (no)",111422.0,,only_2023
603190142,"Cut Flowers And Flower Buds,  Fresh, Stock (no)",111422.0,,only_2023
603190143,"Cut Flowers And Flower Buds,  Fresh, Sunflowers (no)",111422.0,,only_2023
603190195,"Cut Flowers And Flower Buds,  Fresh, Nesoi (no)",111422.0,,only_2023
1702204040,"Maple Syrup, Cert Org, In Containers Over 5kg (kg)",111998.0,,only_2023
1702204050,"Maple Syrup, Certified Organic, Nesoi (kg)",111998.0,,only_2023
1702204060,"Maple Syrup, Not Organic, In Containers Over 5kg (kg)",111998.0,,only_2023
1702204070,"Maple Syrup, Not Organic, Nesoi (kg)",111998.0,,only_2023
604200072,"Foliage, Branches Etc, Fresh, Mosses And Lichens (no)",113210.0,,only_2023
2702200000,"Lignite, Agglomerated, Excluding Jet (t)",212114.0,212111.0,both_years
2702100000,"Lignite, Not Agglomerated, Excluding Jet (t)",212114.0,212111.0,both_years
2701110000,"Anthracite Coal, Not Agglomerated (t)",212114.0,212113.0,both_years
2701190010,Sub-bituminous Coal (t),212115.0,212112.0,both_years
2701190050,"Coal, Not Agglomerated, Nesoi (t)",212115.0,212112.0,both_years
2701120010,Metallurgical Bituminous Coal Not Agglomerated (t),212115.0,212112.0,both_years
2701120050,"Bituminous Coal Nt Metallurgical, Not Agglomerated (t)",212115.0,212112.0,both_years
2616900010,No description available,212220.0,212221.0,both_years
2616900020,No description available,212220.0,212221.0,both_years
2616900030,"Precious Metal Ores & Concen, Zinc Content, Nesoi (ckg)",212220.0,212221.0,both_years
2616900040,"Precious Metal Ores & Concen, Gold Content, Nesoi (cgm)",212220.0,212221.0,both_years
2616900050,No description available,212220.0,212221.0,both_years
2616100010,No description available,212220.0,212222.0,both_years
2616100020,No description available,212220.0,212222.0,both_years
2616100030,No description available,212220.0,212222.0,both_years
2616100040,No description available,212220.0,212222.0,both_years
2616100080,No description available,212220.0,212222.0,both_years
2612100000,Uranium Ores And Concentrates (kg),212290.0,212291.0,both_years
2615906090,Vanadium Ores And Concentrates (kg),212290.0,212291.0,both_years
2609000000,Tin Ores And Concentrates (t),212290.0,212299.0,both_years
2606000030,"Bauxite, Calcined Refractory Grade (t)",212290.0,212299.0,both_years
2606000060,"Bauxite, Calcined Not Refractory Grade (t)",212290.0,212299.0,both_years
2606000090,Aluminum Ores & Concentrates Not Calcined Bauxite (t),212290.0,212299.0,both_years
2614003000,Synthetic Rutile (kg),212290.0,212299.0,both_years
2614006020,Ilmenite And Ilmenite Sand (kg),212290.0,212299.0,both_years
2614006040,"Titanium Ores And Concentrates, Nesoi (kg)",212290.0,212299.0,both_years
2613100000,Molybdenum Ores And Concentrates Roasted (kg),212290.0,212299.0,both_years
2611003000,Tungsten Ores (kg),212290.0,212299.0,both_years
2611006000,Tungsten Concentrates (kg),212290.0,212299.0,both_years
2613900000,Molybdenum Ores And Concentrates Not Roasted (kg),212290.0,212299.0,both_years
2612200000,No description available,212290.0,212299.0,both_years
2605000000,Cobalt Ores And Concentrates (kg),212290.0,212299.0,both_years
