hs_code,matched_bea_detail,match_level,mapping_strength,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source,bea_code_2024,bea_code_2022
4802574085,322120,hs8,1.0,4802574085,322120,322120,new_hs_code_2024,322120,322120
702002002,111400,hs6,0.5,702002002,111419,111419,new_hs_code_2024,111400,111400
702002004,111400,hs6,0.5,702002004,111419,111419,new_hs_code_2024,111400,111400
702002006,111400,hs6,0.5,702002006,111419,111419,new_hs_code_2024,111400,111400
702002008,111400,hs6,0.5,702002008,111419,111419,new_hs_code_2024,111400,111400
702002043,111400,hs8,0.5,702002043,111219,111219,new_hs_code_2024,111200,111200
702002044,111400,hs8,0.5,702002044,111219,111219,new_hs_code_2024,111200,111200
702002048,111400,hs8,0.5,702002048,111219,111219,new_hs_code_2024,111200,111200
702002050,111200,hs8,1.0,702002050,111219,111219,new_hs_code_2024,111200,111200
702004002,111400,hs6,0.5,702004002,111419,111419,new_hs_code_2024,111400,111400
702004004,111400,hs6,0.5,702004004,111419,111419,new_hs_code_2024,111400,111400
702004006,111400,hs6,0.5,702004006,111419,111419,new_hs_code_2024,111400,111400
702004008,111400,hs6,0.5,702004008,111419,111419,new_hs_code_2024,111400,111400
702006002,111400,hs6,0.5,702006002,111419,111419,new_hs_code_2024,111400,111400
702006004,111400,hs6,0.5,702006004,111419,111419,new_hs_code_2024,111400,111400
702006006,111400,hs6,0.5,702006006,111419,111419,new_hs_code_2024,111400,111400
702006008,111400,hs6,0.5,702006008,111419,111419,new_hs_code_2024,111400,111400
702006033,111200,hs8,0.6666666666666666,702006033,111219,111219,new_hs_code_2024,111200,111200
702006034,111200,hs8,0.6666666666666666,702006034,111219,111219,new_hs_code_2024,111200,111200
702006037,111200,hs8,0.6666666666666666,702006037,111219,111219,new_hs_code_2024,111200,111200
702006038,111200,hs8,0.6666666666666666,702006038,111219,111219,new_hs_code_2024,111200,111200
703104070,111200,hs6,1.0,703104070,111219,111219,new_hs_code_2024,111200,111200
703104075,111200,hs6,1.0,703104075,111219,111219,new_hs_code_2024,111200,111200
704904028,111200,hs8,1.0,704904028,111219,111219,new_hs_code_2024,111200,111200
707002037,111200,hs8,1.0,707002037,111219,111219,new_hs_code_2024,111200,111200
707002040,111200,hs6,1.0,707002040,111219,111219,new_hs_code_2024,111200,111200
707002045,111200,hs6,1.0,707002045,111219,111219,new_hs_code_2024,111200,111200
707002050,111200,hs8,1.0,707002050,111219,111219,new_hs_code_2024,111200,111200
707002060,111200,hs6,1.0,707002060,111219,111219,new_hs_code_2024,111200,111200
707002070,111200,hs6,1.0,707002070,111219,111219,new_hs_code_2024,111200,111200
707002080,111200,hs6,1.0,707002080,111219,111219,new_hs_code_2024,111200,111200
707002090,111200,hs6,1.0,707002090,111219,111219,new_hs_code_2024,111200,111200
707004037,111200,hs8,1.0,707004037,111219,111219,new_hs_code_2024,111200,111200
707004040,111200,hs6,1.0,707004040,111219,111219,new_hs_code_2024,111200,111200
707004045,111200,hs6,1.0,707004045,111219,111219,new_hs_code_2024,111200,111200
707004050,111200,hs8,1.0,707004050,111219,111219,new_hs_code_2024,111200,111200
707004060,111200,hs6,1.0,707004060,111219,111219,new_hs_code_2024,111200,111200
707004070,111200,hs6,1.0,707004070,111219,111219,new_hs_code_2024,111200,111200
707004080,111200,hs6,1.0,707004080,111219,111219,new_hs_code_2024,111200,111200
707004090,111200,hs6,1.0,707004090,111219,111219,new_hs_code_2024,111200,111200
707005005,111400,hs6,0.6666666666666666,707005005,111219,111219,new_hs_code_2024,111200,111200
707005022,111400,hs8,1.0,707005022,111419,111419,new_hs_code_2024,111400,111400
707005024,111400,hs8,1.0,707005024,111419,111419,new_hs_code_2024,111400,111400
707005026,111400,hs8,1.0,707005026,111419,111419,new_hs_code_2024,111400,111400
707005085,111200,hs8,1.0,707005085,111219,111219,new_hs_code_2024,111200,111200
707006005,111400,hs6,0.5714285714285714,707006005,111219,111219,new_hs_code_2024,111200,111200
707006013,111400,hs8,1.0,707006013,111419,111419,new_hs_code_2024,111400,111400
707006017,111400,hs8,1.0,707006017,111419,111419,new_hs_code_2024,111400,111400
707006021,111400,hs8,1.0,707006021,111419,111419,new_hs_code_2024,111400,111400
707006075,111200,hs8,1.0,707006075,111219,111219,new_hs_code_2024,111200,111200
709209040,111200,hs6,1.0,709209040,111219,111219,new_hs_code_2024,111200,111200
709209070,111200,hs6,1.0,709209070,111219,111219,new_hs_code_2024,111200,111200
7306305026,331110,hs8,1.0,7306305026,331110,331110,new_hs_code_2024,331110,331110
7306305027,331110,hs8,1.0,7306305027,331110,331110,new_hs_code_2024,331110,331110
7306305031,331110,hs8,1.0,7306305031,331110,331110,new_hs_code_2024,331110,331110
7306305033,331110,hs8,1.0,7306305033,331110,331110,new_hs_code_2024,331110,331110
7306305041,331110,hs8,1.0,7306305041,331110,331110,new_hs_code_2024,331110,331110
7306305043,331110,hs8,1.0,7306305043,331110,331110,new_hs_code_2024,331110,331110
7306305056,331110,hs8,1.0,7306305056,331110,331110,new_hs_code_2024,331110,331110
7306305057,331110,hs8,1.0,7306305057,331110,331110,new_hs_code_2024,331110,331110
7602000035,S00300,hs8,1.0,7602000035,910000,910000,new_hs_code_2024,,
7602000095,S00300,hs8,1.0,7602000095,910000,910000,new_hs_code_2024,,
7602000097,S00300,hs8,1.0,7602000097,910000,910000,new_hs_code_2024,,
7602000098,S00300,hs8,1.0,7602000098,910000,910000,new_hs_code_2024,,
805100050,111300,hs6,1.0,805100050,111310,111310,new_hs_code_2024,111300,111300
805100060,111300,hs6,1.0,805100060,111310,111310,new_hs_code_2024,111300,111300
807113020,111200,hs6,1.0,807113020,111219,111219,new_hs_code_2024,111200,111200
807113040,111200,hs6,1.0,807113040,111219,111219,new_hs_code_2024,111200,111200
807113060,111200,hs6,1.0,807113060,111219,111219,new_hs_code_2024,111200,111200
807113080,111200,hs6,1.0,807113080,111219,111219,new_hs_code_2024,111200,111200
807114020,111200,hs6,1.0,807114020,111219,111219,new_hs_code_2024,111200,111200
807114040,111200,hs6,1.0,807114040,111219,111219,new_hs_code_2024,111200,111200
807114060,111200,hs6,1.0,807114060,111219,111219,new_hs_code_2024,111200,111200
807114080,111200,hs6,1.0,807114080,111219,111219,new_hs_code_2024,111200,111200
808302035,111300,hs6,1.0,808302035,111339,111339,new_hs_code_2024,111300,111300
808302045,111300,hs6,1.0,808302045,111339,111339,new_hs_code_2024,111300,111300
808304035,111300,hs6,1.0,808304035,111339,111339,new_hs_code_2024,111300,111300
808304045,111300,hs6,1.0,808304045,111339,111339,new_hs_code_2024,111300,111300
810102020,111300,hs6,1.0,810102020,111333,111333,new_hs_code_2024,111300,111300
810102040,111300,hs6,1.0,810102040,111333,111333,new_hs_code_2024,111300,111300
810102060,111300,hs6,1.0,810102060,111333,111333,new_hs_code_2024,111300,111300
810102080,111300,hs6,1.0,810102080,111333,111333,new_hs_code_2024,111300,111300
810104020,111300,hs6,1.0,810104020,111333,111333,new_hs_code_2024,111300,111300
810104040,111300,hs6,1.0,810104040,111333,111333,new_hs_code_2024,111300,111300
810104060,111300,hs6,1.0,810104060,111333,111333,new_hs_code_2024,111300,111300
810104080,111300,hs6,1.0,810104080,111333,111333,new_hs_code_2024,111300,111300
810500010,111300,hs6,1.0,810500010,111339,111339,new_hs_code_2024,111300,111300
810500090,111300,hs6,1.0,810500090,111339,111339,new_hs_code_2024,111300,111300
811908090,311410,hs8,1.0,811908090,311411,311411,new_hs_code_2024,311410,311410
811908097,311410,hs8,1.0,811908097,311411,311411,new_hs_code_2024,311410,311410
8309900010,332119,hs8,1.0,8309900010,332119,332119,new_hs_code_2024,332119,332119
8309900090,332119,hs8,1.0,8309900090,332119,332119,new_hs_code_2024,332119,332119
8542310015,334413,hs8,1.0,8542310015,334413,334413,new_hs_code_2024,334413,334413
8542310020,334413,hs8,1.0,8542310020,334413,334413,new_hs_code_2024,334413,334413
8542310025,334413,hs8,1.0,8542310025,334413,334413,new_hs_code_2024,334413,334413
8542310030,334413,hs8,1.0,8542310030,334413,334413,new_hs_code_2024,334413,334413
8542310035,334413,hs8,1.0,8542310035,334413,334413,new_hs_code_2024,334413,334413
8542310040,334413,hs8,1.0,8542310040,334413,334413,new_hs_code_2024,334413,334413
8542310045,334413,hs8,1.0,8542310045,334413,334413,new_hs_code_2024,334413,334413
8542310050,334413,hs8,1.0,8542310050,334413,334413,new_hs_code_2024,334413,334413
8542310055,334413,hs8,1.0,8542310055,334413,334413,new_hs_code_2024,334413,334413
8542310060,334413,hs8,1.0,8542310060,334413,334413,new_hs_code_2024,334413,334413
8542310065,334413,hs8,1.0,8542310065,334413,334413,new_hs_code_2024,334413,334413
8542310070,334413,hs8,1.0,8542310070,334413,334413,new_hs_code_2024,334413,334413
8542310075,334413,hs8,1.0,8542310075,334413,334413,new_hs_code_2024,334413,334413
8542390010,334413,hs8,1.0,8542390010,334413,334413,new_hs_code_2024,334413,334413
8542390020,334413,hs8,1.0,8542390020,334413,334413,new_hs_code_2024,334413,334413
8542390030,334413,hs8,1.0,8542390030,334413,334413,new_hs_code_2024,334413,334413
8542390040,334413,hs8,1.0,8542390040,334413,334413,new_hs_code_2024,334413,334413
8542390050,334413,hs8,1.0,8542390050,334413,334413,new_hs_code_2024,334413,334413
8542390060,334413,hs8,1.0,8542390060,334413,334413,new_hs_code_2024,334413,334413
9401612011,337121,hs8,0.5,9401612011,337121,337121,new_hs_code_2024,337121,337121
9401612015,337121,hs8,0.5,9401612015,337121,337121,new_hs_code_2024,337121,337121
9401612031,337121,hs8,0.5,9401612031,337127,337127,new_hs_code_2024,337127,337127
9401612035,337121,hs8,0.5,9401612035,337127,337127,new_hs_code_2024,337127,337127
9401694011,337122,hs8,0.5,9401694011,337122,337122,new_hs_code_2024,337122,337122
9401694015,337122,hs8,0.5,9401694015,337122,337122,new_hs_code_2024,337122,337122
9401694031,337122,hs8,0.5,9401694031,337127,337127,new_hs_code_2024,337127,337127
9401694035,337122,hs8,0.5,9401694035,337127,337127,new_hs_code_2024,337127,337127
