usummary_code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,total_imports
23OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,4,0,0,0,0,0,0,0,289,188,120,166,96,23,198,63,1027,1,0,0,2,0,0,0,119,0,0,1,0,0,0,0,0,0,62,0,5,257,19,68,4,0,0,10,0,114,0,0,0,0,0,1,71,27,6,13,4,20,6,21,10,24,4,0,3,12,3,0,4,1,3,12,2,0,5,0,0,0,0,0,1,1,0,0,2,1,1,9,0,16,4,3,0,0,0,0,0,0,0,51,18,0,0,0,1,0,4,0,5,0,0,1,5,0,1,12,0,0,0,1,17,0,10,0,8,13,29,4,0,20,0,5,2,1,132,3,14,5,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598
327,0,0,0,173,1,15,0,0,868,144,232,394,150,60,388,119,48,1176,113,46,153,12,3,28,108,5,1,11,6,0,83,56,94,12,130,7,26,21,23,30,18,142,0,1,0,2,0,57,3,6,3,28,103,0,0,0,0,1,0,1,0,2,0,0,49,12,0,3,0,0,4,56,19,0,1,0,9,0,0,0,0,8,0,0,0,168,268,58,1,36,0,3,5,0,0,3,0,1,0,0,43,0,0,0,73,41,106,3,14,11,0,30,18,21,19,21,12,9,1,73,509,17,31,0,11,5,243,27,0,8,0,4,95,0,29,127,37,52,1532,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8972
3311IS,5,4,0,619,37,16,0,0,176,91,50,46,54,8,27,5,9,91,2542,185,2741,172,327,128,903,0,7,17,9,2,274,1,325,9,1006,119,119,86,23,122,0,0,0,1,0,3,1,0,2,0,0,0,69,1,1,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,1,0,0,3,5,1,1,3,62,0,0,0,0,0,0,0,0,393,20,0,0,0,61,0,24,0,0,5,0,51,30,30,36,0,1,2,11,5,1,2,42,5,39,4,2,26,17,7,0,0,1,0,0,1,0,26,84,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11507
3313NF,0,0,0,0,1,0,0,0,4,21,1,22,5,26,18,4,4,14,1372,3066,1505,16,8,33,493,1,20,412,67,2,1399,2,704,18,755,58,93,65,164,417,20,101,0,0,0,57,0,0,0,0,0,0,29,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,26,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,7,69,0,1,0,5,77,0,0,0,0,40,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11370
332,31,101,5,1251,23,12,0,65,608,318,435,672,706,454,421,598,77,22,51,19,935,75,338,30,635,2,48,17,54,1,191,46,314,47,592,258,233,91,46,40,289,43,25,6,0,141,5,10,53,29,2,336,162,5,10,7,4,15,11,11,8,16,1,0,10,11,3,6,4,9,3,22,87,0,14,8,83,37,2,2,15,26,6,2,1,490,108,175,7,21,91,13,6,0,0,0,4,1,0,105,67,2,79,2,126,6,83,4,16,18,2,86,67,131,8,2,2,0,1,3,35,1,172,1,31,91,157,248,8,36,0,790,107,8,59,80,141,267,3398,1213,0,0,0,-30,0,0,0,121,0,0,0,2,0,0,0,8,0,0,20072
33311,400,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,136,0,67,177,1,5920,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412
33312,0,0,0,280,560,208,0,0,0,52,4,463,25,33,114,4,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,13,0,0,1,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8090,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,1760,0,0,12217
33313,0,0,0,272,86,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575
3332OM,27,0,2,1367,209,245,104,5,762,89,398,331,1296,28,104,90,37,11,21,142,867,174,559,259,4468,0,3,6,53,0,394,306,2273,1046,2633,241,169,11,-17,137,101,967,10,4,-1,519,434,7,392,76,0,560,472,2,14,3,192,24,4,26,4,26,6,0,22,10,4,12,1,2,5,11,6,0,3,4,75,16,3,106,3,122,6,1,0,7,3,25,1,5,10,0,0,0,117,0,0,0,0,0,99,0,429,13,217,4,101,3,85,42,0,243,41,428,92,133,0,3,2,30,39,1,3,0,46,2,23,1186,29,38,0,105,54,-10,267,29,139,411,795,32855,0,0,0,63,0,0,0,101,0,0,0,23,0,0,0,196,0,0,61632
