iso3
AFG
AUS
BGD
BTN
BRN
MMR
KHM
CXR
CCK
COK
FJI
PYF
HMD
HKG
IND
IDN
KIR
LAO
MAC
MYS
MDV
MHL
FSM
MNG
NRU
NPL
NCL
NZL
NIU
NFK
PRK
PAK
PLW
PNG
PHL
PCN
WSM
SGP
SLB
KOR
LKA
TWN
THA
TLS
TKL
TON
TUV
VUT
VNM
WLF
