hs_code,matched_bea_detail,match_level,mapping_strength,modal_count,total_matches,impVal
3004909221,325412,hs8,1.0,25,25,10240099569.0
3004909239,325412,hs8,1.0,25,25,9586000159.0
3004909202,325412,hs8,1.0,25,25,5744257565.0
8542310045,334413,hs8,1.0,1,1,4946561041.0
8542310050,334413,hs8,1.0,1,1,4360974393.0
8542390060,334413,hs8,1.0,1,1,4015292761.0
3926909989,326190,hs8,1.0,7,7,3671400136.0
3004909234,325412,hs8,1.0,25,25,2967155073.0
3004200075,325412,hs8,1.0,4,4,2690506311.0
8542310075,334413,hs8,1.0,1,1,2463940164.0
3004909236,325412,hs8,1.0,25,25,2029736871.0
8542310070,334413,hs8,1.0,1,1,1929381009.0
3004909259,325412,hs8,1.0,25,25,1497857000.0
3002490050,325414,hs8,1.0,1,1,1183421927.0
3004909289,325412,hs8,1.0,25,25,991607219.0
810104080,111300,hs6,1.0,2,2,886162739.0
8542310060,334413,hs8,1.0,1,1,735460343.0
3004909231,325412,hs8,1.0,25,25,725721336.0
709209070,111200,hs6,1.0,2,2,609897886.0
8542310040,334413,hs8,1.0,1,1,584294151.0
3004909201,325412,hs8,1.0,25,25,560693649.0
8542310025,334413,hs8,1.0,1,1,525646982.0
3004909284,325412,hs8,1.0,25,25,434363249.0
7602000095,S00300,hs8,1.0,3,3,372438893.0
7602000035,S00300,hs8,1.0,3,3,370248308.0
3004909244,325412,hs8,1.0,25,25,344883385.0
8309900090,332119,hs8,1.0,1,1,308047722.0
3004909229,325412,hs8,1.0,25,25,306797592.0
7602000097,S00300,hs8,1.0,3,3,297495590.0
8542310030,334413,hs8,1.0,1,1,284343722.0
7602000098,S00300,hs8,1.0,3,3,272144286.0
805100060,111300,hs6,1.0,2,2,245385619.0
810500090,111300,hs6,1.0,1,1,244294077.0
3004909206,325412,hs8,1.0,25,25,212559305.0
2933396191,325190,hs8,1.0,2,2,210673268.0
2930909251,325190,hs8,0.875,7,8,201051902.0
810104040,111300,hs6,1.0,2,2,197108704.0
8542390010,334413,hs8,1.0,1,1,195695082.0
2931909052,325190,hs8,1.0,5,5,184751658.0
8309900010,332119,hs8,1.0,1,1,169851804.0
707005085,111200,hs8,1.0,1,1,158089974.0
707002090,111200,hs6,1.0,3,3,151508039.0
807114080,111200,hs6,1.0,2,2,150946801.0
703104075,111200,hs6,1.0,4,4,148963093.0
3004909218,325412,hs8,1.0,25,25,123258736.0
3004909268,325412,hs8,1.0,25,25,121621873.0
3004909257,325412,hs8,1.0,25,25,119786340.0
2921196195,325190,hs8,1.0,2,2,119741937.0
707004090,111200,hs6,1.0,3,3,114210888.0
3004909216,325412,hs8,1.0,25,25,94925789.0
8542390030,334413,hs8,1.0,1,1,90905255.0
3004909232,325412,hs8,1.0,25,25,90201908.0
807113080,111200,hs6,1.0,2,2,89860549.0
3004200055,325412,hs8,1.0,4,4,87099356.0
3004909242,325412,hs8,1.0,25,25,83525330.0
707002070,111200,hs6,1.0,3,3,81039733.0
8542310055,334413,hs8,1.0,1,1,74879324.0
2929905095,325190,hs8,1.0,3,3,74661908.0
3004105075,325412,hs8,1.0,3,3,72124021.0
3004909212,325412,hs8,1.0,25,25,71303376.0
807114060,111200,hs6,1.0,2,2,70790395.0
707004070,111200,hs6,1.0,3,3,67263365.0
8542390050,334413,hs8,1.0,1,1,67109788.0
811908097,311410,hs8,1.0,1,1,66865971.0
2931490080,325190,hs8,1.0,3,3,66508005.0
3004200065,325412,hs8,1.0,4,4,65874210.0
8542310015,334413,hs8,1.0,1,1,65263523.0
8542310020,334413,hs8,1.0,1,1,61092735.0
2915901890,325190,hs8,1.0,1,1,58017523.0
7306305056,331110,hs8,1.0,11,11,56981936.0
810104060,111300,hs6,1.0,2,2,55800332.0
7306305057,331110,hs8,1.0,11,11,54980319.0
4802574085,322120,hs8,1.0,3,3,52465709.0
707002060,111200,hs6,1.0,3,3,50679508.0
8542310035,334413,hs8,1.0,1,1,50418289.0
3004105065,325412,hs8,1.0,3,3,50074486.0
2007996535,311420,hs8,1.0,2,2,47726347.0
8542390040,334413,hs8,1.0,1,1,46414523.0
3004105055,325412,hs8,1.0,3,3,43766132.0
808304035,111300,hs6,1.0,2,2,43302151.0
3926909987,326190,hs8,1.0,7,7,42054056.0
707002050,111200,hs8,1.0,1,1,40237840.0
808302045,111300,hs6,1.0,2,2,39480479.0
707006075,111200,hs8,1.0,1,1,39087733.0
2930909231,325190,hs8,0.875,7,8,36667317.0
702002008,111400,hs6,0.5,6,12,36574150.0
707004060,111200,hs6,1.0,3,3,35293285.0
709209040,111200,hs6,1.0,2,2,33463859.0
810500010,111300,hs6,1.0,1,1,33256487.0
