ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
ALB,16,1501927.0,20364.0,1.355858174198879,14.346110030647296
ALB,17,1250810.0,23183.0,1.853438971546438,20.24807124983011
ALB,18,44521.0,113.0,0.253812807439186,11.340715617349115
ALB,19,0.0,0.0,0.0,0.0
ALB,20,3216782.0,17134.0,0.5326441145219042,14.917507620970275
ALB,21,1746122.0,0.0,0.0,10.0
AND,1,0.0,0.0,0.0,0.0
AND,2,0.0,0.0,0.0,0.0
AND,3,0.0,0.0,0.0,0.0
AND,4,2912.0,0.0,0.0,10.0
AND,5,0.0,0.0,0.0,0.0
AND,6,0.0,0.0,0.0,0.0
AND,7,19670.0,1040.0,5.287239450940519,15.287239450940518
AND,8,1425.0,48.0,3.3684210526315788,13.368421052631582
AND,9,0.0,0.0,0.0,0.0
AND,10,225003.0,0.0,0.0,10.0
AND,11,511.0,17.0,3.326810176125244,13.326810176125244
AND,12,2925.0,0.0,0.0,10.0
AND,13,0.0,0.0,0.0,0.0
AND,14,126665.0,0.0,0.0,10.0
AND,15,184945.0,5433.0,2.9376301062478034,12.9376301062478
AND,16,1557535.0,1828.0,0.11736493882962501,8.685718137955167
AND,17,20212.0,314.0,1.5535325549178705,14.31649515139521
AND,18,473738.0,1333.0,0.2813791589443954,10.281379158944395
AND,19,0.0,0.0,0.0,0.0
AND,20,441303.0,0.0,0.0,10.0
AND,21,316109.0,0.0,0.0,10.0
ARE,1,7723537.0,233233.0,3.019769310356123,13.019769310356123
ARE,2,57276520.0,835144.0,1.458091378456652,11.458091378456652
ARE,3,18032559.0,1097045.0,6.083690063068697,16.083690063068698
ARE,4,59353499.0,2568455.0,4.327385989493222,14.327385989493223
ARE,5,1762680850.0,3152633.0,0.17885444208462353,10.014631905713392
ARE,6,744582014.0,1408931.0,0.1892244203470647,10.174678850085678
ARE,7,94236443.0,3692095.0,3.9179057299520528,13.919933289502449
ARE,8,552741.0,74051.0,13.397052145579938,23.397052145579934
ARE,9,1942855.0,59520.0,3.0635327906611662,12.327456243517915
ARE,10,98431846.0,0.0,0.0,9.989282736808573
ARE,11,71467569.0,2889164.0,4.042622465582955,14.042622465582955
ARE,12,9082025.0,728725.0,8.02381627445421,18.02381627445421
ARE,13,122285702.0,1528643.0,1.250058653627388,11.25183138745035
ARE,14,358967482.0,3910318.0,1.0893237399146924,11.089323739914692
ARE,15,1726031406.0,135434366.0,7.846575996775345,27.04039198403786
ARE,16,580474095.0,3400928.0,0.5858879886793226,20.587890481141972
ARE,17,99641490.0,1424071.0,1.4291948063000663,17.979247249313513
ARE,18,22265742.0,20519.0,0.09215502452152728,11.030567721479931
ARE,19,229351.0,42522.0,18.540141529794944,28.540141529794944
ARE,20,37366807.0,625336.0,1.6735066498992008,15.2849278773003
ARE,21,1315387342.0,0.0,0.0,10.0
ARG,1,778933578.0,17274922.0,2.2177657361177463,12.217765736117746
ARG,2,493388611.0,3943576.0,0.7992839542864925,10.799283954286492
ARG,3,340022413.0,24125622.0,7.095303449893462,17.095303449893464
ARG,4,629821964.0,23994700.0,3.8097591655282446,13.809759165528245
ARG,5,2396687706.0,2185452.0,0.09118634833102449,7.160516302160228
ARG,6,1008954602.0,4373792.0,0.4334974032855444,10.338064883517921
ARG,7,44735946.0,1227246.0,2.7433107148332128,15.408604302231588
ARG,8,12795302.0,100147.0,0.7826857076136225,10.782685707613622
ARG,9,101945621.0,130874.0,0.12837628405834128,7.940747940512323
ARG,10,18242304.0,0.0,0.0,9.994398733844147
ARG,11,2113304.0,144346.0,6.830347172011219,16.83034717201122
ARG,12,1560061.0,53647.0,3.4387757914594363,13.438775791459436
ARG,13,1904566.0,63642.0,3.341548678281561,13.341548678281562
ARG,14,801889158.0,17763.0,0.002215144053612457,10.002215144053611
ARG,15,616976407.0,991479.0,0.16069966189160942,11.55245129170717
