iso3,HS_Section,impVal
BFA,11,15141.0
BFA,12,1150.0
BFA,13,3520.0
BFA,14,2020.0
BFA,15,11556.0
BFA,16,193754.0
BFA,17,160301.0
BFA,20,5534.0
BFA,21,275078.0
BGD,1,20734374.0
BGD,2,5048943.0
BGD,3,231836.0
BGD,4,26185148.0
BGD,6,21777559.0
BGD,7,22740833.0
BGD,8,101322116.0
BGD,9,3282545.0
BGD,10,4790545.0
BGD,11,7259155659.0
BGD,12,693677396.0
BGD,13,6757747.0
BGD,14,661868.0
BGD,15,3892155.0
BGD,16,12674420.0
BGD,17,4341646.0
BGD,18,35843866.0
BGD,20,46786890.0
BGD,21,95860781.0
BGR,1,17732838.0
BGR,2,71480427.0
BGR,3,806950.0
BGR,4,62164757.0
BGR,5,89123049.0
BGR,6,135357339.0
BGR,7,26981823.0
BGR,8,3052992.0
BGR,9,1840302.0
BGR,10,5696192.0
BGR,11,83871984.0
BGR,12,3349302.0
BGR,13,24988796.0
BGR,14,73471869.0
BGR,15,221026406.0
BGR,16,356407864.0
BGR,17,37413181.0
BGR,18,174008228.0
BGR,19,7044374.0
BGR,20,55507053.0
BGR,21,38808429.0
BHR,1,8676411.0
BHR,4,271953.0
BHR,5,196398733.0
BHR,6,4207344.0
BHR,7,36818604.0
BHR,8,5692.0
BHR,9,5861.0
BHR,10,762062.0
BHR,11,53837764.0
BHR,12,3941432.0
BHR,13,22396870.0
BHR,14,50669695.0
BHR,15,773837324.0
BHR,16,2352929.0
BHR,17,278300.0
BHR,18,1517321.0
BHR,20,894116.0
BHR,21,47468511.0
BHS,1,102752321.0
BHS,4,345213.0
BHS,5,645989977.0
BHS,6,48675.0
BHS,7,54451020.0
BHS,8,4442.0
BHS,10,49940.0
BHS,11,29243.0
BHS,12,14171.0
BHS,13,10785.0
BHS,14,1548745.0
BHS,15,4214912.0
BHS,16,1361117.0
BHS,17,502355.0
BHS,18,488625.0
BHS,20,793254.0
BHS,21,979768224.0
BIH,1,148018.0
BIH,2,1572189.0
BIH,4,2507279.0
BIH,5,635645.0
BIH,6,11762470.0
BIH,7,1432199.0
BIH,8,426443.0
BIH,9,1162026.0
BIH,10,1026870.0
BIH,11,12798081.0
BIH,12,15906027.0
BIH,13,390493.0
BIH,14,90208.0
BIH,15,14230222.0
BIH,16,30526144.0
BIH,17,8252178.0
BIH,18,204647.0
BIH,19,51379283.0
BIH,20,20366516.0
BIH,21,4272646.0
BLR,1,1154143.0
BLR,2,2761846.0
BLR,3,679627.0
BLR,4,4078205.0
BLR,5,2665.0
BLR,6,404453.0
BLR,7,466276.0
BLR,8,45379.0
BLR,9,274778.0
BLR,10,1529428.0
BLR,11,2362031.0
BLR,13,15711.0
BLR,15,4154305.0
BLR,16,736486.0
BLR,17,3678.0
BLR,18,758423.0
BLR,20,108747.0
BLR,21,512792.0
BLZ,1,15159236.0
BLZ,2,2712695.0
BLZ,3,83486.0
BLZ,4,49823251.0
BLZ,5,4225.0
BLZ,6,1028415.0
BLZ,7,22919.0
BLZ,8,850.0
BLZ,9,1956440.0
BLZ,10,46450.0
BLZ,11,83738.0
BLZ,12,126793.0
BLZ,13,213119.0
BLZ,14,840012.0
BLZ,15,49299.0
BLZ,16,771698.0
BLZ,17,73375.0
BLZ,18,25635.0
BLZ,20,469242.0
BLZ,21,7637620.0
BMU,1,18000.0
BMU,4,723887.0
BMU,5,335000.0
BMU,6,145897.0
BMU,7,65636.0
BMU,8,46400.0
BMU,9,6000.0
BMU,11,27670.0
BMU,13,5645.0
BMU,14,788306.0
BMU,15,514379.0
BMU,16,508173.0
BMU,17,44044.0
BMU,18,298318.0
BMU,20,14035.0
BMU,21,19786878.0
BOL,1,4382139.0
BOL,2,84682720.0
BOL,3,5041.0
BOL,4,14235848.0
BOL,5,39436620.0
BOL,6,17555683.0
BOL,7,11953.0
BOL,8,479864.0
BOL,9,16530437.0
BOL,10,231509.0
BOL,11,967808.0
BOL,12,4365323.0
BOL,13,578319.0
BOL,14,18615357.0
BOL,15,275486962.0
BOL,16,3802010.0
BOL,17,77707.0
BOL,18,160280.0
BOL,20,7527835.0
BOL,21,15013280.0
BRA,1,1514499688.0
BRA,2,2342349228.0
BRA,3,432392853.0
BRA,4,3492328499.0
BRA,5,8981697225.0
BRA,6,2187476788.0
BRA,7,700182781.0
BRA,8,91553567.0
BRA,9,1555857964.0
BRA,10,2083175122.0
BRA,11,67056467.0
BRA,12,235887447.0
BRA,13,936468909.0
BRA,14,550702960.0
BRA,15,5881525101.0
BRA,16,4111631440.0
BRA,17,3147781157.0
BRA,18,392030804.0
BRA,19,315691969.0
BRA,20,327930360.0
BRA,21,2968103292.0
BRB,1,944889.0
BRB,2,373942.0
BRB,3,27748.0
BRB,4,24848699.0
BRB,5,36410.0
BRB,6,6100.0
BRB,7,57969.0
BRB,8,47775.0
BRB,9,9295.0
BRB,10,964633.0
BRB,11,829444.0
BRB,12,784646.0
BRB,13,39126.0
BRB,14,703767.0
BRB,15,1230727.0
BRB,16,1279047.0
BRB,17,2936.0
BRB,18,7384601.0
BRB,20,58167.0
BRB,21,8934718.0
BRN,4,52074.0
BRN,5,42489714.0
BRN,6,174177948.0
BRN,7,1814.0
BRN,8,9545.0
BRN,9,296881.0
BRN,10,82934.0
BRN,11,4356368.0
BRN,13,3030.0
BRN,15,5386736.0
BRN,16,1775723.0
BRN,17,66740.0
BRN,18,77578.0
BRN,20,14602.0
BRN,21,10057619.0
BTN,4,21849.0
BTN,7,3872.0
BTN,8,1600.0
BTN,10,6085.0
BTN,11,2582.0
BTN,12,27086.0
BTN,13,2595.0
BTN,14,26071.0
BTN,15,3018344.0
BTN,20,2500.0
BTN,21,168464.0
BWA,4,2500.0
BWA,7,6670.0
BWA,9,7040.0
BWA,10,23105.0
BWA,13,14777.0
BWA,14,402975813.0
BWA,16,235595.0
BWA,17,170694.0
BWA,18,4120.0
BWA,20,55733.0
BWA,21,1627627.0
CAF,1,3804.0
CAF,6,3283.0
CAF,7,108184.0
CAF,9,401831.0
CAF,11,8096.0
CAF,13,3794.0
CAF,14,283289.0
CAF,15,9026.0
CAF,16,115868.0
CAF,17,159246.0
CAF,21,325606.0
CAN,1,10293527152.0
CAN,2,8330219216.0
CAN,3,5077423933.0
CAN,4,21085361020.0
CAN,5,126770691583.0
CAN,6,24013977938.0
CAN,7,17156987184.0
CAN,8,129820097.0
CAN,9,11121335062.0
CAN,10,9450062953.0
CAN,11,1494462155.0
CAN,12,90856869.0
CAN,13,1837389712.0
CAN,14,10065233565.0
CAN,15,33110904113.0
CAN,16,41261732806.0
CAN,17,60395274564.0
CAN,18,4748210198.0
CAN,19,230230285.0
CAN,20,6756183290.0
CAN,21,19275836182.0
CCK,7,1433.0
CCK,8,5480.0
CCK,10,63365.0
CCK,11,18714.0
CCK,12,4543.0
CCK,14,4596.0
CCK,15,48768.0
CCK,16,266664.0
CCK,17,170786.0
CCK,18,2190.0
CCK,20,84165.0
CCK,21,429940.0
CHE,1,132691562.0
CHE,2,1186109166.0
CHE,3,2893560.0
CHE,4,512599522.0
CHE,5,11458521.0
CHE,6,24055716677.0
CHE,7,446574076.0
CHE,8,19309011.0
CHE,9,15562631.0
CHE,10,86279798.0
CHE,11,99975197.0
CHE,12,5781401.0
CHE,13,75524160.0
CHE,14,14963255084.0
CHE,15,549240663.0
CHE,16,5362591205.0
CHE,17,1070333321.0
CHE,18,10879497030.0
CHE,19,39220203.0
CHE,20,160017863.0
CHE,21,3750687951.0
CHL,1,3148893090.0
CHL,2,2453906277.0
CHL,3,77919250.0
CHL,4,658182477.0
CHL,5,307156797.0
CHL,6,722999455.0
CHL,7,386932216.0
CHL,8,235576.0
CHL,9,1046508222.0
CHL,10,91658211.0
CHL,11,23145880.0
CHL,12,58593.0
CHL,13,27571027.0
CHL,14,488447370.0
CHL,15,6394802451.0
CHL,16,146930885.0
CHL,17,55626524.0
CHL,18,5237215.0
CHL,19,132400.0
CHL,20,2567611.0
CHL,21,430568429.0
CHN,1,1458271232.0
CHN,2,1470274181.0
CHN,3,1254626514.0
CHN,4,2896069890.0
CHN,5,792806670.0
CHN,6,22929659786.0
CHN,7,21849485277.0
