iso3,HS2,impVal
ARG,15,343913062.0
ARG,16,5532610.0
ARG,17,156557920.0
ARG,18,194341.0
ARG,19,9022645.0
ARG,20,222050438.0
ARG,21,7461719.0
ARG,22,210073852.0
ARG,23,25237632.0
ARG,24,13098411.0
ARG,25,3492106.0
ARG,27,1713330474.0
ARG,28,94798109.0
ARG,29,737738977.0
ARG,30,12503390.0
ARG,31,156295.0
ARG,32,12894174.0
ARG,33,97503731.0
ARG,34,571509.0
ARG,35,32170503.0
ARG,36,4755901.0
ARG,37,5803.0
ARG,38,11938092.0
ARG,39,16569789.0
ARG,40,28166157.0
ARG,41,8444392.0
ARG,42,2164054.0
ARG,43,2474452.0
ARG,44,101951781.0
ARG,45,8430.0
ARG,48,17680178.0
ARG,49,562126.0
ARG,51,77829.0
ARG,52,21485.0
ARG,54,597483.0
ARG,56,113444.0
ARG,57,269673.0
ARG,58,16538.0
ARG,59,384929.0
ARG,61,203319.0
ARG,62,146267.0
ARG,63,282337.0
ARG,64,1365351.0
ARG,65,192210.0
ARG,67,2500.0
ARG,68,1099623.0
ARG,69,387055.0
ARG,70,657389.0
ARG,71,801889158.0
ARG,72,105023309.0
ARG,73,36391011.0
ARG,74,655651.0
ARG,76,494652377.0
ARG,78,114008.0
ARG,79,143803.0
ARG,81,285774.0
ARG,82,1664819.0
ARG,83,2559550.0
ARG,84,140687057.0
ARG,85,17398001.0
ARG,86,132165.0
ARG,87,7448682.0
ARG,88,1164989.0
ARG,89,543900.0
ARG,90,8234324.0
ARG,91,5646.0
ARG,92,257166.0
ARG,93,2757852.0
ARG,94,5730750.0
ARG,95,1062854.0
ARG,96,245437.0
ARG,97,24928264.0
ARG,98,254281868.0
ARG,99,10168270.0
ARM,3,172273.0
ARM,4,1903867.0
ARM,5,5100.0
ARM,7,146387.0
ARM,8,585665.0
ARM,9,56273.0
ARM,10,72807.0
ARM,11,82642.0
ARM,12,113835.0
ARM,13,4608.0
ARM,15,23051.0
ARM,16,754395.0
ARM,17,57992.0
ARM,18,339880.0
ARM,19,105538.0
ARM,20,3832964.0
ARM,21,690605.0
ARM,22,10614933.0
ARM,25,89580.0
ARM,28,77182.0
ARM,29,555197.0
ARM,32,2825.0
ARM,33,294275.0
ARM,34,127749.0
ARM,37,25500.0
ARM,38,42319.0
ARM,39,283314.0
ARM,40,8540.0
ARM,42,214313.0
ARM,43,263.0
ARM,44,387341.0
ARM,48,83601.0
ARM,49,12259.0
ARM,57,66157.0
ARM,61,201510.0
ARM,62,7784329.0
ARM,63,111662.0
ARM,64,53365.0
ARM,65,16321.0
ARM,67,6550.0
ARM,68,46658.0
ARM,69,24404.0
ARM,70,6922.0
ARM,71,82070120.0
ARM,73,35749.0
ARM,74,8100.0
ARM,76,134884.0
ARM,81,2037827.0
ARM,82,150702.0
ARM,83,6880.0
ARM,84,566250.0
ARM,85,373201.0
ARM,87,14647.0
ARM,90,1897866.0
ARM,91,41950.0
ARM,92,96035.0
ARM,94,176941.0
ARM,95,88368.0
ARM,96,774726.0
ARM,97,579628.0
ARM,98,1037269.0
ARM,99,1407022.0
ATF,40,1318.0
ATF,62,907.0
ATF,82,4339.0
ATF,84,2339.0
ATF,85,3663.0
ATF,97,12000.0
ATF,98,2982.0
ATF,99,8864.0
ATG,21,65600.0
ATG,22,168613.0
ATG,25,54800.0
ATG,27,1393295.0
ATG,28,3581.0
ATG,39,5961.0
ATG,42,3920.0
ATG,49,215342.0
ATG,62,3380.0
ATG,63,65143.0
ATG,68,4241.0
ATG,69,9216.0
ATG,71,360866.0
ATG,72,7805.0
ATG,73,5243.0
ATG,74,1087735.0
ATG,76,1554516.0
ATG,84,74897.0
ATG,85,71578.0
ATG,87,9049.0
ATG,90,230015.0
ATG,95,49292.0
ATG,97,11182577.0
ATG,98,6923869.0
ATG,99,201016.0
AUS,1,17665214.0
AUS,2,4028898768.0
AUS,3,108926295.0
AUS,4,33453664.0
AUS,5,101332926.0
AUS,6,2285654.0
AUS,7,20885558.0
AUS,8,31630334.0
AUS,9,1425115.0
AUS,10,847152.0
AUS,11,192145816.0
AUS,12,54168701.0
AUS,13,10078866.0
AUS,14,288779.0
AUS,15,282610390.0
AUS,16,21968688.0
AUS,17,96934605.0
AUS,18,3791696.0
AUS,19,35640493.0
AUS,20,40100724.0
AUS,21,53158372.0
AUS,22,274893406.0
AUS,23,31153303.0
AUS,25,34993586.0
AUS,26,580110267.0
AUS,27,13405539.0
AUS,28,126576117.0
AUS,29,51450784.0
AUS,30,1373623163.0
AUS,31,57302847.0
AUS,32,37532181.0
AUS,33,74988736.0
AUS,34,20440907.0
AUS,35,89901245.0
AUS,36,7520259.0
AUS,37,399786.0
AUS,38,56681082.0
AUS,39,95513405.0
AUS,40,15693626.0
AUS,41,537030.0
AUS,42,1555236.0
AUS,43,7095.0
AUS,44,8585986.0
AUS,45,486908.0
AUS,46,39279.0
AUS,48,72155541.0
AUS,49,10407662.0
AUS,51,1417773.0
AUS,52,126775.0
AUS,53,118337.0
AUS,54,4132051.0
AUS,55,41017.0
AUS,56,17725531.0
AUS,57,335222.0
AUS,58,98032.0
AUS,59,2854203.0
AUS,60,2506270.0
AUS,61,7067491.0
AUS,62,8579236.0
AUS,63,6653317.0
AUS,64,8534897.0
AUS,65,1065261.0
AUS,66,61361.0
AUS,67,286066.0
AUS,68,9549201.0
AUS,69,6430650.0
AUS,70,29600383.0
AUS,71,3208416522.0
AUS,72,377187831.0
AUS,73,70570577.0
AUS,74,34345344.0
AUS,75,186188498.0
AUS,76,268137898.0
AUS,78,136005964.0
AUS,79,25021649.0
AUS,81,5252753.0
AUS,82,12197125.0
AUS,83,34585774.0
AUS,84,650409110.0
AUS,85,428049060.0
AUS,86,4534287.0
AUS,87,113605840.0
AUS,88,343081897.0
AUS,89,122275678.0
AUS,90,1004980987.0
AUS,91,546374.0
AUS,92,2531385.0
AUS,93,40449743.0
AUS,94,40008368.0
AUS,95,37617606.0
AUS,96,4530967.0
AUS,97,39955775.0
AUS,98,1142310625.0
AUS,99,71336343.0
AUT,1,168897.0
AUT,3,2739.0
AUT,4,10303439.0
AUT,5,18983.0
AUT,7,255217.0
AUT,8,28067.0
AUT,9,1308482.0
AUT,10,233100.0
AUT,11,9671024.0
AUT,12,3403491.0
AUT,13,1349107.0
AUT,14,51920.0
AUT,15,5549346.0
AUT,16,18379.0
AUT,17,3202654.0
AUT,18,42775884.0
AUT,19,19508517.0
AUT,20,10650046.0
AUT,21,42515070.0
AUT,22,196463209.0
