iso3,HS4,impVal
ABW,3303,110337.0
ABW,3304,717402.0
ABW,3305,86949.0
ABW,3307,2016.0
ABW,3401,204792.0
ABW,3917,2009.0
ABW,3924,2265.0
ABW,3926,678.0
ABW,4012,16648.0
ABW,4202,6097.0
ABW,4420,4000.0
ABW,4821,11236.0
ABW,4901,3048.0
ABW,4911,3804.0
ABW,6103,789.0
ABW,6912,2500.0
ABW,7013,34260.0
ABW,7018,10700.0
ABW,7112,576954.0
ABW,7113,109490.0
ABW,7116,2500.0
ABW,7308,4685.0
ABW,7602,82285.0
ABW,7616,13354.0
ABW,8307,3144.0
ABW,8413,46762.0
ABW,8438,13274.0
ABW,8470,2900.0
ABW,8471,47171.0
ABW,8483,3406.0
ABW,8501,6016.0
ABW,8526,20779.0
ABW,8531,15739.0
ABW,8544,18639.0
ABW,8703,44992.0
ABW,8712,4300.0
ABW,9023,19425.0
ABW,9030,2965.0
ABW,9031,43453.0
ABW,9032,190140.0
ABW,9111,3100.0
ABW,9401,600.0
ABW,9403,2175.0
ABW,9404,300.0
ABW,9504,5684.0
ABW,9703,8677.0
ABW,9705,5400.0
ABW,9706,25000.0
ABW,9801,7836109.0
ABW,9999,325720.0
AFG,402,31528.0
AFG,403,3000.0
AFG,409,2250.0
AFG,603,5427.0
AFG,708,23322.0
AFG,712,67227.0
AFG,713,102319.0
AFG,801,9204.0
AFG,802,611588.0
AFG,804,2674032.0
AFG,805,2198.0
AFG,806,3421959.0
AFG,810,10560.0
AFG,811,30611.0
AFG,812,13377.0
AFG,813,1942817.0
AFG,902,5400.0
AFG,909,56247.0
AFG,910,1768695.0
AFG,1005,2197.0
AFG,1006,2272.0
AFG,1103,2255.0
AFG,1106,2350.0
AFG,1207,19862.0
AFG,1209,12750.0
AFG,1211,113428.0
AFG,1212,38690.0
AFG,1302,54963.0
AFG,1515,69929.0
AFG,1518,17490.0
AFG,1701,21343.0
AFG,1702,9029.0
AFG,1704,295189.0
AFG,1901,2364.0
AFG,1902,30649.0
AFG,1905,48688.0
AFG,2001,84628.0
AFG,2002,20506.0
AFG,2004,53845.0
AFG,2005,137577.0
AFG,2006,16537.0
AFG,2007,43948.0
AFG,2008,1524881.0
AFG,2009,63460.0
AFG,2103,99720.0
AFG,2106,107704.0
AFG,2202,779974.0
AFG,2403,387833.0
AFG,2404,6000.0
AFG,2508,7211.0
AFG,2530,8188.0
AFG,2833,2402.0
AFG,3301,21615.0
AFG,3918,979.0
AFG,3920,2560.0
AFG,3923,4536.0
AFG,3924,1710.0
AFG,3926,2500.0
AFG,4015,454.0
AFG,4202,2039.0
AFG,4303,26888.0
AFG,4821,16000.0
AFG,4823,17552.0
AFG,5112,1298.0
AFG,5701,3763342.0
AFG,5702,243476.0
AFG,5703,36927.0
AFG,5705,3858.0
AFG,5802,16008.0
AFG,6103,1654.0
AFG,6104,8882.0
AFG,6105,843.0
AFG,6106,1157.0
AFG,6110,3456.0
AFG,6111,339.0
AFG,6115,1000.0
AFG,6202,1152.0
AFG,6203,2956.0
AFG,6204,10743.0
AFG,6205,5998.0
AFG,6206,2981.0
AFG,6207,710.0
AFG,6209,1172.0
AFG,6211,6315.0
AFG,6214,16140.0
AFG,6302,17846.0
AFG,6304,1067.0
AFG,6307,4150.0
AFG,6309,3289.0
AFG,6310,3080.0
AFG,6403,7144.0
AFG,6404,364.0
AFG,6815,4000.0
AFG,7010,2750.0
AFG,7102,42000.0
AFG,7103,859128.0
AFG,7113,47266.0
AFG,7117,14252.0
AFG,7118,97126.0
AFG,7318,3294.0
AFG,7323,34035.0
AFG,7326,39388.0
AFG,8202,5788.0
AFG,8215,2457.0
AFG,8302,28749.0
AFG,8409,3728.0
AFG,8413,7213.0
AFG,8415,9024.0
AFG,8421,5980.0
AFG,8422,6113.0
AFG,8431,3732.0
