hs_code,mapping_type,hs_code_2021,naics_2021,hs_code_2022,naics_2022,hs_code_2023,naics_2023,hs_code_2024,naics_2024
6116101300,inconsistent_naics,6116101300,315280,6116101300,315280,6116101300,315250,6116101300,339113
6114901040,inconsistent_naics,6114901040,315240,6114901040,315240,6114901040,315250,6114901040,315250
2529210000,inconsistent_naics,2529210000,212393,2529210000,212393,2529210000,212390,2529210000,212390
6204392010,inconsistent_naics,6204392010,315240,6204392010,315240,6204392010,315250,6204392010,315250
8803300060,partial_coverage,8803300060,336413,,,,,,
8704225180,partial_coverage,,,8704225180,336120,8704225180,336120,8704225180,336120
0709560000,partial_coverage,,,0709560000,111411,0709560000,111411,0709560000,111411
1509302030,partial_coverage,,,1509302030,311224,1509302030,311224,1509302030,311224
3827630000,partial_coverage,,,3827630000,325199,3827630000,325199,3827630000,325199
6204692230,inconsistent_naics,6204692230,315240,6204692230,315240,6204692230,315250,6204692230,315250
6202920300,partial_coverage,6202920300,315240,,,,,,
4409229020,partial_coverage,,,4409229020,321999,4409229020,321999,4409229020,321999
3907290000,partial_coverage,,,3907290000,325211,3907290000,325211,3907290000,325211
3301905000,inconsistent_naics,3301905000,325998,3301905000,325998,3301905000,325998,3301905000,325199
9404409022,partial_coverage,,,9404409022,314120,9404409022,314120,9404409022,314120
6202133020,partial_coverage,6202133020,315240,,,,,,
8462410080,partial_coverage,8462410080,333517,,,,,,
2921196195,partial_coverage,,,,,,,2921196195,325199
1515908190,partial_coverage,,,1515908190,311224,1515908190,311224,1515908190,311224
4408390290,partial_coverage,4408390290,321211,,,,,,
7210490030,partial_coverage,7210490030,331110,,,,,,
0704904024,partial_coverage,,,,,0704904024,111219,0704904024,111219
8519814020,partial_coverage,8519814020,334310,,,,,,
6115956000,inconsistent_naics,6115956000,315110,6115956000,315110,6115956000,315120,6115956000,315120
6202301200,partial_coverage,,,6202301200,315240,6202301200,315250,6202301200,315250
9401901020,partial_coverage,9401901020,336360,,,,,,
6201924531,partial_coverage,6201924531,315220,,,,,,
6204611530,inconsistent_naics,6204611530,315240,6204611530,315240,6204611530,315250,6204611530,315250
6211203820,inconsistent_naics,6211203820,315220,6211203820,315220,6211203820,315250,6211203820,315250
6202990300,partial_coverage,6202990300,315240,,,,,,
0702004025,partial_coverage,0702004025,111419,0702004025,111419,,,,
6204294076,inconsistent_naics,6204294076,315240,6204294076,315240,6204294076,315250,6204294076,315250
6202305010,partial_coverage,,,6202305010,315240,6202305010,315250,6202305010,315250
4412914100,partial_coverage,,,4412914100,321211,4412914100,321211,4412914100,321211
6203322040,inconsistent_naics,6203322040,315220,6203322040,315220,6203322040,315250,6203322040,315250
6202930911,partial_coverage,6202930911,315240,,,,,,
8449005000,inconsistent_naics,8449005000,333249,8449005000,333249,8449005000,333248,8449005000,333248
6211118020,inconsistent_naics,6211118020,315220,6211118020,315220,6211118020,315250,6211118020,315250
6204332000,inconsistent_naics,6204332000,315240,6204332000,315240,6204332000,315250,6204332000,315250
8477200015,inconsistent_naics,8477200015,333249,8477200015,333249,8477200015,333248,8477200015,333248
6204398060,inconsistent_naics,6204398060,315240,6204398060,315240,6204398060,315250,6204398060,315250
6211329025,inconsistent_naics,6211329025,315220,6211329025,315220,6211329025,315250,6211329025,315250
6202931500,partial_coverage,6202931500,315240,,,,,,
6101909060,inconsistent_naics,6101909060,315220,6101909060,315220,6101909060,315250,6101909060,315250
6210209040,partial_coverage,,,6210209040,315220,6210209040,315250,6210209040,315250
9403910005,partial_coverage,,,9403910005,337215,9403910005,337215,9403910005,337215
3824999286,partial_coverage,3824999286,325199,,,,,,
1512110020,partial_coverage,1512110020,311224,1512110020,311224,,,,
9604000000,inconsistent_naics,9604000000,332618,9604000000,332618,9604000000,332618,9604000000,332215
2930909231,partial_coverage,,,,,,,2930909231,325199
4407190065,partial_coverage,,,4407190065,321113,4407190065,321113,4407190065,321113
3306100000,inconsistent_naics,3306100000,325611,3306100000,325611,3306100000,325611,3306100000,325620
0702006010,partial_coverage,0702006010,111219,,,,,,
0603110060,partial_coverage,0603110060,111422,,,,,,
6108291000,inconsistent_naics,6108291000,315240,6108291000,315240,6108291000,315250,6108291000,315250
6104230026,inconsistent_naics,6104230026,315240,6104230026,315240,6104230026,315250,6104230026,315250
8461401010,inconsistent_naics,8461401010,333517,8461401010,333517,8461401010,333517,8461401010,930000
6203499010,inconsistent_naics,6203499010,315220,6203499010,315220,6203499010,315250,6203499010,315250
2933995300,inconsistent_naics,2933995300,325412,2933995300,325412,2933995300,325412,2933995300,325411
7419801500,partial_coverage,,,7419801500,339910,7419801500,339910,7419801500,339910
3603400000,partial_coverage,,,3603400000,325920,3603400000,325920,3603400000,325920
7419990900,partial_coverage,7419990900,332618,,,,,,
8541500080,partial_coverage,8541500080,334413,,,,,,
0306190030,partial_coverage,0306190030,114111,,,,,,
6103398030,inconsistent_naics,6103398030,315220,6103398030,315220,6103398030,315250,6103398030,315250
6204628066,inconsistent_naics,6204628066,315240,6204628066,315240,6204628066,315250,6204628066,315250
6204692220,inconsistent_naics,6204692220,315240,6204692220,315240,6204692220,315250,6204692220,315250
6204510020,inconsistent_naics,6204510020,315240,6204510020,315240,6204510020,315250,6204510020,315250
6204210010,inconsistent_naics,6204210010,315240,6204210010,315240,6204210010,315250,6204210010,315250
9405418440,partial_coverage,,,9405418440,335129,9405418440,335139,9405418440,335139
1702304085,partial_coverage,,,,,1702304085,311221,1702304085,311221
6204510010,inconsistent_naics,6204510010,315240,6204510010,315240,6204510010,315250,6204510010,315250
8449001000,inconsistent_naics,8449001000,333249,8449001000,333249,8449001000,333248,8449001000,333248
6204443010,inconsistent_naics,6204443010,315240,6204443010,315240,6204443010,315250,6204443010,315250
2106909890,partial_coverage,2106909890,311999,,,,,,
2939710000,partial_coverage,2939710000,325411,,,,,,
6203291560,inconsistent_naics,6203291560,315220,6203291560,315220,6203291560,315250,6203291560,315250
2931410000,partial_coverage,,,2931410000,325199,2931410000,325199,2931410000,325199
7019131580,partial_coverage,,,7019131580,327212,7019131580,327212,7019131580,327212
9403904005,partial_coverage,9403904005,337215,,,,,,
9109104030,inconsistent_naics,9109104030,335912,9109104030,335912,9109104030,335910,9109104030,335910
2923202000,partial_coverage,2923202000,325199,2923202000,325199,,,,
0603110050,partial_coverage,,,0603110050,111422,0603110050,111422,0603110050,111422
6211420507,inconsistent_naics,6211420507,315240,6211420507,315240,6211420507,315250,6211420507,315250
0706904040,partial_coverage,,,,,0706904040,111219,0706904040,111219
4412921130,partial_coverage,,,4412921130,321211,4412921130,321211,4412921130,321211
8525894000,partial_coverage,,,8525894000,334310,8525894000,334310,8525894000,334310
6306901000,inconsistent_naics,6306901000,314910,6306901000,314910,6306901000,314910,6306901000,339920
6201303000,partial_coverage,,,6201303000,315220,6201303000,315250,6201303000,315250
8112699000,partial_coverage,,,8112699000,331491,8112699000,331491,8112699000,331491
8704320140,partial_coverage,,,8704320140,336120,8704320140,336120,8704320140,336120
6204398030,inconsistent_naics,6204398030,315240,6204398030,315240,6204398030,315250,6204398030,315250
7019694021,partial_coverage,,,7019694021,313210,7019694021,313210,7019694021,313210
2934302300,inconsistent_naics,2934302300,325412,2934302300,325412,2934302300,325412,2934302300,325411
2403992090,partial_coverage,2403992090,312230,,,,,,
7209160030,partial_coverage,7209160030,331110,,,,,,
6204322030,inconsistent_naics,6204322030,315240,6204322030,315240,6204322030,315250,6204322030,315250
8452299000,inconsistent_naics,8452299000,333249,8452299000,333249,8452299000,333248,8452299000,333248
6104220040,inconsistent_naics,6104220040,315240,6104220040,315240,6104220040,315250,6104220040,315250
9817004400,inconsistent_naics,9817004400,334614,9817004400,334614,9817004400,334610,9817004400,990000
6205202021,inconsistent_naics,6205202021,315220,6205202021,315220,6205202021,315250,6205202021,315250
8701230080,partial_coverage,,,8701230080,930000,8701230080,930000,8701230080,930000
8539391000,inconsistent_naics,8539391000,335110,8539391000,335110,8539391000,335139,8539391000,335139
6110303053,inconsistent_naics,6110303053,315220,6110303053,315220,6110303053,315250,6110303053,315250
6202134020,partial_coverage,6202134020,315240,,,,,,
8802400015,partial_coverage,8802400015,336411,,,,,,
6211421003,inconsistent_naics,6211421003,315240,6211421003,315240,6211421003,315250,6211421003,315250
9706900060,partial_coverage,,,9706900060,930000,9706900060,930000,9706900060,930000
9008904000,inconsistent_naics,9008904000,333316,9008904000,333316,9008904000,333310,9008904000,333310
4412913160,partial_coverage,,,4412913160,321211,4412913160,321211,4412913160,321211
8543709810,partial_coverage,,,8543709810,335999,8543709810,335999,8543709810,335999
0511100010,inconsistent_naics,0511100010,11211X,0511100010,11211X,0511100010,11211X,0511100010,115210
6204621551,inconsistent_naics,6204621551,315240,6204621551,315240,6204621551,315250,6204621551,315250
7019710000,partial_coverage,,,7019710000,327212,7019710000,327212,7019710000,313230
8479909550,partial_coverage,,,8479909550,333120,8479909550,333120,8479909550,333120
6104491000,inconsistent_naics,6104491000,315240,6104491000,315240,6104491000,315250,6104491000,315250
6117101000,inconsistent_naics,6117101000,315190,6117101000,315190,6117101000,315120,6117101000,315120
8208300060,inconsistent_naics,8208300060,332216,8208300060,332216,8208300060,332216,8208300060,335220
0810104060,partial_coverage,,,,,,,0810104060,111333
5703291000,partial_coverage,,,5703291000,314110,5703291000,314110,5703291000,314110
9403993005,partial_coverage,,,9403993005,337215,9403993005,337215,9403993005,337215
7007211090,partial_coverage,7007211090,327211,7007211090,327211,,,,
2931510000,partial_coverage,,,2931510000,325199,2931510000,325199,2931510000,325199
4414100000,partial_coverage,,,4414100000,339999,4414100000,339999,4414100000,339999
9016006000,inconsistent_naics,9016006000,333997,9016006000,333997,9016006000,333998,9016006000,333998
0709932040,partial_coverage,,,0709932040,111219,,,,
0603190110,partial_coverage,0603190110,111422,0603190110,111422,0603190110,111422,,
6203424526,inconsistent_naics,6203424526,315220,6203424526,315220,6203424526,315250,6203424526,315250
4810137040,inconsistent_naics,4810137040,322121,4810137040,322121,4810137040,322120,4810137040,322120
8451909090,inconsistent_naics,8451909090,333249,8451909090,333249,8451909090,333248,8451909090,333248
6112120050,inconsistent_naics,6112120050,315220,6112120050,315220,6112120050,315250,6112120050,315250
4818500020,inconsistent_naics,4818500020,315280,4818500020,315280,4818500020,315250,4818500020,339113
6203113000,inconsistent_naics,6203113000,315220,6203113000,315220,6203113000,315250,6203113000,315250
8701200045,partial_coverage,8701200045,336120,,,,,,
6103230025,inconsistent_naics,6103230025,315220,6103230025,315220,6103230025,315250,6103230025,315250
9508400000,partial_coverage,,,9508400000,333318,9508400000,333310,9508400000,333310
9403906010,partial_coverage,9403906010,313210,,,,,,
8541409500,partial_coverage,8541409500,334413,,,,,,
6209205035,inconsistent_naics,6209205035,315240,6209205035,315240,6209205035,315250,6209205035,315250
3824999386,partial_coverage,,,3824999386,325199,3824999386,325199,3824999386,325199
6203437030,inconsistent_naics,6203437030,315220,6203437030,315220,6203437030,315250,6203437030,315250
9817003000,inconsistent_naics,9817003000,314999,9817003000,314999,9817003000,314999,9817003000,990000
6103109040,inconsistent_naics,6103109040,315220,6103109040,315220,6103109040,315250,6103109040,315250
