Country,iso3,HS6,sector_code,impVal,bea_total,weight
Afghanistan,AFG,40210,31ND,31528.0,15431987.0,0.0020430291964346524
Afghanistan,AFG,40390,31ND,3000.0,15431987.0,0.0001944014079327568
Afghanistan,AFG,420221,31ND,2039.0,15431987.0,0.0001321281569249637
Afghanistan,AFG,430310,31ND,26888.0,15431987.0,0.0017423550188319884
Afghanistan,AFG,482110,31ND,16000.0,15431987.0,0.001036807508974703
Afghanistan,AFG,482390,31ND,17552.0,15431987.0,0.001137377837345249
Afghanistan,AFG,511219,31ND,1298.0,15431987.0,8.411100916557278e-05
Afghanistan,AFG,570110,31ND,3409731.0,15431987.0,0.22095216902398893
Afghanistan,AFG,570190,31ND,353611.0,15431987.0,0.022914158753503357
Afghanistan,AFG,570210,31ND,160106.0,15431987.0,0.010374943939493987
Afghanistan,AFG,570231,31ND,2900.0,15431987.0,0.00018792136100166491
Afghanistan,AFG,570232,31ND,13597.0,15431987.0,0.0008810919812205648
Afghanistan,AFG,570241,31ND,22527.0,15431987.0,0.0014597601721670708
Afghanistan,AFG,570242,31ND,1200.0,15431987.0,7.776056317310273e-05
Afghanistan,AFG,570250,31ND,36006.0,15431987.0,0.002333205698008947
Afghanistan,AFG,570292,31ND,7140.0,15431987.0,0.0004626753508799612
Afghanistan,AFG,570310,31ND,34867.0,15431987.0,0.0022593979634638107
Afghanistan,AFG,570339,31ND,2060.0,15431987.0,0.000133488966780493
Afghanistan,AFG,570500,31ND,3858.0,15431987.0,0.00025000021060152526
Afghanistan,AFG,580230,31ND,16008.0,15431987.0,0.0010373259127291904
Afghanistan,AFG,610310,31ND,825.0,15431987.0,5.346038718150812e-05
Afghanistan,AFG,610332,31ND,829.0,15431987.0,5.37195890587518e-05
Afghanistan,AFG,610441,31ND,1296.0,15431987.0,8.398140822695095e-05
Afghanistan,AFG,610442,31ND,2197.0,15431987.0,0.0001423666310760889
Afghanistan,AFG,610449,31ND,5389.0,15431987.0,0.00034920972911654216
Afghanistan,AFG,610510,31ND,843.0,15431987.0,5.462679562910466e-05
Afghanistan,AFG,610610,31ND,793.0,15431987.0,5.138677216355872e-05
Afghanistan,AFG,610690,31ND,364.0,15431987.0,2.3587370829174493e-05
Afghanistan,AFG,611019,31ND,2956.0,15431987.0,0.00019155018728307638
Afghanistan,AFG,611020,31ND,500.0,15431987.0,3.2400234655459467e-05
Afghanistan,AFG,611120,31ND,339.0,15431987.0,2.196735909640152e-05
Afghanistan,AFG,611596,31ND,1000.0,15431987.0,6.480046931091893e-05
Afghanistan,AFG,620230,31ND,656.0,15431987.0,4.250910786796282e-05
Afghanistan,AFG,620240,31ND,496.0,15431987.0,3.214103277821579e-05
Afghanistan,AFG,620322,31ND,1244.0,15431987.0,8.061178382278316e-05
Afghanistan,AFG,620331,31ND,652.0,15431987.0,4.224990599071915e-05
Afghanistan,AFG,620343,31ND,1060.0,15431987.0,6.868849746957407e-05
Afghanistan,AFG,620432,31ND,1880.0,15431987.0,0.0001218248823045276
Afghanistan,AFG,620441,31ND,324.0,15431987.0,2.0995352056737737e-05
