Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
Colombia,S00300,806686621.0,780223256.0,-26463365.0,-3.2805012889881557,both,26463365.0
Colombia,336111,19567.0,26482932.0,26463365.0,135244.87657791178,both,26463365.0
Germany,335911,523046627.0,545505115.0,22458488.0,4.293783162088912,both,22458488.0
Germany,335912,25583568.0,3125080.0,-22458488.0,-87.78481562853156,both,22458488.0
Mexico,335912,21812220.0,3087647.0,-18724573.0,-85.84441657016113,both,18724573.0
Mexico,335911,1677035654.0,1695760227.0,18724573.0,1.116528021055419,both,18724573.0
Poland,S00300,632810200.0,614193769.0,-18616431.0,-2.9418664553763514,both,18616431.0
Poland,336111,301192.0,18917623.0,18616431.0,6180.9181518765445,both,18616431.0
United Kingdom,335912,19455925.0,1243027.0,-18212898.0,-93.61106192586577,both,18212898.0
United Kingdom,335911,183701905.0,201914803.0,18212898.0,9.914376228161597,both,18212898.0
Malaysia,339990,107239854.0,124816576.0,17576722.0,16.390102507972458,both,17576722.0
Malaysia,335999,2447387248.0,2429810526.0,-17576722.0,-0.7181831160705631,both,17576722.0
Indonesia,337127,359697864.0,371223183.0,11525319.0,3.2041666502640114,both,11525319.0
China,326120,257281493.0,268536885.0,11255392.0,4.3747382949149785,both,11255392.0
China,326190,14699629300.0,14688373908.0,-11255392.0,-0.07656922341572246,both,11255392.0
Indonesia,337122,392243760.0,382687880.0,-9555880.0,-2.4362095651948676,both,9555880.0
Poland,335911,840851252.0,850127701.0,9276449.0,1.1032211675888663,both,9276449.0
Poland,335912,9278949.0,2500.0,-9276449.0,-99.97305729344994,both,9276449.0
Colombia,326190,56072259.0,46877578.0,-9194681.0,-16.397914341207475,both,9194681.0
Colombia,326120,23885770.0,33080451.0,9194681.0,38.49438808127182,both,9194681.0
Switzerland,335912,12244980.0,3099301.0,-9145679.0,-74.68921141561685,both,9145679.0
Switzerland,335911,17863202.0,27008881.0,9145679.0,51.19843015826614,both,9145679.0
China,325190,6908230548.0,6899293488.0,-8937060.0,-0.12936829391988613,both,8937060.0
China,325320,177085713.0,186022773.0,8937060.0,5.046742534221267,both,8937060.0
Thailand,S00300,774973898.0,766058157.0,-8915741.0,-1.1504569409381578,both,8915741.0
Thailand,336111,363479308.0,372395049.0,8915741.0,2.4528881847656647,both,8915741.0
Portugal,336111,104758.0,9016158.0,8911400.0,8506.653429809658,both,8911400.0
Portugal,S00300,188085854.0,179174454.0,-8911400.0,-4.73794270567525,both,8911400.0
Thailand,335911,34515759.0,42144795.0,7629036.0,22.10305153654596,both,7629036.0
Thailand,335912,7935937.0,306901.0,-7629036.0,-96.13276919915064,both,7629036.0
Canada,326190,3309090007.0,3302286091.0,-6803916.0,-0.20561290220595685,both,6803916.0
Canada,326120,915357303.0,922161219.0,6803916.0,0.7433071192747123,both,6803916.0
China,339113,3678930213.0,3685535402.0,6605189.0,0.17954102463427185,both,6605189.0
China,314900,4195215509.0,4188610320.0,-6605189.0,-0.1574457613877018,both,6605189.0
Taiwan,325190,591134014.0,584602435.0,-6531579.0,-1.1049235613770654,both,6531579.0
Taiwan,325320,24239575.0,30771154.0,6531579.0,26.94593036387808,both,6531579.0
Indonesia,S00300,259654957.0,253978312.0,-5676645.0,-2.1862263157179007,both,5676645.0
Indonesia,336111,864612.0,6541257.0,5676645.0,656.554038111893,both,5676645.0
United Arab Emirates,S00300,1320336918.0,1314808089.0,-5528829.0,-0.4187438012696696,both,5528829.0
United Arab Emirates,336111,14000.0,5542829.0,5528829.0,39491.635714285716,both,5528829.0
India,325190,3113543076.0,3108160269.0,-5382807.0,-0.1728836527585591,both,5382807.0
India,325320,118788817.0,124171624.0,5382807.0,4.531408878329009,both,5382807.0
Mexico,325190,997818979.0,993410197.0,-4408782.0,-0.44184186638927425,both,4408782.0
Mexico,325320,172204676.0,176613458.0,4408782.0,2.560198771838228,both,4408782.0
Indonesia,325190,803168529.0,798764850.0,-4403679.0,-0.5482882908127492,both,4403679.0
Indonesia,325320,2830862.0,7234541.0,4403679.0,155.55964932236188,both,4403679.0
Venezuela,336111,8000.0,3716976.0,3708976.0,46362.200000000004,both,3708976.0
Venezuela,S00300,25635889.0,21926913.0,-3708976.0,-14.467904740888837,both,3708976.0
Germany,326190,717228618.0,713649511.0,-3579107.0,-0.4990189892283411,both,3579107.0
Germany,326120,111336116.0,114915223.0,3579107.0,3.2146864185562216,both,3579107.0
Japan,339990,695777761.0,699302620.0,3524859.0,0.5066070227559343,both,3524859.0
Japan,335999,1228966308.0,1225441449.0,-3524859.0,-0.28681494171604255,both,3524859.0
Uruguay,S00300,37529680.0,34279556.0,-3250124.0,-8.6601431187263,both,3250124.0
Uruguay,336111,2800.0,3252924.0,3250124.0,116075.85714285714,both,3250124.0
Taiwan,335911,335493872.0,338618271.0,3124399.0,0.9312834781077611,both,3124399.0
Taiwan,335912,3968644.0,844245.0,-3124399.0,-78.72711686913718,both,3124399.0
Japan,325320,33211917.0,36278848.0,3066931.0,9.234429316440842,both,3066931.0
Japan,325190,1867689056.0,1864622125.0,-3066931.0,-0.16420993581064278,both,3066931.0
Mexico,326190,3792659608.0,3789968278.0,-2691330.0,-0.07096154883826315,both,2691330.0
Mexico,326120,367189654.0,369880984.0,2691330.0,0.7329536577847043,both,2691330.0
Vietnam,S00300,1942927359.0,1940241945.0,-2685414.0,-0.13821484305940024,both,2685414.0
Vietnam,336111,160208551.0,162893965.0,2685414.0,1.6761989189952788,both,2685414.0
