Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
Guatemala,33DG,164691805.0,165425328.0,733523.0,0.445391317436833,both,733523.0
Guatemala,Other,93855441.0,93121918.0,-733523.0,-0.7815455259541106,both,733523.0
Thailand,31ND,12184521176.0,12183985695.0,-535481.0,-0.004394764408590331,both,535481.0
India,31ND,37756860340.0,37756363891.0,-496449.0,-0.0013148577385129053,both,496449.0
Taiwan,31ND,7098361417.0,7098124957.0,-236460.0,-0.00333119132865928,both,236460.0
Taiwan,33DG,106360269103.0,106360505563.0,236460.0,0.00022231985871623786,both,236460.0
Tunisia,31ND,695560083.0,695403156.0,-156927.0,-0.02256124292284898,both,156927.0
Tunisia,33DG,370836427.0,370993354.0,156927.0,0.04231704022970753,both,156927.0
Vietnam,31ND,35059973236.0,35059892311.0,-80925.0,-0.00023081877289314425,both,80925.0
Turkey,31ND,6965270549.0,6965207074.0,-63475.0,-0.0009113070275369715,both,63475.0
Turkey,33DG,8690199594.0,8690263069.0,63475.0,0.0007304205077617,both,63475.0
United Kingdom,31ND,18730016073.0,18729968485.0,-47588.0,-0.0002540734605593843,both,47588.0
Mexico,11,21967232441.0,21967263071.0,30630.0,0.00013943495195522067,both,30630.0
Germany,31ND,35763150663.0,35763123660.0,-27003.0,-7.550509253072293e-05,both,27003.0
Sri Lanka,31ND,2296765196.0,2296751979.0,-13217.0,-0.000575461524017277,both,13217.0
Sri Lanka,33DG,623286446.0,623299663.0,13217.0,0.0021205338387865406,both,13217.0
Spain,31ND,11049801938.0,11049789357.0,-12581.0,-0.00011385724441570528,both,12581.0
Spain,33DG,8643423878.0,8643436459.0,12581.0,0.0001455557447786665,both,12581.0
"Korea, South",31ND,24764516552.0,24764509742.0,-6810.0,-2.7499022586209215e-05,both,6810.0
Romania,33DG,2953749192.0,2953755835.0,6643.0,0.0002249006116698076,both,6643.0
Romania,31ND,822697697.0,822691054.0,-6643.0,-0.0008074654911790764,both,6643.0
Japan,31ND,23512782915.0,23512776668.0,-6247.0,-2.6568526671569455e-05,both,6247.0
France,31ND,23062100441.0,23062094946.0,-5495.0,-2.382697106908329e-05,both,5495.0
Norway,31ND,2255793687.0,2255789255.0,-4432.0,-0.00019647186821832792,both,4432.0
Norway,33DG,2023888616.0,2023893048.0,4432.0,0.0002189843830812871,both,4432.0
Italy,31ND,33256028507.0,33256024569.0,-3938.0,-1.1841462065054152e-05,both,3938.0
Slovakia,31ND,434672580.0,434669016.0,-3564.0,-0.000819927495771645,both,3564.0
Slovakia,33DG,7672488733.0,7672492297.0,3564.0,4.645168111711843e-05,both,3564.0
Australia,31ND,7254530146.0,7254526611.0,-3535.0,-4.872817300165369e-05,both,3535.0
Australia,33DG,7304724653.0,7304728188.0,3535.0,4.839333675018401e-05,both,3535.0
Latvia,33DG,436772546.0,436775967.0,3421.0,0.0007832451996650907,both,3421.0
Latvia,31ND,130969757.0,130966336.0,-3421.0,-0.0026120534071083293,both,3421.0
Austria,31ND,4809775941.0,4809772688.0,-3253.0,-6.763308810854231e-05,both,3253.0
Austria,33DG,12271007437.0,12271010690.0,3253.0,2.6509640848162415e-05,both,3253.0
Hungary,33DG,7308660200.0,7308662239.0,2039.0,2.7898410162781956e-05,both,2039.0
Hungary,31ND,4970765163.0,4970763124.0,-2039.0,-4.101984167703881e-05,both,2039.0
Netherlands,31ND,18332017388.0,18332015596.0,-1792.0,-9.775247110408206e-06,both,1792.0
Poland,31ND,2128575324.0,2128573752.0,-1572.0,-7.385221383878075e-05,both,1572.0
Indonesia,31ND,14752234129.0,14752233604.0,-525.0,-3.5587829979457345e-06,both,525.0
Nigeria,11,59667697.0,59667697.0,0.0,0.0,both,0.0
Nigeria,31ND,768775526.0,768775526.0,0.0,0.0,both,0.0
Macau,Other,31090193.0,31090193.0,0.0,0.0,both,0.0
Macau,33DG,14812123.0,14812123.0,0.0,0.0,both,0.0
Macau,31ND,62614195.0,62614195.0,0.0,0.0,both,0.0
Macau,11,276150.0,276150.0,0.0,0.0,both,0.0
Luxembourg,Other,155619825.0,155619825.0,0.0,0.0,both,0.0
Nigeria,33DG,94099648.0,94099648.0,0.0,0.0,both,0.0
Nigeria,Other,40923907.0,40923907.0,0.0,0.0,both,0.0
Niue,31ND,33195.0,33195.0,0.0,0.0,both,0.0
Niue,33DG,3639990.0,3639990.0,0.0,0.0,both,0.0
Niue,Other,649059.0,649059.0,0.0,0.0,both,0.0
Norfolk Island,33DG,48616.0,48616.0,0.0,0.0,both,0.0
Norfolk Island,Other,142549.0,142549.0,0.0,0.0,both,0.0
Norway,11,1331525055.0,1331525055.0,0.0,0.0,both,0.0
Norway,21,472087187.0,472087187.0,0.0,0.0,both,0.0
Luxembourg,33DG,407485794.0,407485794.0,0.0,0.0,both,0.0
Luxembourg,31ND,135225650.0,135225650.0,0.0,0.0,both,0.0
Norway,Other,500039625.0,500039625.0,0.0,0.0,both,0.0
Oman,11,4015177.0,4015177.0,0.0,0.0,both,0.0
Oman,31ND,538156751.0,538156751.0,0.0,0.0,both,0.0
Oman,Other,128215352.0,128215352.0,0.0,0.0,both,0.0
Nigeria,21,4735709181.0,4735709181.0,0.0,0.0,both,0.0
Macedonia,Other,4307834.0,4307834.0,0.0,0.0,both,0.0
