usummary_code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,total_imports
23OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,3,0,0,0,1,3,0,0,1053,640,607,1039,574,133,1017,371,2770,1,0,1,12,0,0,0,21,0,0,0,0,0,0,0,0,0,183,0,16,673,11,112,5,0,0,1,0,387,0,0,2,1,1,33,95,10,2,5,5,11,4,9,7,11,1,0,2,5,2,1,3,1,2,6,2,0,15,0,1,0,0,0,0,4,1,0,5,3,4,23,1,49,14,17,0,0,0,0,0,1,0,194,62,1,2,0,10,0,11,0,10,0,0,9,25,5,2,42,2,0,1,2,27,0,41,1,27,70,61,7,1,14,0,0,1,0,378,1,24,17,31,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11078
327,0,0,0,88,2,10,0,0,46,43,62,233,69,11,189,48,15,510,74,11,20,9,0,18,19,1,0,2,1,0,22,10,20,2,43,1,12,3,6,7,1,10,0,1,0,6,0,42,0,0,0,19,34,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,2,0,1,0,7,0,0,0,0,0,0,0,0,0,2,16,0,8,0,0,0,0,0,0,0,0,0,0,11,0,1,0,24,0,8,0,0,0,0,7,3,8,0,7,3,1,0,7,13,1,5,0,2,1,30,6,0,1,0,2,2,0,6,7,7,23,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074
3311IS,2,1,0,290,22,6,0,0,55,43,17,34,26,4,21,5,7,25,1155,32,2238,144,226,89,834,0,4,9,8,1,260,1,277,9,1111,130,99,89,19,110,0,0,0,1,0,4,2,0,1,0,0,0,47,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,2,1,1,1,31,0,0,0,0,0,0,0,0,193,9,0,0,0,35,0,5,0,0,1,0,25,15,15,18,0,0,1,7,3,1,1,21,2,19,2,2,16,8,4,0,0,0,0,0,0,0,8,76,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026
3313NF,0,0,0,0,0,0,0,0,5,26,1,31,8,40,27,6,19,7,982,7351,1683,16,4,22,565,2,30,220,72,0,964,2,769,20,977,89,310,222,79,215,7,93,0,0,0,53,0,1,0,0,0,0,31,1,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,1,8,13,0,4,10,173,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,24,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,9,45,0,1,0,94,101,0,0,0,0,56,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15587
332,3,131,7,129,8,1,0,16,237,177,284,316,339,287,117,621,32,13,28,11,154,7,10,3,98,0,5,3,8,0,30,18,141,15,152,45,82,25,7,12,91,17,17,3,0,64,2,4,8,14,1,67,87,1,1,1,3,3,1,12,3,6,0,0,11,10,3,8,4,12,2,30,37,0,4,6,19,17,0,1,2,5,1,1,0,81,36,26,1,18,10,8,4,0,0,0,2,0,0,49,48,1,37,1,90,2,41,2,7,8,1,69,27,74,3,1,1,0,0,3,28,0,149,1,8,51,79,63,3,29,0,99,13,4,8,33,26,128,449,233,0,0,0,10,0,0,0,4,0,0,0,1,0,0,0,2,0,0,6223
33311,136,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,58,0,32,119,7,1057,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657
33312,0,0,0,54,80,29,0,0,0,22,0,201,10,5,51,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,228,0,0,1327
33313,0,0,0,49,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
3332OM,2,0,1,334,87,36,26,1,256,31,147,128,274,14,32,34,8,3,8,25,148,32,57,28,703,0,0,2,5,0,75,18,249,85,320,69,45,8,3,9,57,96,2,1,-1,72,33,0,25,7,0,80,168,1,1,1,2,7,1,9,1,8,1,0,3,3,2,4,0,1,0,2,2,0,1,1,3,1,0,2,1,37,0,0,0,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,63,1,29,4,10,1,1,1,0,141,5,41,15,38,0,0,0,13,10,0,2,0,9,2,8,171,22,15,0,13,16,-5,45,37,58,74,359,7024,0,0,0,18,0,0,0,160,0,0,0,1,0,0,0,61,0,0,12419
3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
