Country,iso3,HS4,summary_code,impVal,bea_total,weight
Afghanistan,AFG,1207,111CA,19862.0,3597103.0,0.005521665629257767
Afghanistan,AFG,1209,111CA,12750.0,3597103.0,0.0035445190198890608
Afghanistan,AFG,1211,111CA,113428.0,3597103.0,0.03153315320690011
Afghanistan,AFG,1212,111CA,38690.0,3597103.0,0.010755877716039823
Afghanistan,AFG,409,111CA,2250.0,3597103.0,0.0006255033564510108
Afghanistan,AFG,603,111CA,5427.0,3597103.0,0.0015087140957598378
Afghanistan,AFG,708,111CA,23322.0,3597103.0,0.006483550790733543
Afghanistan,AFG,713,111CA,102319.0,3597103.0,0.028444834634982652
Afghanistan,AFG,801,111CA,9204.0,3597103.0,0.0025587257301222677
Afghanistan,AFG,802,111CA,583061.0,3597103.0,0.1620918277847479
Afghanistan,AFG,804,111CA,2674032.0,3597103.0,0.7433848850032929
Afghanistan,AFG,805,111CA,2198.0,3597103.0,0.0006110472788796985
Afghanistan,AFG,810,111CA,10560.0,3597103.0,0.00293569575294341
Afghanistan,AFG,1302,113FF,54963.0,83490.0,0.6583183614804168
Afghanistan,AFG,802,113FF,28527.0,83490.0,0.34168163851958316
Afghanistan,AFG,2508,212,7211.0,15399.0,0.46827716085460097
Afghanistan,AFG,2530,212,8188.0,15399.0,0.5317228391453991
Afghanistan,AFG,1005,311FT,2197.0,11165229.0,0.0001967716022662858
Afghanistan,AFG,1006,311FT,2272.0,11165229.0,0.00020348888500182127
Afghanistan,AFG,1103,311FT,2255.0,11165229.0,0.0002019663009150999
Afghanistan,AFG,1106,311FT,2350.0,11165229.0,0.00021047485904677817
Afghanistan,AFG,1515,311FT,69929.0,11165229.0,0.006263104858843469
Afghanistan,AFG,1518,311FT,17490.0,11165229.0,0.0015664703339268724
Afghanistan,AFG,1701,311FT,21343.0,11165229.0,0.0019115595389937814
Afghanistan,AFG,1702,311FT,9029.0,11165229.0,0.0008086712775886639
Afghanistan,AFG,1704,311FT,295189.0,11165229.0,0.026438239645599746
Afghanistan,AFG,1901,311FT,2364.0,11165229.0,0.00021172875182407812
Afghanistan,AFG,1902,311FT,30649.0,11165229.0,0.002745039980819023
Afghanistan,AFG,1905,311FT,48688.0,11165229.0,0.004360680824370015
Afghanistan,AFG,2001,311FT,84628.0,11165229.0,0.007579602711238614
Afghanistan,AFG,2002,311FT,20506.0,11165229.0,0.0018365946636652057
Afghanistan,AFG,2004,311FT,53845.0,11165229.0,0.0048225611852654345
Afghanistan,AFG,2005,311FT,137577.0,11165229.0,0.01232191475875685
Afghanistan,AFG,2006,311FT,16537.0,11165229.0,0.0014811160613006683
