Country,iso3,HS_Section,summary_code,impVal,bea_total,weight
Bangladesh,BGD,11,Other,5710528.0,103786727.0,0.055021756298375225
Bangladesh,BGD,21,Other,95854353.0,103786727.0,0.9235704388288495
Barbados,BRB,1,111CA,296288.0,296288.0,1.0
Barbados,BRB,1,113FF,648601.0,648601.0,1.0
Barbados,BRB,2,311FT,373942.0,25250389.0,0.014809356006356971
Barbados,BRB,3,311FT,27748.0,25250389.0,0.001098913763269152
Barbados,BRB,4,311FT,24848699.0,25250389.0,0.9840917302303739
Barbados,BRB,11,313TT,574008.0,574008.0,1.0
Barbados,BRB,8,315AL,47775.0,1087857.0,0.043916617717218345
Barbados,BRB,11,315AL,255436.0,1087857.0,0.234806596822928
Barbados,BRB,12,315AL,784646.0,1087857.0,0.7212767854598536
Barbados,BRB,9,321,9295.0,9295.0,1.0
Barbados,BRB,10,322,63588.0,63588.0,1.0
