Country,iso3,HS2,summary_code,impVal,bea_total,weight
Albania,ALB,15,311FT,1243575.0,6862452.0,0.18121438226453168
Albania,ALB,17,311FT,24774.0,6862452.0,0.0036100798956408002
Albania,ALB,18,311FT,42169.0,6862452.0,0.0061448881536803465
Albania,ALB,19,311FT,216358.0,6862452.0,0.03152779793578155
Albania,ALB,20,311FT,710575.0,6862452.0,0.10354535084544125
Albania,ALB,21,311FT,107038.0,6862452.0,0.015597631866860417
Albania,ALB,22,311FT,753872.0,6862452.0,0.10985461173353198
Albania,ALB,4,311FT,1182921.0,6862452.0,0.17237585049775211
Albania,ALB,7,311FT,779707.0,6862452.0,0.11361930108946482
Albania,ALB,8,311FT,87058.0,6862452.0,0.012686136092463744
Albania,ALB,9,311FT,448153.0,6862452.0,0.06530508337253214
Albania,ALB,42,313TT,1015.0,130579.0,0.007773072239793535
Albania,ALB,53,313TT,1629.0,130579.0,0.012475206579924797
Albania,ALB,57,313TT,300.0,130579.0,0.002297459775308434
Albania,ALB,63,313TT,114441.0,130579.0,0.8764119804869083
Albania,ALB,64,313TT,5502.0,130579.0,0.04213541227915668
Albania,ALB,94,313TT,7692.0,130579.0,0.05890686863890825
Albania,ALB,42,315AL,768116.0,13873209.0,0.055366858525666265
Albania,ALB,61,315AL,3570668.0,13873209.0,0.25737866415765814
Albania,ALB,62,315AL,7408533.0,13873209.0,0.5340172558490253
Albania,ALB,64,315AL,2111089.0,13873209.0,0.15217020085259295
Albania,ALB,65,315AL,14803.0,13873209.0,0.0010670206150574103
Albania,ALB,44,321,154854.0,154854.0,1.0
Albania,ALB,48,322,2713926.0,2713926.0,1.0
Albania,ALB,49,323,35015.0,35015.0,1.0
Albania,ALB,12,325,267288.0,4713651.0,0.056705089112452325
Albania,ALB,31,325,508679.0,4713651.0,0.10791613549666702
Albania,ALB,32,325,149817.0,4713651.0,0.031783642870462835
Albania,ALB,33,325,3772652.0,4713651.0,0.8003672736908184
Albania,ALB,34,325,15215.0,4713651.0,0.003227858829599391
Albania,ALB,39,326,867425.0,992072.0,0.8743569015152126
Albania,ALB,40,326,117944.0,992072.0,0.11888653242909789
Albania,ALB,96,326,6703.0,992072.0,0.006756566055689506
Albania,ALB,38,327,2077.0,109794.0,0.018917245022496674
Albania,ALB,68,327,14225.0,109794.0,0.12956081388782628
Albania,ALB,69,327,20281.0,109794.0,0.18471865493560669
Albania,ALB,70,327,73211.0,109794.0,0.6668032861540704
Albania,ALB,72,331,64719108.0,64834468.0,0.9982206995205082
Albania,ALB,76,331,106710.0,64834468.0,0.0016458837913191483
Albania,ALB,81,331,6450.0,64834468.0,9.948412008254621e-05
Albania,ALB,84,331,2200.0,64834468.0,3.3932568090170804e-05
Albania,ALB,73,332,766579.0,6367644.0,0.1203865982457562
Albania,ALB,76,332,5482074.0,6367644.0,0.8609265844635787
Albania,ALB,79,332,2089.0,6367644.0,0.00032806482271936056
Albania,ALB,83,332,14517.0,6367644.0,0.0022798070997687683
Albania,ALB,84,332,20924.0,6367644.0,0.003285987721675395
Albania,ALB,94,332,81461.0,6367644.0,0.012792957646501594
Albania,ALB,84,333,182656.0,248539.0,0.7349188658520394
Albania,ALB,87,333,62973.0,248539.0,0.25337271011792917
Albania,ALB,90,333,2910.0,248539.0,0.011708424030031504
Albania,ALB,84,334,3936.0,209693.0,0.01877029753019891
Albania,ALB,85,334,192433.0,209693.0,0.9176891932491785
Albania,ALB,90,334,13324.0,209693.0,0.06354050922062253
Albania,ALB,85,335,1352420.0,1352420.0,1.0
Albania,ALB,84,3361MV,3219.0,1055527.0,0.0030496614487360344
Albania,ALB,85,3361MV,29906.0,1055527.0,0.028332766475893084
Albania,ALB,87,3361MV,669520.0,1055527.0,0.6342992647274773
Albania,ALB,94,3361MV,352882.0,1055527.0,0.33431830734789353
Albania,ALB,89,3364OT,483718.0,483718.0,1.0
Albania,ALB,94,337,2686013.0,2686013.0,1.0
Albania,ALB,40,339,20867.0,267597.0,0.07797920006577054
Albania,ALB,66,339,35794.0,267597.0,0.13376084186295062
Albania,ALB,71,339,99859.0,267597.0,0.3731693554113088
Albania,ALB,83,339,2331.0,267597.0,0.008710859987219587
Albania,ALB,90,339,28287.0,267597.0,0.10570746308815121
Albania,ALB,96,339,80459.0,267597.0,0.30067227958459924
Albania,ALB,63,Other,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,71,Other,91393.0,1871498.0,0.04883414248906491
Albania,ALB,87,Other,32500.0,1871498.0,0.017365767957005566
Albania,ALB,97,Other,215678.0,1871498.0,0.11524351081326296
Albania,ALB,98,Other,469414.0,1871498.0,0.25082260306984033
Albania,ALB,99,Other,1061030.0,1871498.0,0.5669415623206651
Andorra,AND,19,311FT,2912.0,2912.0,1.0
Andorra,AND,59,313TT,511.0,511.0,1.0
Andorra,AND,49,323,123903.0,123903.0,1.0
Andorra,AND,39,325,584.0,584.0,1.0
Andorra,AND,39,326,18254.0,19679.0,0.9275877839321104
Andorra,AND,42,326,1425.0,19679.0,0.07241221606788963
Andorra,AND,71,331,11165.0,11165.0,1.0
Andorra,AND,73,332,176469.0,197531.0,0.8933736983055824
Andorra,AND,83,332,3976.0,197531.0,0.020128486161665765
Andorra,AND,84,332,17086.0,197531.0,0.08649781553275182
Andorra,AND,82,333,4500.0,28226.0,0.159427478211578
Andorra,AND,84,333,12497.0,28226.0,0.44274782115779776
Andorra,AND,87,333,3723.0,28226.0,0.1318996669737122
Andorra,AND,90,333,7506.0,28226.0,0.26592503365691206
Andorra,AND,85,334,1499903.0,1548232.0,0.9687843940701394
Andorra,AND,90,334,30879.0,1548232.0,0.01994468529264348
Andorra,AND,91,334,17450.0,1548232.0,0.011270920637217161
Andorra,AND,85,335,27334.0,27334.0,1.0
Andorra,AND,84,3364OT,8506.0,24995.0,0.34030806161232247
Andorra,AND,87,3364OT,16489.0,24995.0,0.6596919383876776
Andorra,AND,94,337,30176.0,30176.0,1.0
Andorra,AND,39,339,832.0,917227.0,0.0009070818892160828
Andorra,AND,67,339,2925.0,917227.0,0.003188959766775291
Andorra,AND,71,339,115500.0,917227.0,0.12592302668804997
Andorra,AND,90,339,138761.0,917227.0,0.1512831610931645
Andorra,AND,91,339,16296.0,917227.0,0.017766594310895775
Andorra,AND,92,339,231786.0,917227.0,0.2527029841031718
Andorra,AND,95,339,411127.0,917227.0,0.44822819214872656
Andorra,AND,49,Other,101100.0,436774.0,0.23146982192163454
Andorra,AND,97,Other,237187.0,436774.0,0.5430428551150023
Andorra,AND,98,Other,61938.0,436774.0,0.1418078914953729
Andorra,AND,99,Other,36549.0,436774.0,0.08367943146799031
Anguilla,AIA,22,311FT,235930.0,235930.0,1.0
Anguilla,AIA,63,313TT,2056.0,2056.0,1.0
Anguilla,AIA,42,315AL,1154.0,165172.0,0.006986656334003342
Anguilla,AIA,61,315AL,535.0,165172.0,0.0032390477804954835
Anguilla,AIA,64,315AL,163483.0,165172.0,0.9897742958855011
Anguilla,AIA,33,325,53405.0,53405.0,1.0
Anguilla,AIA,39,326,68858.0,68858.0,1.0
Anguilla,AIA,68,327,28298.0,55328.0,0.5114589358010411
Anguilla,AIA,69,327,27030.0,55328.0,0.48854106419895893
Anguilla,AIA,84,333,3666.0,3666.0,1.0
Anguilla,AIA,85,335,22329.0,24329.0,0.9177935796785729
Anguilla,AIA,94,335,2000.0,24329.0,0.08220642032142711
Anguilla,AIA,84,3364OT,108000.0,108000.0,1.0
Anguilla,AIA,94,337,13340.0,13340.0,1.0
Anguilla,AIA,71,Other,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,72,Other,5598.0,460514.0,0.012155982228553313
Anguilla,AIA,74,Other,46830.0,460514.0,0.10169071950038436
Anguilla,AIA,76,Other,8734.0,460514.0,0.018965764341583535
Anguilla,AIA,85,Other,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,97,Other,8077.0,460514.0,0.017539097617010557
Anguilla,AIA,98,Other,207023.0,460514.0,0.44954767933222445
Anguilla,AIA,99,Other,63897.0,460514.0,0.13875148203963397
Antigua and Barbuda,ATG,25,212,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,21,311FT,65600.0,234213.0,0.2800869294189477
Antigua and Barbuda,ATG,22,311FT,168613.0,234213.0,0.7199130705810523
Antigua and Barbuda,ATG,63,313TT,65143.0,65143.0,1.0
Antigua and Barbuda,ATG,42,315AL,3920.0,7300.0,0.536986301369863
