naics,naics22,mapping_type
325412,325412,self_mapping
325413,325413,self_mapping
325414,325414,self_mapping
325510,325510,self_mapping
325520,325520,self_mapping
325611,325611,self_mapping
325612,325612,self_mapping
325613,325613,self_mapping
325620,325620,self_mapping
325910,325910,self_mapping
325920,325920,self_mapping
325991,325991,self_mapping
325992,325992,self_mapping
325998,325998,self_mapping
326111,326111,self_mapping
326112,326112,self_mapping
326113,326113,self_mapping
326121,326121,self_mapping
326122,326122,self_mapping
326130,326130,self_mapping
326140,326140,self_mapping
326150,326150,self_mapping
326160,326160,self_mapping
326191,326191,self_mapping
326199,326199,self_mapping
326211,326211,self_mapping
326212,326212,self_mapping
326220,326220,self_mapping
326291,326291,self_mapping
326299,326299,self_mapping
327110,327110,self_mapping
327120,327120,self_mapping
327211,327211,self_mapping
327212,327212,self_mapping
327213,327213,self_mapping
327215,327215,self_mapping
327310,327310,self_mapping
327320,327320,self_mapping
327331,327331,self_mapping
327332,327332,self_mapping
327390,327390,self_mapping
327410,327410,self_mapping
327420,327420,self_mapping
327910,327910,self_mapping
327991,327991,self_mapping
327992,327992,self_mapping
327993,327993,self_mapping
327999,327999,self_mapping
331110,331110,self_mapping
331210,331210,self_mapping
331221,331221,self_mapping
331222,331222,self_mapping
331313,331313,self_mapping
331314,331314,self_mapping
331315,331315,self_mapping
331318,331318,self_mapping
331410,331410,self_mapping
331420,331420,self_mapping
331491,331491,self_mapping
331492,331492,self_mapping
331511,331511,self_mapping
331512,331512,self_mapping
331513,331513,self_mapping
331523,331523,self_mapping
331524,331524,self_mapping
331529,331529,self_mapping
332111,332111,self_mapping
332112,332112,self_mapping
332114,332114,self_mapping
332117,332117,self_mapping
332119,332119,self_mapping
332215,332215,self_mapping
332216,332216,self_mapping
332311,332311,self_mapping
332312,332312,self_mapping
332313,332313,self_mapping
332321,332321,self_mapping
332322,332322,self_mapping
332323,332323,self_mapping
332410,332410,self_mapping
332420,332420,self_mapping
332431,332431,self_mapping
332439,332439,self_mapping
332510,332510,self_mapping
332613,332613,self_mapping
332618,332618,self_mapping
332710,332710,self_mapping
332721,332721,self_mapping
332722,332722,self_mapping
332811,332811,self_mapping
332812,332812,self_mapping
332813,332813,self_mapping
332911,332911,self_mapping
332912,332912,self_mapping
332913,332913,self_mapping
332919,332919,self_mapping
332991,332991,self_mapping
332992,332992,self_mapping
332993,332993,self_mapping
332994,332994,self_mapping
332996,332996,self_mapping
332999,332999,self_mapping
333111,333111,self_mapping
333112,333112,self_mapping
333120,333120,self_mapping
333131,333131,self_mapping
333132,333132,self_mapping
333241,333241,self_mapping
333242,333242,self_mapping
333243,333243,self_mapping
333249,333248,official_crosswalk
333244,333248,official_crosswalk
333314,333310,official_crosswalk
333316,333310,official_crosswalk
333318,333310,official_crosswalk
333413,333413,self_mapping
333414,333414,self_mapping
333415,333415,self_mapping
333511,333511,self_mapping
333514,333514,self_mapping
333515,333515,self_mapping
333517,333517,self_mapping
333519,333519,self_mapping
333611,333611,self_mapping
333612,333612,self_mapping
333613,333613,self_mapping
333618,333618,self_mapping
333912,333912,self_mapping
333914,333914,self_mapping
333921,333921,self_mapping
333922,333922,self_mapping
333923,333923,self_mapping
333924,333924,self_mapping
333991,333991,self_mapping
333992,333992,self_mapping
333993,333993,self_mapping
333994,333994,self_mapping
333995,333995,self_mapping
333996,333996,self_mapping
333997,333998,official_crosswalk
333999,333998,official_crosswalk
334111,334111,self_mapping
334112,334112,self_mapping
334118,334118,self_mapping
334210,334210,self_mapping
334220,334220,self_mapping
334290,334290,self_mapping
