Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Spain,335312,334419,206501251.0,Europe,1,,,335312,exact,33441A,exact,both_mapped_different
Indonesia,335999,335929,204531376.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
Canada,325998,325199,203906968.0,North_America,9,,,3259A0,level_5,325190,level_5,both_mapped_different
Mexico,339113,315280,201138640.0,North_America,4,,,339113,exact,315000,level_3,both_mapped_different
India,325199,325998,196402707.0,Asia,36,,,325190,level_5,3259A0,level_5,both_mapped_different
"Korea, South",332721,336350,195526945.0,Asia,2,,,332720,level_5,336350,level_5,both_mapped_different
Mexico,336120,336211,190527319.0,North_America,4,,,336120,level_5,336211,exact,both_mapped_different
China,327991,327390,186198041.0,Asia,3,,,327991,exact,327390,level_5,both_mapped_different
China,331210,331110,186166635.0,Asia,70,,,331200,level_4,331110,level_4,both_mapped_different
China,325998,325199,185342908.0,Asia,8,,,3259A0,level_5,325190,level_5,both_mapped_different
Taiwan,334419,333314,184443412.0,Asia,3,,,33441A,exact,333314,exact,both_mapped_different
Mexico,332111,332999,182211855.0,North_America,2,,,33211A,exact,332999,exact,both_mapped_different
"Korea, South",325998,325199,181113193.0,Asia,6,,,3259A0,level_5,325190,level_5,both_mapped_different
China,339113,314120,179998099.0,Asia,1,,,339113,exact,314120,level_5,both_mapped_different
Vietnam,334419,334413,179442891.0,Asia,1,,,33441A,exact,334413,exact,both_mapped_different
China,332215,331511,176893533.0,Asia,4,,,332200,level_4,331510,level_5,both_mapped_different
"Korea, South",325998,334413,176770491.0,Asia,1,,,3259A0,level_5,334413,exact,both_mapped_different
Mexico,336390,336214,176319502.0,North_America,1,,,336390,level_5,336214,exact,both_mapped_different
Canada,336120,336211,168135213.0,North_America,5,,,336120,level_5,336211,exact,both_mapped_different
New Zealand,334510,339113,166844645.0,Oceana,1,,,334510,exact,339113,exact,both_mapped_different
Mexico,325998,325199,162593908.0,North_America,9,,,3259A0,level_5,325190,level_5,both_mapped_different
Italy,321911,337215,161542093.0,Europe,1,,,321910,level_5,337215,exact,both_mapped_different
Vietnam,332996,332919,159666106.0,Asia,33,,,332996,exact,33291A,exact,both_mapped_different
India,335999,334419,155258897.0,Asia,1,,,335999,exact,33441A,exact,both_mapped_different
Switzerland,930000,336411,152311530.0,Europe,2,,,S00300,noncomparable_imports,336411,exact,both_mapped_different
United Kingdom,325320,325199,150697008.0,Europe,3,,,325320,level_5,325190,level_5,both_mapped_different
"Korea, South",333515,333517,150056457.0,Asia,5,,,33351B,exact,333517,exact,both_mapped_different
Pakistan,339994,314120,149485736.0,Asia,2,,,339990,level_5,314120,level_5,both_mapped_different
Mexico,322130,322220,149081004.0,North_America,2,,,322130,level_5,322220,level_5,both_mapped_different
China,322220,332999,148394988.0,Asia,2,,,322220,level_5,332999,exact,both_mapped_different
Taiwan,325998,334413,148054863.0,Asia,1,,,3259A0,level_5,334413,exact,both_mapped_different
Mexico,337127,337124,144709078.0,North_America,5,,,337127,exact,33712N,exact,both_mapped_different
France,325411,325412,142177042.0,Europe,30,,,325411,exact,325412,exact,both_mapped_different
Japan,335999,335929,141260173.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
China,333515,333517,140166753.0,Asia,5,,,33351B,exact,333517,exact,both_mapped_different
Mexico,339113,337127,139806436.0,North_America,1,,,339113,exact,337127,exact,both_mapped_different
Colombia,332996,332919,139147286.0,South_America,9,,,332996,exact,33291A,exact,both_mapped_different
Mexico,326299,337215,136408287.0,North_America,1,,,326290,level_5,337215,exact,both_mapped_different
