U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
322,322,31ND,24185.0,24185.0,1659478.0
323,323,31ND,3801.0,3801.0,1659478.0
324,324,31ND,265764.0,265764.0,1659478.0
3251,325,31ND,1737.0,337627.0,1659478.0
3252,325,31ND,0.0,337627.0,1659478.0
3254,325,31ND,255857.0,337627.0,1659478.0
325X,325,31ND,80033.0,337627.0,1659478.0
326,326,31ND,51814.0,51814.0,1659478.0
4231,42,42,31797.0,787221.0,787221.0
4234,42,42,57775.0,787221.0,787221.0
4236,42,42,50443.0,787221.0,787221.0
4238,42,42,9536.0,787221.0,787221.0
423X,42,42,99908.0,787221.0,787221.0
4242,42,42,114139.0,787221.0,787221.0
4244,42,42,138067.0,787221.0,787221.0
4247,42,42,85024.0,787221.0,787221.0
424X,42,42,198135.0,787221.0,787221.0
425,42,42,2397.0,787221.0,787221.0
42ID,42,42,0.0,787221.0,787221.0
441,441,44RT,391826.0,391826.0,2315799.0
445,445,44RT,322737.0,322737.0,2315799.0
452,452,44RT,289761.0,289761.0,2315799.0
444,4A0,44RT,72190.0,1311475.0,2315799.0
446,4A0,44RT,163135.0,1311475.0,2315799.0
447,4A0,44RT,112436.0,1311475.0,2315799.0
448,4A0,44RT,170142.0,1311475.0,2315799.0
454,4A0,44RT,541344.0,1311475.0,2315799.0
4A0X,4A0,44RT,252228.0,1311475.0,2315799.0
481,481,48TW,196052.0,196052.0,466222.0
482,482,48TW,10206.0,10206.0,466222.0
483,483,48TW,30383.0,30383.0,466222.0
484,484,48TW,132446.0,132446.0,466222.0
485,485,48TW,69538.0,69538.0,466222.0
486,486,48TW,5213.0,5213.0,466222.0
48A,487OS,48TW,12524.0,22155.0,466222.0
492,487OS,48TW,9631.0,22155.0,466222.0
493,493,48TW,229.0,229.0,466222.0
5111,511,51,51670.0,154120.0,707319.0
5112,511,51,102450.0,154120.0,707319.0
512,512,51,21631.0,21631.0,707319.0
515,513,51,14599.0,390126.0,707319.0
5171,513,51,209281.0,390126.0,707319.0
5172,513,51,150314.0,390126.0,707319.0
5174OT,513,51,15932.0,390126.0,707319.0
518,514,51,88298.0,141442.0,707319.0
519,514,51,53144.0,141442.0,707319.0
521CI,521CI,52,400515.0,400515.0,1055310.0
523,523,52,297968.0,297968.0,1055310.0
524113,524,52,116049.0,116049.0,1055310.0
,,,,,
5242,524,52,0.0,116049.0,1055310.0
525,525,52,240778.0,240778.0,1055310.0
HSO,HS,53,2231294.0,2902025.0,3014936.0
HST,HS,53,670731.0,2902025.0,3014936.0
ORE,ORE,53,7416.0,7416.0,3014936.0
532RL,532RL,53,105495.0,105495.0,3014936.0
5411,5411,54,131102.0,131102.0,245375.0
5415,5415,54,0.0,0.0,245375.0
5412,5412OP,54,27310.0,114273.0,245375.0
5413,5412OP,54,0.0,114273.0,245375.0
5416,5412OP,54,0.0,114273.0,245375.0
5417,5412OP,54,7740.0,114273.0,245375.0
5418,5412OP,54,832.0,114273.0,245375.0
541X,5412OP,54,78391.0,114273.0,245375.0
55,55,55,0.0,0.0,0.0
5613,561,56,1707.0,95325.0,135846.0
5617,561,56,35183.0,95325.0,135846.0
561X,561,56,58435.0,95325.0,135846.0
562,562,56,40521.0,40521.0,135846.0
61,61,61,459417.0,459417.0,459417.0
6211,621,62,652422.0,1456340.0,3535980.0
6212,621,62,172698.0,1456340.0,3535980.0
6213,621,62,144732.0,1456340.0,3535980.0
6214,621,62,238647.0,1456340.0,3535980.0
6215OH,621,62,247841.0,1456340.0,3535980.0
622,622,62,1431192.0,1431192.0,3535980.0
623,623,62,311448.0,311448.0,3535980.0
624,624,62,337000.0,337000.0,3535980.0
711AS,711AS,71,70737.0,70737.0,351028.0
713,713,71,280291.0,280291.0,351028.0
721,721,72,163183.0,163183.0,1247214.0
722,722,72,1084031.0,1084031.0,1247214.0
811,81,81,284377.0,865906.0,865906.0
812,81,81,262592.0,865906.0,865906.0
813,81,81,293481.0,865906.0,865906.0
814,81,81,25456.0,865906.0,865906.0
GFGD,GFGD,G,0.0,0.0,98860.0
GFGN,GFGN,G,0.0,0.0,98860.0
GFE,GFE,G,6621.0,6621.0,98860.0
GSLGE,GSLG,G,0.0,0.0,98860.0
GSLGH,GSLG,G,0.0,0.0,98860.0
GSLGO,GSLG,G,0.0,0.0,98860.0
GSLE,GSLE,G,92239.0,92239.0,98860.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
