U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
111,111CA,11,101417.0,119040.0,128048.0
112,111CA,11,17623.0,119040.0,128048.0
113FF,113FF,11,9008.0,9008.0,128048.0
211,211,21,0.0,0.0,158.0
212,212,21,158.0,158.0,158.0
213,213,21,0.0,0.0,158.0
2211,22,22,239400.0,355771.0,355771.0
2212NW,22,22,116371.0,355771.0,355771.0
23EH,23,23,0.0,0.0,0.0
23MR,23,23,0.0,0.0,0.0
23OC,23,23,0.0,0.0,0.0
23OR,23,23,0.0,0.0,0.0
23OT,23,23,0.0,0.0,0.0
23PC,23,23,0.0,0.0,0.0
23SF,23,23,0.0,0.0,0.0
23TH,23,23,0.0,0.0,0.0
321,321,33DG,4301.0,4301.0,759410.0
327,327,33DG,15758.0,15758.0,759410.0
3311IS,331,33DG,1204.0,1269.0,759410.0
3313NF,331,33DG,65.0,1269.0,759410.0
332,332,33DG,31617.0,31617.0,759410.0
33311,333,33DG,1889.0,17841.0,759410.0
33312,333,33DG,0.0,17841.0,759410.0
33313,333,33DG,0.0,17841.0,759410.0
3332OM,333,33DG,15952.0,17841.0,759410.0
3341,334,33DG,63016.0,115331.0,759410.0
3342,334,33DG,13544.0,115331.0,759410.0
3344,334,33DG,349.0,115331.0,759410.0
3345,334,33DG,10024.0,115331.0,759410.0
334X,334,33DG,28398.0,115331.0,759410.0
335,335,33DG,72835.0,72835.0,759410.0
336111,3361MV,33DG,12305.0,274675.0,759410.0
336112,3361MV,33DG,217551.0,274675.0,759410.0
33612,3361MV,33DG,0.0,274675.0,759410.0
3362BP,3361MV,33DG,44819.0,274675.0,759410.0
3364,3364OT,33DG,1243.0,37109.0,759410.0
3365AO,3364OT,33DG,35866.0,37109.0,759410.0
337,337,33DG,59678.0,59678.0,759410.0
3391,339,33DG,33364.0,128996.0,759410.0
3399,339,33DG,95632.0,128996.0,759410.0
311,311FT,31ND,590737.0,777692.0,1659478.0
3121,311FT,31ND,134845.0,777692.0,1659478.0
3122,311FT,31ND,52110.0,777692.0,1659478.0
313TT,313TT,31ND,33263.0,33263.0,1659478.0
315AL,315AL,31ND,165332.0,165332.0,1659478.0
