U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
GSLGH,GSLG,G,0.0,0.0,93964.0
GSLGO,GSLG,G,0.0,0.0,93964.0
GSLE,GSLE,G,87288.0,87288.0,93964.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
