detail_code,world_weight,weight_sum_diff,level,weight_type,passes_validation,usummary_code,summary_code,sector_code,region,regional_weight
332913,1.0,0.0,detail,world,True,,,,,
33291A,1.0,0.0,detail,world,True,,,,,
332991,1.0,0.0,detail,world,True,,,,,
332999,1.0,0.0,detail,world,True,,,,,
33299A,1.0,0.0,detail,world,True,,,,,
333111,1.0,0.0,detail,world,True,,,,,
333112,1.0,0.0,detail,world,True,,,,,
333120,1.0,0.0,detail,world,True,,,,,
333130,1.0,0.0,detail,world,True,,,,,
333242,1.0,0.0,detail,world,True,,,,,
33329A,1.0,0.0,detail,world,True,,,,,
333314,1.0,0.0,detail,world,True,,,,,
333316,1.0,0.0,detail,world,True,,,,,
333318,1.0,0.0,detail,world,True,,,,,
333413,1.0,0.0,detail,world,True,,,,,
333414,1.0,0.0,detail,world,True,,,,,
333415,1.0,0.0,detail,world,True,,,,,
333511,1.0,0.0,detail,world,True,,,,,
333514,1.0,0.0,detail,world,True,,,,,
333517,1.0,0.0,detail,world,True,,,,,
33351B,1.0,0.0,detail,world,True,,,,,
333611,1.0,0.0,detail,world,True,,,,,
333612,1.0,0.0,detail,world,True,,,,,
333613,1.0,0.0,detail,world,True,,,,,
333618,1.0,0.0,detail,world,True,,,,,
333912,1.0,0.0,detail,world,True,,,,,
333914,1.0,0.0,detail,world,True,,,,,
333920,1.0,0.0,detail,world,True,,,,,
333991,1.0,0.0,detail,world,True,,,,,
333993,1.0,0.0,detail,world,True,,,,,
333994,1.0,0.0,detail,world,True,,,,,
33399A,1.0,0.0,detail,world,True,,,,,
33399B,1.0,0.0,detail,world,True,,,,,
334111,1.0,0.0,detail,world,True,,,,,
334112,1.0,0.0,detail,world,True,,,,,
334118,1.0,0.0,detail,world,True,,,,,
334210,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
334220,1.0,0.0,detail,world,True,,,,,
334290,1.0,0.0,detail,world,True,,,,,
334300,1.0,0.0,detail,world,True,,,,,
334413,1.0,0.0,detail,world,True,,,,,
334418,1.0,0.0,detail,world,True,,,,,
33441A,1.0,0.0,detail,world,True,,,,,
334510,1.0,0.0,detail,world,True,,,,,
334511,1.0,0.0,detail,world,True,,,,,
334512,1.0,0.0,detail,world,True,,,,,
334513,1.0,0.0,detail,world,True,,,,,
334514,1.0,0.0,detail,world,True,,,,,
334515,1.0,0.0,detail,world,True,,,,,
334516,1.0,0.0,detail,world,True,,,,,
334517,1.0,0.0,detail,world,True,,,,,
33451A,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
334610,1.0,0.0,detail,world,True,,,,,
335110,1.0,0.0,detail,world,True,,,,,
335120,1.0,0.0,detail,world,True,,,,,
335210,1.0,0.0,detail,world,True,,,,,
335220,1.0,0.0,detail,world,True,,,,,
335311,1.0,0.0,detail,world,True,,,,,
335312,1.0,0.0,detail,world,True,,,,,
335313,1.0,0.0,detail,world,True,,,,,
335314,1.0,0.0,detail,world,True,,,,,
335911,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
335912,1.0,0.0,detail,world,True,,,,,
335920,1.0,0.0,detail,world,True,,,,,
335930,1.0,0.0,detail,world,True,,,,,
335991,1.0,0.0,detail,world,True,,,,,
335999,1.0,0.0,detail,world,True,,,,,
336111,1.0,0.0,detail,world,True,,,,,
336112,1.0,0.0,detail,world,True,,,,,
336120,1.0,0.0,detail,world,True,,,,,
336211,1.0,0.0,detail,world,True,,,,,
336212,1.0,0.0,detail,world,True,,,,,
336213,1.0,0.0,detail,world,True,,,,,
336214,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
336310,1.0,0.0,detail,world,True,,,,,
336320,1.0,0.0,detail,world,True,,,,,
336350,1.0,0.0,detail,world,True,,,,,
336360,1.0,0.0,detail,world,True,,,,,
336370,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
336390,1.0,0.0,detail,world,True,,,,,
3363A0,1.0,0.0,detail,world,True,,,,,
336411,1.0,0.0,detail,world,True,,,,,
336412,1.0,0.0,detail,world,True,,,,,
336413,1.0,0.0,detail,world,True,,,,,
336414,1.0,0.0,detail,world,True,,,,,
33641A,1.0,0.0,detail,world,True,,,,,
336500,1.0,0.0,detail,world,True,,,,,
336611,1.0,0.0,detail,world,True,,,,,
336612,1.0,0.0,detail,world,True,,,,,
336991,1.0,0.0,detail,world,True,,,,,
336992,1.0,0.0,detail,world,True,,,,,
336999,1.0,0.0,detail,world,True,,,,,
337110,1.0,0.0,detail,world,True,,,,,
337121,1.0,0.0,detail,world,True,,,,,
337122,1.0,0.0,detail,world,True,,,,,
337127,1.0,0.0,detail,world,True,,,,,
33712N,1.0,0.0,detail,world,True,,,,,
337215,1.0,0.0,detail,world,True,,,,,
33721A,1.0,0.0,detail,world,True,,,,,
337900,1.0,0.0,detail,world,True,,,,,
339112,1.0,0.0,detail,world,True,,,,,
339113,1.0,0.0,detail,world,True,,,,,
339114,1.0,0.0,detail,world,True,,,,,
339115,1.0,0.0,detail,world,True,,,,,
339116,1.0,0.0,detail,world,True,,,,,
339910,1.0,0.0,detail,world,True,,,,,
339920,0.9999999999999999,-1.1102230246251565e-16,detail,world,True,,,,,
339930,1.0,0.0,detail,world,True,,,,,
339940,1.0,0.0,detail,world,True,,,,,
339950,1.0,0.0,detail,world,True,,,,,
339990,1.0,0.0,detail,world,True,,,,,
S00300,1.0,0.0,detail,world,True,,,,,
,1.0,0.0,usummary,world,True,111,,,,
,1.0,0.0,usummary,world,True,112,,,,
,1.0,0.0,usummary,world,True,113FF,,,,
,0.9999999999999999,-1.1102230246251565e-16,usummary,world,True,211,,,,
,1.0,0.0,usummary,world,True,212,,,,
,1.0,0.0,usummary,world,True,311,,,,
,1.0,0.0,usummary,world,True,3121,,,,
,1.0,0.0,usummary,world,True,3122,,,,
,1.0,0.0,usummary,world,True,313TT,,,,
,1.0,0.0,usummary,world,True,315AL,,,,
,1.0,0.0,usummary,world,True,321,,,,
,1.0,0.0,usummary,world,True,322,,,,
,1.0,0.0,usummary,world,True,323,,,,
,1.0,0.0,usummary,world,True,324,,,,
,1.0,0.0,usummary,world,True,3251,,,,
,1.0,0.0,usummary,world,True,3252,,,,
,1.0,0.0,usummary,world,True,3254,,,,
,1.0,0.0,usummary,world,True,325X,,,,
,1.0,0.0,usummary,world,True,326,,,,
,1.0,0.0,usummary,world,True,327,,,,
,1.0,0.0,usummary,world,True,3311IS,,,,
,1.0,0.0,usummary,world,True,3313NF,,,,
,1.0,0.0,usummary,world,True,332,,,,
,1.0,0.0,usummary,world,True,33311,,,,
,1.0,0.0,usummary,world,True,33312,,,,
,1.0,0.0,usummary,world,True,33313,,,,
,1.0,0.0,usummary,world,True,3332OM,,,,
,0.9999999999999999,-1.1102230246251565e-16,usummary,world,True,3341,,,,
,1.0,0.0,usummary,world,True,3342,,,,
,1.0,0.0,usummary,world,True,3344,,,,
,1.0,0.0,usummary,world,True,3345,,,,
,1.0,0.0,usummary,world,True,334X,,,,
,1.0,0.0,usummary,world,True,335,,,,
,1.0,0.0,usummary,world,True,336111,,,,
,1.0,0.0,usummary,world,True,336112,,,,
,1.0,0.0,usummary,world,True,33612,,,,
,1.0,0.0,usummary,world,True,3362BP,,,,
,1.0,0.0,usummary,world,True,3364,,,,
,1.0,0.0,usummary,world,True,3365AO,,,,
,1.0,0.0,usummary,world,True,337,,,,
,1.0,0.0,usummary,world,True,3391,,,,
,1.0,0.0,usummary,world,True,3399,,,,
,1.0,0.0,usummary,world,True,S003,,,,
,1.0,0.0,summary,world,True,,111CA,,,
,1.0,0.0,summary,world,True,,113FF,,,
,0.9999999999999999,-1.1102230246251565e-16,summary,world,True,,211,,,
,1.0,0.0,summary,world,True,,212,,,
,1.0,0.0,summary,world,True,,311FT,,,
,1.0,0.0,summary,world,True,,313TT,,,
,1.0,0.0,summary,world,True,,315AL,,,
,1.0,0.0,summary,world,True,,321,,,
,1.0,0.0,summary,world,True,,322,,,
,1.0,0.0,summary,world,True,,323,,,
,1.0,0.0,summary,world,True,,324,,,
,1.0,0.0,summary,world,True,,325,,,
,1.0,0.0,summary,world,True,,326,,,
,1.0,0.0,summary,world,True,,327,,,
,1.0,0.0,summary,world,True,,331,,,
,1.0,0.0,summary,world,True,,332,,,
,1.0,0.0,summary,world,True,,333,,,
,1.0,0.0,summary,world,True,,334,,,
,1.0,0.0,summary,world,True,,335,,,
,1.0,0.0,summary,world,True,,3361MV,,,
,1.0,0.0,summary,world,True,,3364OT,,,
,1.0,0.0,summary,world,True,,337,,,
,1.0,0.0,summary,world,True,,339,,,
,1.0,0.0,summary,world,True,,Other,,,
,1.0,0.0,sector,world,True,,,11,,
,1.0,0.0,sector,world,True,,,21,,
,1.0,0.0,sector,world,True,,,31ND,,
,1.0,0.0,sector,world,True,,,33DG,,
,1.0,0.0,sector,world,True,,,Other,,
1111A0,,0.0,detail,regional,True,,,,CAN,1.0
1111A0,,0.0,detail,regional,True,,,,CHN,1.0
1111A0,,0.0,detail,regional,True,,,,Europe,1.0
1111A0,,0.0,detail,regional,True,,,,JPN,1.0
1111A0,,0.0,detail,regional,True,,,,MEX,1.0
1111A0,,-1.1102230246251565e-16,detail,regional,True,,,,RoAsia,0.9999999999999999
1111A0,,0.0,detail,regional,True,,,,RoWorld,1.0
1111B0,,0.0,detail,regional,True,,,,CAN,1.0
1111B0,,0.0,detail,regional,True,,,,CHN,1.0
1111B0,,0.0,detail,regional,True,,,,Europe,1.0
