U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
111,111CA,11,66783.0,77789.0,84276.0
112,111CA,11,11006.0,77789.0,84276.0
113FF,113FF,11,6487.0,6487.0,84276.0
211,211,21,0.0,0.0,174.0
212,212,21,174.0,174.0,174.0
213,213,21,0.0,0.0,174.0
2211,22,22,187309.0,284495.0,284495.0
2212NW,22,22,97186.0,284495.0,284495.0
23EH,23,23,0.0,0.0,0.0
23MR,23,23,0.0,0.0,0.0
23OC,23,23,0.0,0.0,0.0
23OR,23,23,0.0,0.0,0.0
23OT,23,23,0.0,0.0,0.0
23PC,23,23,0.0,0.0,0.0
23SF,23,23,0.0,0.0,0.0
23TH,23,23,0.0,0.0,0.0
321,321,33DG,3516.0,3516.0,531736.0
327,327,33DG,11310.0,11310.0,531736.0
3311IS,331,33DG,571.0,613.0,531736.0
3313NF,331,33DG,42.0,613.0,531736.0
332,332,33DG,17857.0,17857.0,531736.0
33311,333,33DG,733.0,9529.0,531736.0
33312,333,33DG,0.0,9529.0,531736.0
33313,333,33DG,0.0,9529.0,531736.0
3332OM,333,33DG,8796.0,9529.0,531736.0
3341,334,33DG,37631.0,79631.0,531736.0
3342,334,33DG,10928.0,79631.0,531736.0
3344,334,33DG,312.0,79631.0,531736.0
3345,334,33DG,8202.0,79631.0,531736.0
334X,334,33DG,22558.0,79631.0,531736.0
335,335,33DG,42234.0,42234.0,531736.0
336111,3361MV,33DG,8688.0,197905.0,531736.0
336112,3361MV,33DG,152915.0,197905.0,531736.0
33612,3361MV,33DG,0.0,197905.0,531736.0
3362BP,3361MV,33DG,36302.0,197905.0,531736.0
3364,3364OT,33DG,791.0,24023.0,531736.0
3365AO,3364OT,33DG,23232.0,24023.0,531736.0
337,337,33DG,50159.0,50159.0,531736.0
3391,339,33DG,23603.0,94959.0,531736.0
3399,339,33DG,71356.0,94959.0,531736.0
311,311FT,31ND,449716.0,613383.0,1332313.0
3121,311FT,31ND,108462.0,613383.0,1332313.0
3122,311FT,31ND,55205.0,613383.0,1332313.0
313TT,313TT,31ND,22859.0,22859.0,1332313.0
315AL,315AL,31ND,147389.0,147389.0,1332313.0
322,322,31ND,22186.0,22186.0,1332313.0
323,323,31ND,2785.0,2785.0,1332313.0
324,324,31ND,191840.0,191840.0,1332313.0
3251,325,31ND,1024.0,293802.0,1332313.0
3252,325,31ND,0.0,293802.0,1332313.0
