Country,iso3,HS4,sector_code,impVal,bea_total,weight
Afghanistan,AFG,6206,31ND,2981.0,15431987.0,0.00019317019901584934
Afghanistan,AFG,6207,31ND,710.0,15431987.0,4.6008333210752444e-05
Afghanistan,AFG,6209,31ND,1172.0,15431987.0,7.5946150032397e-05
Afghanistan,AFG,6211,31ND,6315.0,15431987.0,0.0004092149636984531
Afghanistan,AFG,6214,31ND,16140.0,15431987.0,0.0010458795746782316
Afghanistan,AFG,6302,31ND,17846.0,15431987.0,0.0011564291753226594
Afghanistan,AFG,6304,31ND,1067.0,15431987.0,6.91421007547505e-05
Afghanistan,AFG,6307,31ND,4150.0,15431987.0,0.0002689219476403136
Afghanistan,AFG,6403,31ND,7144.0,15431987.0,0.0004629345527572049
Afghanistan,AFG,6404,31ND,364.0,15431987.0,2.3587370829174493e-05
Afghanistan,AFG,712,31ND,67227.0,15431987.0,0.004356341150365147
Afghanistan,AFG,806,31ND,3421959.0,15431987.0,0.22174454916272285
Afghanistan,AFG,811,31ND,30611.0,15431987.0,0.0019836071660765398
Afghanistan,AFG,812,31ND,13377.0,15431987.0,0.0008668358779721626
Afghanistan,AFG,813,31ND,1942817.0,15431987.0,0.1258954533852316
Afghanistan,AFG,902,31ND,5400.0,15431987.0,0.0003499225342789623
Afghanistan,AFG,909,31ND,56247.0,15431987.0,0.0036448319973312574
Afghanistan,AFG,910,31ND,1768695.0,15431987.0,0.11461226606787576
Afghanistan,AFG,9404,31ND,545.0,15431987.0,3.531625577445082e-05
Afghanistan,AFG,6815,33DG,4000.0,1488507.0,0.0026872564253980664
Afghanistan,AFG,7010,33DG,2750.0,1488507.0,0.001847488792461171
Afghanistan,AFG,7102,33DG,42000.0,1488507.0,0.0282161924666797
Afghanistan,AFG,7103,33DG,859128.0,1488507.0,0.5771743095598475
Afghanistan,AFG,7113,33DG,47266.0,1488507.0,0.03175396555071625
Afghanistan,AFG,7117,33DG,14252.0,1488507.0,0.009574694643693312
Afghanistan,AFG,7118,33DG,97126.0,1488507.0,0.06525061689330315
Afghanistan,AFG,7318,33DG,3294.0,1488507.0,0.002212955666315308
Afghanistan,AFG,7323,33DG,34035.0,1488507.0,0.0228651931096058
Afghanistan,AFG,7326,33DG,39388.0,1488507.0,0.02646141402089476
Afghanistan,AFG,8202,33DG,5788.0,1488507.0,0.0038884600475510025
Afghanistan,AFG,8215,33DG,2457.0,1488507.0,0.0016506472593007624
Afghanistan,AFG,8302,33DG,28749.0,1488507.0,0.019313983743442256
Afghanistan,AFG,8409,33DG,3728.0,1488507.0,0.002504522988470998
Afghanistan,AFG,8413,33DG,7213.0,1488507.0,0.004845795149099064
Afghanistan,AFG,8415,33DG,9024.0,1488507.0,0.006062450495698039
Afghanistan,AFG,8421,33DG,5980.0,1488507.0,0.00401744835597011
Afghanistan,AFG,8422,33DG,6113.0,1488507.0,0.004106799632114595
Afghanistan,AFG,8431,33DG,3732.0,1488507.0,0.0025072102448963963
Afghanistan,AFG,8433,33DG,4822.0,1488507.0,0.0032394876208173694
Afghanistan,AFG,8471,33DG,6919.0,1488507.0,0.004648281801832306
Afghanistan,AFG,8484,33DG,45099.0,1488507.0,0.030298144382256854
Afghanistan,AFG,8501,33DG,6081.0,1488507.0,0.004085301580711411
Afghanistan,AFG,8504,33DG,20000.0,1488507.0,0.013436282126990334
Afghanistan,AFG,8515,33DG,4594.0,1488507.0,0.0030863140045696794
Afghanistan,AFG,8517,33DG,19714.0,1488507.0,0.013244143292574371
Afghanistan,AFG,8526,33DG,13500.0,1488507.0,0.009069490435718475
Afghanistan,AFG,8536,33DG,6224.0,1488507.0,0.0041813709979193914
Afghanistan,AFG,8537,33DG,2970.0,1488507.0,0.0019952878958580645
Afghanistan,AFG,8538,33DG,3052.0,1488507.0,0.002050376652578725
Afghanistan,AFG,8544,33DG,34636.0,1488507.0,0.02326895338752186
Afghanistan,AFG,9027,33DG,8634.0,1488507.0,0.005800442994221727
Afghanistan,AFG,9032,33DG,5459.0,1488507.0,0.0036674332065620113
Afghanistan,AFG,9401,33DG,81012.0,1488507.0,0.05442500438358704
Afghanistan,AFG,9404,33DG,1795.0,1488507.0,0.0012059063208973823
Afghanistan,AFG,9405,33DG,351.0,1488507.0,0.00023580675132868034
Afghanistan,AFG,9506,33DG,7622.0,1488507.0,0.005120567118596016
Afghanistan,AFG,6309,Other,3289.0,1971873.0,0.0016679573177380085
Afghanistan,AFG,6310,Other,3080.0,1971873.0,0.0015619667189519812
Afghanistan,AFG,9703,Other,8500.0,1971873.0,0.004310622438666182
Afghanistan,AFG,9705,Other,388127.0,1971873.0,0.1968316417943752
Afghanistan,AFG,9706,Other,601827.0,1971873.0,0.30520576122295906
Afghanistan,AFG,9801,Other,487897.0,1971873.0,0.24742820658328402
Afghanistan,AFG,9802,Other,2040.0,1971873.0,0.0010345493852798836
Afghanistan,AFG,9999,Other,477113.0,1971873.0,0.24195929453874565
Albania,ALB,1211,11,16229100.0,19281125.0,0.8417091845003858
Albania,ALB,1212,11,3422.0,19281125.0,0.0001774792705301169
Albania,ALB,1214,11,20013.0,19281125.0,0.0010379581066976124
Albania,ALB,1302,11,36420.0,19281125.0,0.0018888939312410454
Albania,ALB,2401,11,1092972.0,19281125.0,0.05668611141725392
Albania,ALB,302,11,887568.0,19281125.0,0.04603299859318375
Albania,ALB,306,11,394565.0,19281125.0,0.020463795551348793
Albania,ALB,409,11,24790.0,19281125.0,0.0012857133595679713
Albania,ALB,713,11,86826.0,19281125.0,0.0045031604742980505
Albania,ALB,802,11,13708.0,19281125.0,0.0007109543659926483
Albania,ALB,910,11,491741.0,19281125.0,0.025503750429500354
Albania,ALB,2501,21,2355.0,36615.0,0.06431790249897583
Albania,ALB,2515,21,2112.0,36615.0,0.05768127816468661
Albania,ALB,2610,21,32148.0,36615.0,0.8780008193363376
