Country,iso3,HS_Section,sector_code,impVal,bea_total,weight
Brazil,BRA,17,31ND,658470.0,11750598136.0,5.603714741828016e-05
Brazil,BRA,20,31ND,6935450.0,11750598136.0,0.0005902210185158187
Brazil,BRA,2,33DG,323557.0,17860948169.0,1.8115331668761867e-05
Brazil,BRA,5,33DG,32401279.0,17860948169.0,0.0018140850470769875
Brazil,BRA,6,33DG,672589225.0,17860948169.0,0.037656971994765996
Brazil,BRA,7,33DG,5525847.0,17860948169.0,0.0003093815035861773
Brazil,BRA,8,33DG,342632.0,17860948169.0,1.9183304086548015e-05
Brazil,BRA,9,33DG,1551630420.0,17860948169.0,0.08687279114851565
Brazil,BRA,10,33DG,3132.0,17860948169.0,1.7535463237254075e-07
Brazil,BRA,11,33DG,3754281.0,17860948169.0,0.00021019494399049
Brazil,BRA,12,33DG,393009.0,17860948169.0,2.200381504281605e-05
Brazil,BRA,13,33DG,936208582.0,17860948169.0,0.05241651076648393
Brazil,BRA,14,33DG,512517897.0,17860948169.0,0.028694887424260126
Brazil,BRA,15,33DG,5863359717.0,17860948169.0,0.32827818890245836
Brazil,BRA,16,33DG,4094928915.0,17860948169.0,0.22926716298898858
Brazil,BRA,17,33DG,3144007425.0,17860948169.0,0.17602690491296727
Brazil,BRA,18,33DG,392030804.0,17860948169.0,0.021949047737589905
Brazil,BRA,19,33DG,315691969.0,17860948169.0,0.017674983769782417
Brazil,BRA,20,33DG,320994910.0,17860948169.0,0.017971885196841255
Brazil,BRA,21,33DG,14244568.0,17860948169.0,0.0007975258572623429
Brazil,BRA,1,Other,905913.0,3032200427.0,0.0002987642214984755
Brazil,BRA,5,Other,11287.0,3032200427.0,3.7223792660589845e-06
Brazil,BRA,7,Other,921337.0,3032200427.0,0.00030385095648560175
Brazil,BRA,8,Other,3554.0,3032200427.0,1.1720861089371517e-06
Brazil,BRA,10,Other,162140.0,3032200427.0,5.347271854335109e-05
Brazil,BRA,11,Other,547242.0,3032200427.0,0.00018047685605711446
Brazil,BRA,14,Other,38135280.0,3032200427.0,0.012576767571308043
Brazil,BRA,15,Other,18165384.0,3032200427.0,0.005990825618995271
Brazil,BRA,16,Other,16374304.0,3032200427.0,0.005400139072007327
Brazil,BRA,17,Other,3115262.0,3032200427.0,0.0010273931671074196
Brazil,BRA,21,Other,2953858724.0,3032200427.0,0.9741634153526224
British Virgin Islands,VGB,4,31ND,5540.0,133094.0,0.04162471636587675
British Virgin Islands,VGB,7,31ND,15388.0,133094.0,0.11561753347258329
British Virgin Islands,VGB,8,31ND,693.0,133094.0,0.0052068462890889145
British Virgin Islands,VGB,10,31ND,18318.0,133094.0,0.13763204952890437
British Virgin Islands,VGB,11,31ND,59237.0,133094.0,0.4450764121598269
British Virgin Islands,VGB,12,31ND,33918.0,133094.0,0.25484244218371976
British Virgin Islands,VGB,11,33DG,20428.0,2200849.0,0.009281872586442778
British Virgin Islands,VGB,14,33DG,1340932.0,2200849.0,0.6092794189878542
British Virgin Islands,VGB,15,33DG,2979.0,2200849.0,0.0013535685546804891
British Virgin Islands,VGB,16,33DG,772542.0,2200849.0,0.3510199927391657
British Virgin Islands,VGB,17,33DG,3381.0,2200849.0,0.0015362253384943719
British Virgin Islands,VGB,18,33DG,43067.0,2200849.0,0.01956835748386191
British Virgin Islands,VGB,20,33DG,17520.0,2200849.0,0.00796056430950056
British Virgin Islands,VGB,7,Other,500.0,57912864.0,8.63366039020277e-06
British Virgin Islands,VGB,14,Other,34328.0,57912864.0,0.0005927525877497614
British Virgin Islands,VGB,15,Other,4821.0,57912864.0,8.324575348233511e-05
British Virgin Islands,VGB,21,Other,57873215.0,57912864.0,0.9993153679983777
Brunei,BRN,4,31ND,52074.0,221170397.0,0.0002354474229207085
Brunei,BRN,5,31ND,42489714.0,221170397.0,0.19211302496328203
Brunei,BRN,6,31ND,174177948.0,221170397.0,0.7875283056077347
Brunei,BRN,7,31ND,1814.0,221170397.0,8.20182096973855e-06
Brunei,BRN,8,31ND,9545.0,221170397.0,4.315677020736188e-05
Brunei,BRN,10,31ND,82934.0,221170397.0,0.0003749778502228759
Brunei,BRN,11,31ND,4356368.0,221170397.0,0.019696885564662616
Brunei,BRN,9,33DG,296881.0,7621290.0,0.038954166551856705
Brunei,BRN,13,33DG,3030.0,7621290.0,0.00039757049003515154
Brunei,BRN,15,33DG,5386736.0,7621290.0,0.7068010796072581
Brunei,BRN,16,33DG,1775723.0,7621290.0,0.23299507038834633
Brunei,BRN,17,33DG,66740.0,7621290.0,0.008757047691401324
Brunei,BRN,18,33DG,77578.0,7621290.0,0.010179116658728378
Brunei,BRN,20,33DG,14602.0,7621290.0,0.0019159486123740206
Brunei,BRN,21,Other,10057619.0,10057619.0,1.0
Bulgaria,BGR,1,11,1096570.0,76054731.0,0.014418169462725469
Bulgaria,BGR,2,11,65990308.0,76054731.0,0.867668679283081
Bulgaria,BGR,4,11,8959067.0,76054731.0,0.11779762918364671
Bulgaria,BGR,7,11,8786.0,76054731.0,0.00011552207054680136
Bulgaria,BGR,5,21,629059.0,629059.0,1.0
Bulgaria,BGR,1,31ND,16636268.0,421490383.0,0.03947010102956489
Bulgaria,BGR,2,31ND,5431043.0,421490383.0,0.012885330766846939
Bulgaria,BGR,3,31ND,806950.0,421490383.0,0.0019145158052158928
Bulgaria,BGR,4,31ND,53205690.0,421490383.0,0.1262322751501545
Bulgaria,BGR,5,31ND,88493990.0,421490383.0,0.20995494457106034
Bulgaria,BGR,6,31ND,135128606.0,421490383.0,0.320597127360792
Bulgaria,BGR,7,31ND,24825711.0,421490383.0,0.05889982785206276
Bulgaria,BGR,8,31ND,3052415.0,421490383.0,0.00724195645526745
Bulgaria,BGR,10,31ND,5696192.0,421490383.0,0.013514405618122964
Bulgaria,BGR,11,31ND,83832834.0,421490383.0,0.19889619640503162
