Summary,purchPrice_from,purchPrice_to,growth_ratio
111CA,153164,243987,1.5929787678566765
113FF,8820,12766,1.4473922902494332
212,335,342,1.0208955223880598
22,265417,355771,1.3404228063763812
311FT,1083131,1493335,1.378720579505157
313TT,67218,104507,1.5547472403225326
315AL,413130,518325,1.254629293442742
321,6759,9528,1.409675987572126
322,59713,73676,1.2338351782693886
323,8499,11992,1.410989528179786
324,324184,472428,1.4572835180021222
325,554973,798356,1.438549262756927
326,72247,112808,1.5614212354838264
327,21298,29605,1.390036623157104
331,1416,3059,2.160310734463277
332,44258,84199,1.902458312621447
333,28857,53050,1.838375437502166
334,152824,227589,1.4892228969271841
335,83751,140599,1.6787739847882412
3361MV,350152,496830,1.4188980785487446
3364OT,37020,60110,1.623716909778498
337,110214,148156,1.3442575353403379
339,245077,375618,1.532653002933772
481,129784,235877,1.817458238303643
482,1458,1460,1.0013717421124828
483,22027,28177,1.2792027965678485
484,11700,14002,1.1967521367521368
485,47460,69538,1.4651917404129793
487OS,17855,25250,1.4141697003640437
493,251,229,0.9123505976095617
4A0,5974,14437,2.4166387679946433
511,149041,241856,1.622748102871022
512,29446,30771,1.0449976227670992
513,349014,390127,1.1177975668597822
514,46716,141441,3.0276778833804263
521CI,278750,400516,1.4368286995515696
523,225226,297968,1.3229733689716108
524,398566,496819,1.2465162607949498
525,170526,240778,1.411972367850064
532RL,97092,105494,1.086536480863511
5411,104093,131102,1.259469897111237
5412OP,72409,114273,1.5781601734591004
561,64488,95325,1.478181987346483
562,28334,40521,1.4301192913107927
61,360205,459418,1.2754348218375646
621,1050872,1456340,1.3858395694242496
622,1039196,1431192,1.377210843767682
623,241619,311448,1.2890045898708298
624,225279,337001,1.4959272724044408
711AS,86974,113576,1.3058615218341114
713,210211,280291,1.3333793188748448
721,163294,205827,1.2604688476000343
722,731850,1132608,1.547595818815331
81,613310,865905,1.4118553423228057
GFE,6914,6621,0.957622215794041
GSLE,72509,92239,1.2721041525879546
HS,2020853,2907957,1.4389750268822126
ORE,5861,7416,1.2653130865040096
Other,-90776,-33227,0.3660328721247907
Used,209783,305559,1.4565479566981119
