Country,iso3,usummary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Albania,ALB,326,992072.0,Europe,Europe,1.293892564908983e-05,0.00010092663729206407,76673444682.0,9829634937.0
Albania,ALB,327,109794.0,Europe,Europe,3.7002689753032397e-06,1.7227523487044917e-05,29671897025.0,6373173723.0
Albania,ALB,3311IS,64719108.0,Europe,Europe,0.0017113265853708742,0.007461938527734762,37818093024.0,8673229853.0
Albania,ALB,3313NF,115360.0,Europe,Europe,1.328199630710147e-06,4.883477535352602e-06,86854413548.0,23622510632.0
Albania,ALB,332,6367644.0,Europe,Europe,6.448040775136055e-05,0.0002894195120728024,98753159635.0,22001432987.0
Albania,ALB,33311,41504.0,Europe,Europe,2.6918782472948437e-06,7.433090947838247e-06,15418230762.0,5583679830.0
Albania,ALB,33312,50139.0,Europe,Europe,1.5344488686143036e-06,4.873547342191323e-06,32675575593.0,10287988703.0
Albania,ALB,33313,20410.0,Europe,Europe,6.4608378065310034e-06,1.635536654510799e-05,3159033025.0,1247908443.0
Albania,ALB,3332OM,136486.0,Europe,Europe,6.855782735796634e-07,2.037771971506751e-06,199081571368.0,66978053437.0
Albania,ALB,3341,3936.0,Europe,Europe,2.556038710489956e-08,1.0083860501834226e-06,153988278184.0,3903267007.0
Albania,ALB,3342,85947.0,Europe,Europe,7.087805164506594e-07,2.0832936187838027e-05,121260387391.0,4125534645.0
Albania,ALB,3344,89391.0,Europe,Europe,6.813818533010921e-07,8.702543452862028e-06,131190755326.0,10271824609.0
Albania,ALB,3345,30419.0,Europe,Europe,4.093164883216131e-07,9.492600498641508e-07,74316576214.0,32044959655.0
Albania,ALB,335,1352420.0,Europe,Europe,6.6249739049264765e-06,5.060249302388152e-05,204139672006.0,26726351197.0
Albania,ALB,3362BP,1055527.0,Europe,Europe,6.879152297444507e-06,6.182164046032326e-05,153438527650.0,17073746218.0
Albania,ALB,3365AO,483718.0,Europe,Europe,3.1387246169093725e-05,0.00013419460835144257,15411291497.0,3604600855.0
Albania,ALB,337,2686013.0,Europe,Europe,5.639300252324878e-05,0.0005407871699005841,47630253397.0,4966857850.0
