Country,iso3,detail_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,332720,3294.0,Asia,RoAsia,4.6350397733332834e-07,1.0468877002620014e-06,7106735133.0,3146469291.0
Afghanistan,AFG,332999,39388.0,Asia,RoAsia,2.5618750185670163e-06,1.2944809654175676e-05,15374676639.0,3042763938.0
Afghanistan,AFG,333111,4822.0,Asia,RoAsia,3.6373399145254674e-07,2.144127470414637e-06,13256940823.0,2248933455.0
Afghanistan,AFG,333120,3732.0,Asia,RoAsia,1.1421374933023356e-07,1.0357302301674483e-06,32675575593.0,3603254874.0
Afghanistan,AFG,333413,2850.0,Asia,RoAsia,6.247848795782355e-07,2.2417524464456824e-06,4561570059.0,1271326816.0
Afghanistan,AFG,333618,3728.0,Asia,RoAsia,2.5521071435834927e-07,2.4761753671179724e-06,14607537185.0,1505547648.0
Afghanistan,AFG,333914,7213.0,Asia,RoAsia,1.1077421315893476e-06,6.4976171941468575e-06,6511443227.0,1110099254.0
Afghanistan,AFG,333993,6113.0,Asia,RoAsia,1.2196010298501826e-06,2.3355244447075726e-05,5012294882.0,261739928.0
Afghanistan,AFG,33399A,3130.0,Asia,RoAsia,1.21405647347712e-07,5.754401445835832e-07,25781337758.0,5439314635.0
Afghanistan,AFG,334118,6919.0,Asia,RoAsia,2.1746000361383387e-07,4.2920830238046856e-07,31817345190.0,16120377825.0
Afghanistan,AFG,334220,19714.0,Asia,RoAsia,1.666965525143018e-07,3.9439448250345365e-07,118262793697.0,49985486295.0
Afghanistan,AFG,33441A,20000.0,Asia,RoAsia,7.505706489287015e-07,2.284466399729121e-06,26646392353.0,8754779673.0
Afghanistan,AFG,334511,13500.0,Asia,RoAsia,1.904161346915316e-06,7.454870924169774e-06,7089735343.0,1810896545.0
Afghanistan,AFG,334513,5459.0,Asia,RoAsia,6.151460036069548e-07,2.8653153757473493e-06,8874315964.0,1905200400.0
Afghanistan,AFG,334516,8634.0,Asia,RoAsia,1.0401655839328022e-06,5.194556594183301e-06,8300601494.0,1662124542.0
Afghanistan,AFG,335120,351.0,Asia,RoAsia,2.919520956916562e-08,1.2523738626145294e-07,12022520310.0,2802677463.0
Afghanistan,AFG,335312,6081.0,Asia,RoAsia,3.2334469352122147e-07,1.9352537575711693e-06,18806555734.0,3142223585.0
Afghanistan,AFG,335313,8137.0,Asia,RoAsia,3.828888695097755e-07,2.5555075828649715e-06,21251597129.0,3184103250.0
Afghanistan,AFG,335920,30156.0,Asia,RoAsia,1.9457773819963747e-06,7.782179050438565e-06,15498175834.0,3875007219.0
Afghanistan,AFG,335930,4109.0,Asia,RoAsia,4.70489867759556e-07,2.4312598005833967e-06,8733450562.0,1690070308.0
Afghanistan,AFG,336320,4480.0,Asia,RoAsia,1.6682356244595801e-07,9.594465805213791e-07,26854719647.0,4669358452.0
Afghanistan,AFG,336390,9024.0,Asia,RoAsia,1.8125268033577375e-07,1.2343938005458187e-06,49786849956.0,7310470934.0
Afghanistan,AFG,337121,81012.0,Asia,RoAsia,1.2627274512487861e-05,2.2376121996848883e-05,6415636242.0,3620466496.0
Afghanistan,AFG,337127,12076.0,Asia,RoAsia,7.676047643332738e-07,2.2964575223741487e-06,15732054517.0,5258534017.0
Afghanistan,AFG,337900,1795.0,Asia,RoAsia,6.314887180828979e-07,1.3160987954907651e-06,2842489420.0,1363879373.0
Afghanistan,AFG,339910,1059772.0,Asia,RoAsia,2.89875077172023e-05,4.5846601325330846e-05,36559610793.0,23115606596.0
Afghanistan,AFG,339920,7622.0,Asia,RoAsia,7.937162269820835e-07,2.679161966882174e-06,9602928277.0,2844919454.0
Afghanistan,AFG,339990,45099.0,Asia,RoAsia,2.2233948385050784e-06,1.2270760550595292e-05,20283846674.0,3675322309.0
Afghanistan,AFG,S00300,1971873.0,Asia,RoAsia,1.3442307317887058e-05,7.778585979154104e-05,146691557734.0,25350018696.0
Bahrain,BHR,112A00,68890.0,Asia,RoAsia,6.431250520725677e-06,2.0644820818937123e-05,10711758122.0,3336914406.0
Bahrain,BHR,114000,3044737.0,Asia,RoAsia,0.00024117006324925005,0.0009017605016830141,12624854673.0,3376436420.0
Bahrain,BHR,311513,3711928.0,Asia,RoAsia,0.00191733114063945,0.05520955787605127,1935986915.0,67233431.0
Bahrain,BHR,31151A,1850856.0,Asia,RoAsia,0.0018166261152426004,0.010072852855120301,1018842559.0,183746951.0
Bahrain,BHR,311700,250144.0,Asia,RoAsia,5.963865233232896e-05,0.00010691737704218151,4194326837.0,2339600979.0
Bahrain,BHR,312130,11630.0,Asia,RoAsia,1.3439203206924469e-06,1.387698611186815e-05,8653786851.0,838078233.0
Bahrain,BHR,312140,10179.0,Asia,RoAsia,9.565856744556203e-07,0.00011788832101980034,10640970560.0,86344431.0
Bahrain,BHR,313200,1329707.0,Asia,RoAsia,0.00019746940316512214,0.000527347739170676,6733736866.0,2521499385.0
Bahrain,BHR,314110,19600.0,Asia,RoAsia,6.02261162370914e-06,8.067316009487286e-06,3254402114.0,2429556494.0
Bahrain,BHR,314120,52296988.0,Asia,RoAsia,0.003906612751904327,0.01058506527107212,13386785771.0,4940639161.0
Bahrain,BHR,314900,107700.0,Asia,RoAsia,1.3140476732476845e-05,4.521296818050591e-05,8196049671.0,2382059934.0
Bahrain,BHR,315000,1097102.0,Asia,RoAsia,1.350575831056805e-05,2.4289110998610498e-05,81232165923.0,45168470763.0
Bahrain,BHR,316000,54525.0,Asia,RoAsia,1.3622799144911392e-06,2.9426282365502296e-06,40024813858.0,18529353903.0
Bahrain,BHR,321200,3023.0,Asia,RoAsia,3.5885499036374814e-07,1.7995662804766275e-06,8424015497.0,1679849213.0
Bahrain,BHR,321910,2838.0,Asia,RoAsia,1.025684765283106e-06,5.294269005475727e-06,2766932001.0,536051341.0
Bahrain,BHR,322210,284216.0,Asia,RoAsia,0.00010765162706730626,0.0005305296087194058,2640145883.0,535721278.0
Bahrain,BHR,322220,957.0,Asia,RoAsia,1.9474688015396246e-07,8.794428787992332e-07,4914071020.0,1088188924.0
Bahrain,BHR,322299,462242.0,Asia,RoAsia,0.00022400291166858576,0.001517610376522811,2063553534.0,304585424.0
Bahrain,BHR,323110,15604.0,Asia,RoAsia,2.314658045447363e-06,1.4531615311104045e-05,6741384556.0,1073796661.0
Bahrain,BHR,324110,196398733.0,Asia,RoAsia,0.0033288638200684425,0.010106023397893456,58998728580.0,19433829239.0
Bahrain,BHR,325310,51965.0,Asia,RoAsia,5.547588020048952e-06,2.5797284282824617e-05,9367133935.0,2014359319.0
Bahrain,BHR,325610,11010.0,Asia,RoAsia,1.832687567364543e-06,1.134945383366583e-05,6007570628.0,970090734.0
Bahrain,BHR,325620,202178.0,Asia,RoAsia,1.2563483917511131e-05,6.068805646690674e-05,16092510750.0,3331429803.0
Bahrain,BHR,3259A0,58867.0,Asia,RoAsia,6.004680497430548e-06,2.2778733462555636e-05,9803519109.0,2584296449.0
Bahrain,BHR,326110,36306487.0,Asia,RoAsia,0.0028018112991551047,0.008846287572350568,12958219924.0,4104149532.0
Bahrain,BHR,326190,510890.0,Asia,RoAsia,1.6066161451753488e-05,8.018435497713549e-05,31799132701.0,6371442411.0
Bahrain,BHR,326290,270.0,Asia,RoAsia,6.549010534338856e-08,2.92759094018296e-07,4122760203.0,922259993.0
Bahrain,BHR,327200,20422794.0,Asia,RoAsia,0.0020871068016628143,0.012426712657467412,9785217500.0,1643459100.0
Bahrain,BHR,327390,3000.0,Asia,RoAsia,3.121203527340773e-06,1.0066318517000965e-05,961167695.0,298023552.0
Bahrain,BHR,327910,3431598.0,Asia,RoAsia,0.0019677189700431793,0.012106035214147196,1743947206.0,283461756.0
Bahrain,BHR,327993,1971076.0,Asia,RoAsia,0.0019443737519372506,0.02546270316412592,1013733084.0,77410320.0
Bahrain,BHR,331200,58099.0,Asia,RoAsia,2.3954547343355228e-05,7.27098169739011e-05,2425385008.0,799053036.0
Bahrain,BHR,331313,94707946.0,Asia,RoAsia,0.010281915551901574,0.08851940506001782,9211118835.0,1069911687.0
Bahrain,BHR,331314,257458563.0,Asia,RoAsia,0.1274850237796177,0.22882024164718445,2019520061.0,1125156416.0
Bahrain,BHR,33131B,341862717.0,Asia,RoAsia,0.04731962994612709,0.1274604808994868,7224543332.0,2682107541.0
Bahrain,BHR,331410,295746.0,Asia,RoAsia,7.926310367653415e-06,0.00011790256054576703,37311937873.0,2508393360.0
Bahrain,BHR,331420,78102371.0,Asia,RoAsia,0.012671821001560411,0.06775413176963464,6163468612.0,1152732224.0
Bahrain,BHR,331490,4838.0,Asia,RoAsia,2.1049624852933236e-07,1.1719377250228075e-06,22983782532.0,4128205703.0
Bahrain,BHR,332310,31795.0,Asia,RoAsia,3.6314773981484453e-06,1.3179303777949376e-05,8755389753.0,2412494661.0
Bahrain,BHR,332320,7715.0,Asia,RoAsia,2.341970203437001e-06,1.6058713370347997e-05,3294234909.0,480424541.0
Bahrain,BHR,332410,32517.0,Asia,RoAsia,1.0030305536213245e-05,5.170004435277754e-05,3241875323.0,628954973.0
Bahrain,BHR,332600,1744576.0,Asia,RoAsia,0.0004539563645737674,0.00296050022872071,3843047782.0,589284197.0
Bahrain,BHR,332720,3504.0,Asia,RoAsia,4.930534112252527e-07,1.113629174777794e-06,7106735133.0,3146469291.0
Bahrain,BHR,33291A,28548.0,Asia,RoAsia,1.4046682322946515e-06,6.229207781104534e-06,20323660309.0,4582926273.0
Bahrain,BHR,332999,12778.0,Asia,RoAsia,8.311069104105142e-07,4.199471355769696e-06,15374676639.0,3042763938.0
Bahrain,BHR,333120,25000.0,Asia,RoAsia,7.650974633590137e-07,6.938171423951288e-06,32675575593.0,3603254874.0
Bahrain,BHR,33329A,64799.0,Asia,RoAsia,4.285668976442685e-06,2.6322793396787514e-05,15119926517.0,2461706819.0
