Country,iso3,summary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Andorra,AND,313TT,511.0,Europe,Europe,1.509514165438822e-08,1.7176727113272486e-07,33851951290.0,2974955570.0
Andorra,AND,323,123903.0,Europe,Europe,1.8276671019213175e-05,9.99862016733752e-05,6779298039.0,1239200989.0
Andorra,AND,325,584.0,Europe,Europe,1.4941149113351432e-09,2.4867234242706245e-09,390866857408.0,234847186583.0
Andorra,AND,326,19679.0,Europe,Europe,2.566599176757723e-07,2.0020072084188734e-06,76673444682.0,9829634937.0
Andorra,AND,331,11165.0,Europe,Europe,8.95546284180311e-08,3.4571122483429874e-07,124672506572.0,32295740485.0
Andorra,AND,332,197531.0,Europe,Europe,2.0002499234464116e-06,8.978097022894611e-06,98753159635.0,22001432987.0
Andorra,AND,333,28226.0,Europe,Europe,1.1275317650362418e-07,3.3563371359434594e-07,250334410748.0,84097630413.0
Andorra,AND,334,1548232.0,Europe,Europe,2.871220369084796e-06,2.940587714683909e-05,539224371863.0,52650427405.0
Andorra,AND,335,27334.0,Europe,Europe,1.3389852022098188e-07,1.0227359432090456e-06,204139672006.0,26726351197.0
Andorra,AND,3364OT,24995.0,Europe,Europe,3.2123384957470276e-07,6.850191040424379e-07,77809359235.0,36488033476.0
Andorra,AND,337,30176.0,Europe,Europe,6.335469128934058e-07,6.075470833134473e-06,47630253397.0,4966857850.0
Andorra,AND,339,917227.0,Europe,Europe,6.0036735781840944e-06,2.887998354049597e-05,152777626574.0,31759955774.0
Andorra,AND,Other,436774.0,Europe,Europe,2.977499228633285e-06,7.61493240820644e-06,146691557734.0,57357567551.0
Anguilla,AIA,311FT,235930.0,North America,RoWorld,1.592852799681274e-06,1.4807599236756321e-05,148117892656.0,15933035209.0
Anguilla,AIA,313TT,2056.0,North America,RoWorld,6.073505135307667e-08,4.531663398913431e-06,33851951290.0,453696539.0
Anguilla,AIA,315AL,165172.0,North America,RoWorld,1.3621648856693784e-06,1.610960248043544e-05,121256979781.0,10253015256.0
Anguilla,AIA,325,53405.0,North America,RoWorld,1.3663220349289953e-07,1.0139238832066993e-05,390866857408.0,5267160670.0
Anguilla,AIA,326,68858.0,North America,RoWorld,8.980684288489419e-07,3.447114367913252e-05,76673444682.0,1997554843.0
Anguilla,AIA,327,55328.0,North America,RoWorld,1.864660016627299e-06,4.047012303334333e-05,29671897025.0,1367131994.0
Anguilla,AIA,333,3666.0,North America,RoWorld,1.4644411006245529e-08,1.0595700532824483e-06,250334410748.0,3459893934.0
Anguilla,AIA,335,24329.0,North America,RoWorld,1.1917820657263e-07,7.86054120579979e-06,204139672006.0,3095079507.0
Anguilla,AIA,3364OT,108000.0,North America,RoWorld,1.3880078317290618e-06,4.780201884594327e-05,77809359235.0,2259318803.0
Anguilla,AIA,337,13340.0,North America,RoWorld,2.8007409259007265e-07,3.1394443268264153e-05,47630253397.0,424915960.0
Anguilla,AIA,Other,460514.0,North America,RoWorld,3.139335399485383e-06,5.1581781846157755e-05,146691557734.0,8927842031.0
Antigua and Barbuda,ATG,212,54800.0,North America,RoWorld,1.0301861095800377e-05,2.940189196968423e-05,5319427188.0,1863825636.0
Antigua and Barbuda,ATG,311FT,234213.0,North America,RoWorld,1.5812606822860603e-06,1.4699835714145757e-05,148117892656.0,15933035209.0
Antigua and Barbuda,ATG,313TT,65143.0,North America,RoWorld,1.9243499271855416e-06,0.0001435827571962148,33851951290.0,453696539.0
Antigua and Barbuda,ATG,315AL,7300.0,North America,RoWorld,6.020271998514556e-08,7.119856761871183e-07,121256979781.0,10253015256.0
Antigua and Barbuda,ATG,323,205042.0,North America,RoWorld,3.0245314311368632e-05,0.0034131036433310852,6779298039.0,60074941.0
Antigua and Barbuda,ATG,324,1393295.0,North America,RoWorld,2.3291690233602737e-05,0.00027022301240604607,59819402801.0,5156093064.0
Antigua and Barbuda,ATG,325,3581.0,North America,RoWorld,9.16168749570402e-09,6.798729380700665e-07,390866857408.0,5267160670.0
Antigua and Barbuda,ATG,326,289.0,North America,RoWorld,3.769231983754164e-09,1.4467687884151874e-07,76673444682.0,1997554843.0
Antigua and Barbuda,ATG,327,13457.0,North America,RoWorld,4.535267828902827e-07,9.843233907961633e-06,29671897025.0,1367131994.0
Antigua and Barbuda,ATG,331,1395289.0,North America,RoWorld,1.1191633491335977e-05,6.65704092023843e-05,124672506572.0,20959597766.0
Antigua and Barbuda,ATG,332,5243.0,North America,RoWorld,5.309197213920618e-08,2.8123826376378306e-06,98753159635.0,1864255571.0
Antigua and Barbuda,ATG,333,65507.0,North America,RoWorld,2.6167796829954334e-07,1.893323935634843e-05,250334410748.0,3459893934.0
Antigua and Barbuda,ATG,334,247705.0,North America,RoWorld,4.593727823247093e-07,5.8443013064977624e-05,539224371863.0,4238402283.0
Antigua and Barbuda,ATG,335,14871.0,North America,RoWorld,7.284718278357437e-08,4.8047230988305595e-06,204139672006.0,3095079507.0
Antigua and Barbuda,ATG,3361MV,9049.0,North America,RoWorld,2.171343788533292e-08,3.1773380907406943e-06,416746534924.0,2847981468.0
Antigua and Barbuda,ATG,339,81141.0,North America,RoWorld,5.311052529062441e-07,1.0813446859362196e-05,152777626574.0,7503712836.0
Antigua and Barbuda,ATG,Other,19955625.0,North America,RoWorld,0.00013603799228982289,0.002235212600167925,146691557734.0,8927842031.0
Argentina,ARG,111CA,527412567.0,South America,RoWorld,0.008231214381622212,0.0234656255699989,64074696946.0,22475964488.0
Argentina,ARG,113FF,358173999.0,South America,RoWorld,0.022444332627042252,0.12469621542685541,15958326984.0,2872372652.0
Argentina,ARG,211,1411244779.0,South America,RoWorld,0.008449168177418066,0.047111888102239194,167027658743.0,29955173436.0
Argentina,ARG,212,4811175.0,South America,RoWorld,0.000904453586817288,0.002581343934256305,5319427188.0,1863825636.0
Argentina,ARG,311FT,1395152608.0,South America,RoWorld,0.009419203736851739,0.08756351754070865,148117892656.0,15933035209.0
Argentina,ARG,313TT,1457412.0,South America,RoWorld,4.305252561410028e-05,0.0032123057478293878,33851951290.0,453696539.0
Argentina,ARG,315AL,13578186.0,South America,RoWorld,0.00011197859310468817,0.0013243114987129402,121256979781.0,10253015256.0
Argentina,ARG,321,101694220.0,South America,RoWorld,0.004396892516257884,0.033876283983262256,23128657256.0,3001929611.0
Argentina,ARG,322,17636146.0,South America,RoWorld,0.0006640511504619049,0.00675436096180472,26558414947.0,2611075437.0
Argentina,ARG,323,623271.0,South America,RoWorld,9.19373947589325e-05,0.010374891587492363,6779298039.0,60074941.0
Argentina,ARG,324,333445206.0,South America,RoWorld,0.005574198176288477,0.06467012946840014,59819402801.0,5156093064.0
Argentina,ARG,325,983219421.0,South America,RoWorld,0.0025154842432027497,0.18666972256990216,390866857408.0,5267160670.0
Argentina,ARG,326,23422810.0,South America,RoWorld,0.00030548790519514487,0.011725740638401086,76673444682.0,1997554843.0
Argentina,ARG,327,2506347.0,South America,RoWorld,8.446871455129013e-05,0.0018332882347862015,29671897025.0,1367131994.0
Argentina,ARG,331,1423421334.0,South America,RoWorld,0.011417283354112686,0.06791262646791005,124672506572.0,20959597766.0
Argentina,ARG,332,43222037.0,South America,RoWorld,0.0004376775098614798,0.023184609273724947,98753159635.0,1864255571.0
Argentina,ARG,333,89087006.0,South America,RoWorld,0.00035587199432074776,0.025748478912764265,250334410748.0,3459893934.0
Argentina,ARG,334,10768738.0,South America,RoWorld,1.9970792423188167e-05,0.002540754105194974,539224371863.0,4238402283.0
Argentina,ARG,335,11443862.0,South America,RoWorld,5.605898102777223e-05,0.0036974371657070328,204139672006.0,3095079507.0
Argentina,ARG,3361MV,30950537.0,South America,RoWorld,7.426705300775757e-05,0.010867534549561192,416746534924.0,2847981468.0
Argentina,ARG,3364OT,9822302.0,South America,RoWorld,0.00012623548242229654,0.004347461715875429,77809359235.0,2259318803.0
Argentina,ARG,337,4237058.0,South America,RoWorld,8.895728445288666e-05,0.009971520015393162,47630253397.0,424915960.0
Argentina,ARG,339,4820258.0,South America,RoWorld,3.155081086212084e-05,0.00064238305827406,152777626574.0,7503712836.0
Argentina,ARG,Other,290009890.0,South America,RoWorld,0.0019770046380302485,0.03248376136058449,146691557734.0,8927842031.0
Armenia,ARM,111CA,526718.0,Asia,RoAsia,8.220374423992988e-06,7.837536366676223e-05,64074696946.0,6720453665.0
Armenia,ARM,113FF,100804.0,Asia,RoAsia,6.3167022521262555e-06,1.936417228925328e-05,15958326984.0,5205696298.0
Armenia,ARM,212,89580.0,Asia,RoAsia,1.6840159068645945e-05,0.00010120343709422278,5319427188.0,885147803.0
Armenia,ARM,311FT,18935293.0,Asia,RoAsia,0.00012783933568361476,0.0005972932650525069,148117892656.0,31701835778.0
Armenia,ARM,313TT,230105.0,Asia,RoAsia,6.7973925056418805e-06,1.736560735244515e-05,33851951290.0,13250616309.0
Armenia,ARM,315AL,8267713.0,Asia,RoAsia,6.818339872007503e-05,0.00012979584535817058,121256979781.0,63697824666.0
Armenia,ARM,321,387341.0,Asia,RoAsia,1.674723247928786e-05,0.0001101159416239221,23128657256.0,3517574243.0
Armenia,ARM,322,95825.0,Asia,RoAsia,3.6080842998811664e-06,2.5900748800364822e-05,26558414947.0,3699699987.0
Armenia,ARM,323,18231.0,Asia,RoAsia,2.68921647862663e-06,1.6949072416201836e-05,6779298039.0,1075634085.0
Armenia,ARM,325,1002607.0,Asia,RoAsia,2.565085734433209e-06,1.4096467743683207e-05,390866857408.0,71124697210.0
Armenia,ARM,326,269035.0,Asia,RoAsia,3.5088419610702472e-06,1.213851018611665e-05,76673444682.0,22163757815.0
Armenia,ARM,327,80424.0,Asia,RoAsia,2.7104434857076685e-06,1.238050819526173e-05,29671897025.0,6496017670.0
Armenia,ARM,331,2160611.0,Asia,RoAsia,1.733029245507484e-05,9.719897530385584e-05,124672506572.0,22228742569.0
Armenia,ARM,332,205431.0,Asia,RoAsia,2.080247363824006e-06,8.942626258444117e-06,98753159635.0,22972110660.0
Armenia,ARM,333,370985.0,Asia,RoAsia,1.4819576697086735e-06,7.88709553944697e-06,250334410748.0,47036960329.0
Armenia,ARM,334,617819.0,Asia,RoAsia,1.1457549625686585e-06,2.5409468038987974e-06,539224371863.0,243145192592.0
Armenia,ARM,335,232307.0,Asia,RoAsia,1.1379806664584635e-06,4.294197307875093e-06,204139672006.0,54097886833.0
Armenia,ARM,3361MV,14029.0,Asia,RoAsia,3.366314731940939e-08,2.366187828791341e-07,416746534924.0,59289460580.0
Armenia,ARM,337,124863.0,Asia,RoAsia,2.621506103678729e-06,6.228347632097464e-06,47630253397.0,20047532247.0
Armenia,ARM,339,84831484.0,Asia,RoAsia,0.0005552611720860232,0.0019267220785760257,152777626574.0,44028915713.0
Armenia,ARM,Other,3021911.0,Asia,RoAsia,2.060044249771836e-05,0.00011920744659950999,146691557734.0,25350018696.0
Aruba,ABW,313TT,300.0,North America,RoWorld,8.862118388094844e-09,6.612349317480687e-07,33851951290.0,453696539.0
Aruba,ABW,315AL,6886.0,North America,RoWorld,5.6788483536672926e-08,6.716073104417119e-07,121256979781.0,10253015256.0
Aruba,ABW,321,4000.0,North America,RoWorld,1.7294562134437469e-07,1.332476279704481e-06,23128657256.0,3001929611.0
Aruba,ABW,323,18088.0,North America,RoWorld,2.6681228492895884e-06,0.00030109059948972734,6779298039.0,60074941.0
Aruba,ABW,325,1121496.0,North America,RoWorld,2.8692532476073935e-06,0.0002129223067729202,390866857408.0,5267160670.0
Aruba,ABW,326,4952.0,North America,RoWorld,6.458559440674955e-08,2.479030809768861e-06,76673444682.0,1997554843.0
Aruba,ABW,327,47460.0,North America,RoWorld,1.5994932834935585e-06,3.471500938335878e-05,29671897025.0,1367131994.0
Aruba,ABW,332,21183.0,North America,RoWorld,2.145045290529858e-07,1.1362712457196675e-05,98753159635.0,1864255571.0
Aruba,ABW,333,22363.0,North America,RoWorld,8.933250500072797e-08,6.463492935503381e-06,250334410748.0,3459893934.0
Aruba,ABW,334,323347.0,North America,RoWorld,5.996520500044318e-07,7.628983244392048e-05,539224371863.0,4238402283.0
Aruba,ABW,335,6016.0,North America,RoWorld,2.947001893793177e-08,1.9437303585881677e-06,204139672006.0,3095079507.0
Aruba,ABW,3361MV,62618.0,North America,RoWorld,1.5025439866325303e-07,2.1986800371974892e-05,416746534924.0,2847981468.0
Aruba,ABW,3364OT,4300.0,North America,RoWorld,5.526327478180524e-08,1.9032285281255193e-06,77809359235.0,2259318803.0
Aruba,ABW,337,2775.0,North America,RoWorld,5.826128987537118e-08,6.530703153630662e-06,47630253397.0,424915960.0
Aruba,ABW,339,137099.0,North America,RoWorld,8.973761608581749e-07,1.8270821791347133e-05,152777626574.0,7503712836.0
Aruba,ABW,Other,8921785.0,North America,RoWorld,6.082003039451069e-05,0.0009993215571042846,146691557734.0,8927842031.0
Australia,AUS,111CA,136098535.0,Oceania,RoAsia,0.002124060533828186,0.020251391019745987,64074696946.0,6720453665.0
Australia,AUS,113FF,112244798.0,Oceania,RoAsia,0.007033619383318685,0.021561918247732553,15958326984.0,5205696298.0
Australia,AUS,212,613702879.0,Oceania,RoAsia,0.11537010608669318,0.693333787780977,5319427188.0,885147803.0
Australia,AUS,311FT,5285175662.0,Oceania,RoAsia,0.035682222905200824,0.16671512965402882,148117892656.0,31701835778.0
Australia,AUS,313TT,30223248.0,Oceania,RoAsia,0.0008928066728291691,0.0022808937558226597,33851951290.0,13250616309.0
Australia,AUS,315AL,27296633.0,Oceania,RoAsia,0.00022511391137483341,0.00042853320569627125,121256979781.0,63697824666.0
Australia,AUS,321,9244694.0,Oceania,RoAsia,0.00039970733699215316,0.002628144670548749,23128657256.0,3517574243.0
Australia,AUS,322,72425989.0,Oceania,RoAsia,0.002727044861093306,0.019576178948155346,26558414947.0,3699699987.0
Australia,AUS,323,11762459.0,Oceania,RoAsia,0.0017350555960709843,0.010935372134474522,6779298039.0,1075634085.0
Australia,AUS,324,13414822.0,Oceania,RoAsia,0.00022425536484586478,0.0006874740912002703,59819402801.0,19513203729.0
Australia,AUS,325,1721731506.0,Oceania,RoAsia,0.004404905336352932,0.024207224403591947,390866857408.0,71124697210.0
Australia,AUS,326,92499827.0,Oceania,RoAsia,0.0012064128249831382,0.004173472196009917,76673444682.0,22163757815.0
Australia,AUS,327,45317873.0,Oceania,RoAsia,0.0015272994834748016,0.0069762545765981576,29671897025.0,6496017670.0
Australia,AUS,331,3414815800.0,Oceania,RoAsia,0.02739028751321286,0.15362163601472764,124672506572.0,22228742569.0
Australia,AUS,332,203732541.0,Oceania,RoAsia,0.0020630483293194125,0.008868690562019084,98753159635.0,22972110660.0
Australia,AUS,333,565836684.0,Oceania,RoAsia,0.0022603232304711056,0.012029618411611966,250334410748.0,47036960329.0
Australia,AUS,334,730412529.0,Oceania,RoAsia,0.0013545614165703455,0.003004017974666023,539224371863.0,243145192592.0
Australia,AUS,335,202699067.0,Oceania,RoAsia,0.0009929430424187335,0.0037468943588449466,204139672006.0,54097886833.0
