Region,All_Data_r,All_Data_r2,No_Auto_r,No_Auto_r2,No_Highlighted_r,No_Highlighted_r2,Total_Points,Points_No_Auto,Points_No_Highlighted
CAN,0.9644303128007136,0.9201677977371854,0.9946017462936592,0.9815356614052004,0.9953770945269284,0.9834014008151452,42,38,29
CHN,0.9904051452198583,0.9766083347974668,0.9914321442572007,0.979167038180344,0.9927051258458007,0.9769574036657657,42,38,28
Europe,0.8379794008886848,0.6589393687681119,0.8587982985775595,0.7087970414062993,0.949843510857602,0.8324009282684277,43,39,29
JPN,0.5808341902248368,0.05389575113949663,0.8191547942907216,0.6657097665921992,0.9951958393377511,0.9892300504484484,41,37,27
MEX,0.8917847311295196,0.7382254915973636,0.8638222388003288,0.5790287190307315,0.9669871545392151,0.8725472438539281,43,39,29
