Country,summary_code,iso3,impVal
Austria,327,AUT,219748420.0
Austria,331,AUT,935028030.0
Austria,332,AUT,975311583.0
Austria,333,AUT,3995587346.0
Austria,334,AUT,997049919.0
Austria,335,AUT,769772222.0
Austria,3361MV,AUT,2877874581.0
Austria,3364OT,AUT,671209306.0
Austria,337,AUT,50193951.0
Austria,339,AUT,606766355.0
Austria,Other,AUT,484917821.0
Azerbaijan,111CA,AZE,101105.0
Azerbaijan,212,AZE,5015.0
Azerbaijan,311FT,AZE,3578953.0
Azerbaijan,313TT,AZE,63046.0
Azerbaijan,315AL,AZE,28915.0
Azerbaijan,321,AZE,926509.0
Azerbaijan,323,AZE,471530.0
Azerbaijan,325,AZE,2030893.0
Azerbaijan,326,AZE,109987.0
Azerbaijan,327,AZE,210860.0
Azerbaijan,331,AZE,81937661.0
Azerbaijan,332,AZE,11600235.0
Azerbaijan,333,AZE,1420680.0
Azerbaijan,334,AZE,196450.0
Azerbaijan,335,AZE,3048168.0
Azerbaijan,3361MV,AZE,6701.0
Azerbaijan,3364OT,AZE,588056.0
Azerbaijan,337,AZE,533932.0
Azerbaijan,339,AZE,2279141.0
Azerbaijan,Other,AZE,48638635.0
Bahamas,111CA,BHS,21000.0
Bahamas,113FF,BHS,102912056.0
Bahamas,212,BHS,47304700.0
Bahamas,311FT,BHS,164478.0
Bahamas,313TT,BHS,7130.0
Bahamas,315AL,BHS,40446.0
Bahamas,323,BHS,49940.0
Bahamas,324,BHS,598685277.0
Bahamas,325,BHS,54456234.0
Bahamas,326,BHS,10085.0
Bahamas,327,BHS,10785.0
Bahamas,331,BHS,4000.0
Bahamas,332,BHS,251279.0
Bahamas,333,BHS,1235278.0
Bahamas,334,BHS,615490.0
Bahamas,335,BHS,287066.0
Bahamas,3361MV,BHS,391355.0
Bahamas,3364OT,BHS,484455.0
Bahamas,337,BHS,35620.0
Bahamas,339,BHS,238856.0
Bahamas,Other,BHS,985167489.0
Bahrain,111CA,BHR,68890.0
Bahrain,113FF,BHR,3044737.0
Bahrain,311FT,BHR,5834737.0
Bahrain,313TT,BHR,53753995.0
Bahrain,315AL,BHR,1151627.0
Bahrain,321,BHR,5861.0
Bahrain,322,BHR,747415.0
Bahrain,323,BHR,15604.0
Bahrain,324,BHR,196398733.0
Bahrain,325,BHR,324020.0
Bahrain,326,BHR,36817647.0
Bahrain,327,BHR,25828468.0
Bahrain,331,BHR,772490280.0
Bahrain,332,BHR,1861433.0
Bahrain,333,BHR,2115480.0
Bahrain,334,BHR,1520723.0
Bahrain,335,BHR,111802.0
Bahrain,3361MV,BHR,120229.0
Bahrain,3364OT,BHR,116500.0
Bahrain,337,BHR,640819.0
Bahrain,339,BHR,53794397.0
Bahrain,Other,BHR,47577525.0
Bangladesh,111CA,BGD,23641831.0
Bangladesh,113FF,BGD,8834832.0
Bangladesh,311FT,BGD,20798098.0
Bangladesh,313TT,BGD,199349563.0
Bangladesh,315AL,BGD,7722658651.0
Bangladesh,321,BGD,3280258.0
