Country,iso3,HS4,usummary_code,impVal,bea_total,weight
Afghanistan,AFG,6206,315AL,2981.0,102387.0,0.02911502436832801
Afghanistan,AFG,6207,315AL,710.0,102387.0,0.006934474103157628
Afghanistan,AFG,6209,315AL,1172.0,102387.0,0.011446765702677098
Afghanistan,AFG,6211,315AL,6315.0,102387.0,0.061677752058366786
Afghanistan,AFG,6214,315AL,16140.0,102387.0,0.1576372000351607
Afghanistan,AFG,6403,315AL,7144.0,102387.0,0.06977448308867337
Afghanistan,AFG,6404,315AL,364.0,102387.0,0.003555138835985037
Afghanistan,AFG,3918,322,979.0,18531.0,0.0528303923155793
Afghanistan,AFG,4823,322,17552.0,18531.0,0.9471696076844207
Afghanistan,AFG,4821,323,16000.0,16000.0,1.0
Afghanistan,AFG,2833,3251,2402.0,2402.0,1.0
Afghanistan,AFG,2404,3254,6000.0,6000.0,1.0
Afghanistan,AFG,3301,325X,21615.0,21615.0,1.0
Afghanistan,AFG,3920,326,2560.0,10725.0,0.2386946386946387
Afghanistan,AFG,3923,326,4536.0,10725.0,0.42293706293706296
Afghanistan,AFG,3924,326,1129.0,10725.0,0.10526806526806527
Afghanistan,AFG,3926,326,2500.0,10725.0,0.2331002331002331
Afghanistan,AFG,6815,327,4000.0,6750.0,0.5925925925925926
Afghanistan,AFG,7010,327,2750.0,6750.0,0.4074074074074074
Afghanistan,AFG,7323,3313NF,23075.0,23075.0,1.0
Afghanistan,AFG,7318,332,3294.0,83154.0,0.03961324770906992
Afghanistan,AFG,7323,332,10960.0,83154.0,0.13180364143637108
Afghanistan,AFG,7326,332,39388.0,83154.0,0.4736753493518051
Afghanistan,AFG,8202,332,5788.0,83154.0,0.0696057916636602
Afghanistan,AFG,8215,332,2457.0,83154.0,0.029547586405945594
Afghanistan,AFG,8302,332,16673.0,83154.0,0.2005074921230488
Afghanistan,AFG,8515,332,4594.0,83154.0,0.055246891310099334
Afghanistan,AFG,8433,33311,4822.0,4822.0,1.0
Afghanistan,AFG,8431,33312,3732.0,3732.0,1.0
Afghanistan,AFG,8409,3332OM,3728.0,23034.0,0.16184770339498133
Afghanistan,AFG,8413,3332OM,7213.0,23034.0,0.31314578449248937
Afghanistan,AFG,8421,3332OM,5980.0,23034.0,0.2596162195016063
Afghanistan,AFG,8422,3332OM,6113.0,23034.0,0.265390292610923
Afghanistan,AFG,8471,3341,6919.0,6919.0,1.0
Afghanistan,AFG,8517,3342,19714.0,19714.0,1.0
Afghanistan,AFG,8504,3344,20000.0,20000.0,1.0
Afghanistan,AFG,8526,3345,13500.0,27593.0,0.4892545210741855
Afghanistan,AFG,9027,3345,8634.0,27593.0,0.31290544703366796
Afghanistan,AFG,9032,3345,5459.0,27593.0,0.19784003189214655
Afghanistan,AFG,8501,335,6081.0,48834.0,0.1245238972846787
Afghanistan,AFG,8536,335,6224.0,48834.0,0.12745218495310645
Afghanistan,AFG,8537,335,2970.0,48834.0,0.06081828234426834
Afghanistan,AFG,8538,335,3052.0,48834.0,0.06249744030798214
Afghanistan,AFG,8544,335,30156.0,48834.0,0.6175205799238236
Afghanistan,AFG,9405,335,351.0,48834.0,0.007187615186140804
Afghanistan,AFG,8415,3362BP,9024.0,13504.0,0.6682464454976303
Afghanistan,AFG,8544,3362BP,4480.0,13504.0,0.33175355450236965
Afghanistan,AFG,8302,337,12076.0,94883.0,0.12727253564916793
Afghanistan,AFG,9401,337,81012.0,94883.0,0.8538094284539907
Afghanistan,AFG,9404,337,1795.0,94883.0,0.01891803589684137
Afghanistan,AFG,7102,3399,42000.0,1112493.0,0.03775304653602315
Afghanistan,AFG,7103,3399,859128.0,1112493.0,0.7722547467714403
Afghanistan,AFG,7113,3399,47266.0,1112493.0,0.04248655946599215
Afghanistan,AFG,7117,3399,14252.0,1112493.0,0.012810867124557188
Afghanistan,AFG,7118,3399,97126.0,1112493.0,0.08730481899661391
Afghanistan,AFG,8484,3399,45099.0,1112493.0,0.04053868204114543
Afghanistan,AFG,9506,3399,7622.0,1112493.0,0.00685127906422782
Afghanistan,AFG,6309,Other,3289.0,1971873.0,0.0016679573177380085
Afghanistan,AFG,6310,Other,3080.0,1971873.0,0.0015619667189519812
Afghanistan,AFG,9703,Other,8500.0,1971873.0,0.004310622438666182
Afghanistan,AFG,9705,Other,388127.0,1971873.0,0.1968316417943752
Afghanistan,AFG,9706,Other,601827.0,1971873.0,0.30520576122295906
Afghanistan,AFG,9801,Other,487897.0,1971873.0,0.24742820658328402
Afghanistan,AFG,9802,Other,2040.0,1971873.0,0.0010345493852798836
Afghanistan,AFG,9999,Other,477113.0,1971873.0,0.24195929453874565
Albania,ALB,1211,111,16229100.0,17935550.0,0.9048565558346413
Albania,ALB,1212,111,3422.0,17935550.0,0.00019079426056072994
Albania,ALB,1214,111,20013.0,17935550.0,0.001115828619696636
Albania,ALB,2401,111,1092972.0,17935550.0,0.060938861646283496
Albania,ALB,713,111,86826.0,17935550.0,0.004841000136600216
Albania,ALB,802,111,11476.0,17935550.0,0.0006398465617168138
Albania,ALB,910,111,491741.0,17935550.0,0.027417112940500848
Albania,ALB,409,112,24790.0,24790.0,1.0
Albania,ALB,1302,113FF,36420.0,1320785.0,0.02757451061300666
Albania,ALB,302,113FF,887568.0,1320785.0,0.6720003634202387
Albania,ALB,306,113FF,394565.0,1320785.0,0.2987352218566989
Albania,ALB,802,113FF,2232.0,1320785.0,0.0016899041100557623
Albania,ALB,2501,212,2355.0,36615.0,0.06431790249897583
Albania,ALB,2515,212,2112.0,36615.0,0.05768127816468661
Albania,ALB,2610,212,32148.0,36615.0,0.8780008193363376
Albania,ALB,1006,311,55953.0,6121004.0,0.009141147432676078
Albania,ALB,1101,311,11510.0,6121004.0,0.0018804104686093981
Albania,ALB,1102,311,12980.0,6121004.0,0.002120567148788009
Albania,ALB,1106,311,164135.0,6121004.0,0.026815045374909082
Albania,ALB,1211,311,1021674.0,6121004.0,0.16691281364952548
Albania,ALB,1509,311,1157863.0,6121004.0,0.1891622681507805
Albania,ALB,1512,311,79696.0,6121004.0,0.013020086247288844
Albania,ALB,1515,311,6016.0,6121004.0,0.0009828452979282485
Albania,ALB,1704,311,24774.0,6121004.0,0.00404737523452035
Albania,ALB,1806,311,42169.0,6121004.0,0.006889229283300583
Albania,ALB,1902,311,24674.0,6121004.0,0.004031038045392553
Albania,ALB,1905,311,191684.0,6121004.0,0.03131577760772579
Albania,ALB,2001,311,90950.0,6121004.0,0.014858673511731082
Albania,ALB,2004,311,17981.0,6121004.0,0.0029375899770691214
Albania,ALB,2005,311,421815.0,6121004.0,0.06891271431941558
Albania,ALB,2007,311,84773.0,6121004.0,0.01384952533930708
Albania,ALB,2008,311,13005.0,6121004.0,0.0021246514460699583
Albania,ALB,2009,311,82051.0,6121004.0,0.013404827051248455
Albania,ALB,2101,311,21691.0,6121004.0,0.003543699693710378
Albania,ALB,2103,311,3004.0,6121004.0,0.0004907691613990123
Albania,ALB,2104,311,28827.0,6121004.0,0.00470952150986995
Albania,ALB,2106,311,53516.0,6121004.0,0.008743010133631672
Albania,ALB,2202,311,12424.0,6121004.0,0.00202973237723746
Albania,ALB,403,311,8749.0,6121004.0,0.0014293406767909318
Albania,ALB,406,311,1174172.0,6121004.0,0.19182670032563284
Albania,ALB,712,311,768177.0,6121004.0,0.1254985293262347
Albania,ALB,714,311,11530.0,6121004.0,0.0018836779064349573
Albania,ALB,813,311,26654.0,6121004.0,0.004354514390122927
Albania,ALB,814,311,60404.0,6121004.0,0.009868315720754308
Albania,ALB,901,311,146530.0,6121004.0,0.023938883228960477
Albania,ALB,909,311,237301.0,6121004.0,0.038768313172152805
Albania,ALB,910,311,64322.0,6121004.0,0.010508406790781381
Albania,ALB,2201,3121,95086.0,741448.0,0.12824365296015364
Albania,ALB,2202,3121,549528.0,741448.0,0.7411551450674896
