hs_code,impVal
3004909221,10240099569.0
3004909239,9586000159.0
3004909202,5744257565.0
8542310045,4946561041.0
8542310050,4360974393.0
8542390060,4015292761.0
3926909989,3671400136.0
3004909234,2967155073.0
3004200075,2690506311.0
8542310075,2463940164.0
3004909236,2029736871.0
8542310070,1929381009.0
3004909259,1497857000.0
3002490050,1183421927.0
3004909289,991607219.0
810104080,886162739.0
8542310060,735460343.0
3004909231,725721336.0
709209070,609897886.0
8542310040,584294151.0
3004909201,560693649.0
8542310025,525646982.0
3004909284,434363249.0
7602000095,372438893.0
7602000035,370248308.0
3004909244,344883385.0
8309900090,308047722.0
3004909229,306797592.0
7602000097,297495590.0
8542310030,284343722.0
7602000098,272144286.0
805100060,245385619.0
810500090,244294077.0
3004909206,212559305.0
2933396191,210673268.0
2930909251,201051902.0
810104040,197108704.0
8542390010,195695082.0
2931909052,184751658.0
8309900010,169851804.0
707005085,158089974.0
707002090,151508039.0
807114080,150946801.0
703104075,148963093.0
3004909218,123258736.0
3004909268,121621873.0
3004909257,119786340.0
2921196195,119741937.0
707004090,114210888.0
3004909216,94925789.0
8542390030,90905255.0
3004909232,90201908.0
807113080,89860549.0
3004200055,87099356.0
3004909242,83525330.0
707002070,81039733.0
8542310055,74879324.0
2929905095,74661908.0
3004105075,72124021.0
3004909212,71303376.0
807114060,70790395.0
707004070,67263365.0
8542390050,67109788.0
811908097,66865971.0
2931490080,66508005.0
3004200065,65874210.0
8542310015,65263523.0
8542310020,61092735.0
2915901890,58017523.0
7306305056,56981936.0
810104060,55800332.0
7306305057,54980319.0
4802574085,52465709.0
707002060,50679508.0
8542310035,50418289.0
3004105065,50074486.0
2007996535,47726347.0
8542390040,46414523.0
3004105055,43766132.0
808304035,43302151.0
3926909987,42054056.0
707002050,40237840.0
808302045,39480479.0
707006075,39087733.0
2930909231,36667317.0
702002008,36574150.0
707004060,35293285.0
709209040,33463859.0
810500010,33256487.0
707004050,30997172.0
9401694011,29420768.0
7306305031,28207432.0
7306305033,27454401.0
3004909238,27410270.0
3004909256,27406826.0
3004909237,27370733.0
702002002,27054089.0
3004909208,26868043.0
7306305041,26336751.0
808304045,26114919.0
707005026,25163146.0
702002006,25093196.0
707002045,24682245.0
3004909217,24533535.0
3004909263,24135554.0
3004200045,23104793.0
3004909266,22404591.0
4802571085,21558856.0
703104070,20504432.0
702002043,20417118.0
3004909219,20340243.0
3004909225,19480833.0
707002080,19370603.0
707005024,19187469.0
707005022,18793486.0
807113020,18334897.0
2812190090,17571529.0
3004909227,17355762.0
707004080,17021210.0
3004909204,15600165.0
810104020,15521765.0
2931490055,14941201.0
707006013,13114195.0
707005005,12725856.0
707006017,12462775.0
8542390020,12428739.0
707002040,12142284.0
702006008,12071307.0
805100050,11933741.0
2931590060,11454336.0
702004006,11426563.0
702006033,11238338.0
811908090,10567192.0
7306305026,10465475.0
707004045,10258940.0
707004040,10126118.0
702006002,9610627.0
807114020,9466184.0
707006021,9462366.0
707004037,9402242.0
810102080,8062795.0
9401694031,7900213.0
702004002,7795850.0
8542310065,7650762.0
2939800050,7247101.0
3002490010,7100469.0
702006006,7097767.0
707002037,7093436.0
7306305027,6728034.0
807113060,6293771.0
702002004,6154990.0
9401694015,6093392.0
702002044,6084890.0
9401612011,6075865.0
2007996525,6042006.0
702004008,5730231.0
807114040,4821219.0
7306305043,4555234.0
702002050,4465974.0
808302035,4318140.0
702004004,4116026.0
2931590080,3974866.0
810102060,3451861.0
9401694035,3262147.0
9401612015,3047167.0
807113040,2783821.0
9401612031,2499783.0
702006034,2390488.0
810102020,2012946.0
702006004,2003771.0
9401612035,1945572.0
702002048,1870948.0
702006038,965426.0
2931590010,662726.0
702006037,495858.0
2931909040,430280.0
810102040,355592.0
2915901810,254005.0
3004909223,158433.0
704904028,114424.0
2931909035,111000.0
707006005,68493.0
2931490008,50021.0
2933396120,48200.0
2812190010,28078.0
2930909222,17100.0
2929905018,15431.0
2931490005,3750.0
2931490025,2390.0
2929905015,2250.0
2921196140,2070.0
