run_name,avg_total_corr,share_total_significant,avg_direct_corr,share_direct_significant,avg_indirect_corr,share_indirect_significant,n_countries
Complete,0.3853959765090107,0.5336322869955157,0.48881737230340977,0.695067264573991,0.16968861139258515,0.20179372197309417,223
Excluding Oil and Other,0.5253300668158103,0.7090909090909091,0.6413144248730986,0.85,0.2813403850878952,0.3090909090909091,220
"Excluding Oil, Other, and Nonferrous Metals",0.5511534982475237,0.7363636363636363,0.6832696553239014,0.8681818181818182,0.2947155427424798,0.34545454545454546,220
