Country,impVal,hs_code,hs2_code,detail_code
Canada,232740744.0,203194010,2,31161A
Mexico,9625516.0,203194010,2,31161A
Canada,323745509.0,203194090,2,31161A
Mexico,11845562.0,203194090,2,31161A
Canada,464297.0,203221000,2,31161A
Canada,17391046.0,203229000,2,31161A
Mexico,1026572.0,203229000,2,31161A
Canada,4203653.0,203292000,2,31161A
Mexico,1499896.0,203292000,2,31161A
Canada,109641031.0,203294000,2,31161A
Mexico,125659433.0,203294000,2,31161A
Canada,1105146.0,204222090,2,31161A
Mexico,94075.0,204222090,2,31161A
Canada,124024.0,204432000,2,31161A
Mexico,1894433.0,204500000,2,31161A
Canada,2038588.0,205000000,2,31161A
Canada,45597165.0,206100000,2,31161A
Mexico,73860719.0,206100000,2,31161A
Canada,6806300.0,206210000,2,31161A
Mexico,456212.0,206210000,2,31161A
Canada,336340.0,206220000,2,31161A
Canada,88772285.0,206290000,2,31161A
Mexico,50649709.0,206290000,2,31161A
Canada,11915098.0,206300000,2,31161A
Mexico,785416.0,206300000,2,31161A
Canada,285367.0,206410000,2,31161A
Mexico,270782.0,206410000,2,31161A
Canada,15932010.0,206490000,2,31161A
Mexico,11606030.0,206490000,2,31161A
Canada,210835.0,206800000,2,31161A
Canada,24124.0,206900020,2,31161A
Canada,94442.0,206900040,2,31161A
Canada,10569009.0,207110020,2,311615
Canada,2166508.0,207110040,2,311615
Canada,713172.0,207120020,2,311615
Canada,3849460.0,207120040,2,311615
Canada,69921115.0,207130000,2,311615
Canada,25884.0,207140020,2,311615
Canada,25789008.0,207140040,2,311615
Mexico,258682.0,207140040,2,311615
Canada,788085.0,207240000,2,311615
Canada,342038.0,207252000,2,311615
Canada,4295334.0,207254000,2,311615
Canada,5755453.0,207260000,2,311615
Canada,1193892.0,207270020,2,311615
Canada,11051941.0,207270040,2,311615
Mexico,4950.0,207270040,2,311615
Canada,62068.0,207410000,2,311615
Canada,4071466.0,207420000,2,311615
Canada,4637.0,207440000,2,311615
Canada,3017640.0,207450020,2,311615
Canada,2665746.0,207450040,2,311615
Canada,607837.0,208100000,2,311615
Canada,55059.0,208902000,2,31161A
Canada,54760.0,208903000,2,311615
Canada,3426370.0,208909100,2,31161A
Canada,12366689.0,209100000,2,31161A
Canada,516536.0,209900000,2,311615
Canada,66935.0,210110010,2,31161A
Canada,862002.0,210110020,2,31161A
Canada,100448309.0,210120020,2,31161A
Mexico,821808.0,210120020,2,31161A
Canada,7248572.0,210120040,2,31161A
Canada,412915.0,210190010,2,31161A
Canada,11347946.0,210190090,2,31161A
Mexico,4837198.0,210190090,2,31161A
Canada,2160968.0,210200000,2,31161A
Canada,3293898.0,210992000,2,311615
Canada,109395.0,301110090,3,112A00
Mexico,46911.0,301110090,3,112A00
Canada,377125.0,301920000,3,112A00
Mexico,225416.0,301930290,3,112A00
Canada,931568.0,301990390,3,112A00
Mexico,65974.0,301990390,3,112A00
Canada,29430.0,302110010,3,112A00
Canada,1880996.0,302110090,3,114000
Mexico,10877.0,302110090,3,114000
Canada,22826464.0,302130013,3,112A00
Canada,6581847.0,302130014,3,114000
Canada,1259934.0,302130022,3,114000
Canada,27000.0,302130032,3,114000
Canada,8071328.0,302130042,3,114000
Canada,89392.0,302130053,3,112A00
Canada,1196881.0,302130054,3,114000
Canada,570284706.0,302140003,3,112A00
Canada,100448686.0,302210010,3,114000
Canada,43200704.0,302210020,3,114000
Mexico,5878168.0,302210020,3,114000
Canada,104191.0,302210090,3,114000
Greenland,199857.0,302210090,3,114000
Canada,430599.0,302290110,3,114000
Mexico,474170.0,302290110,3,114000
Canada,7055.0,302290190,3,114000
Mexico,1047154.0,302290190,3,114000
Canada,37750.0,302310000,3,114000
Canada,1593876.0,302320000,3,114000
Mexico,4756681.0,302320000,3,114000
Canada,2430878.0,302340000,3,114000
Canada,1407292.0,302350100,3,114000
Mexico,72729308.0,302350100,3,114000
Canada,3591.0,302410000,3,114000
Canada,28000.0,302420000,3,114000
Mexico,56940.0,302440000,3,114000
Canada,25071.0,302455000,3,114000
Mexico,1609434.0,302455000,3,114000
Mexico,29301.0,302465000,3,114000
Canada,15857840.0,302470090,3,114000
Mexico,3151082.0,302470090,3,114000
Mexico,82428.0,302490000,3,114000
Canada,2489607.0,302510010,3,114000
Canada,146524.0,302510090,3,114000
Canada,1789751.0,302520000,3,114000
Canada,2046103.0,302545000,3,114000
Mexico,131230.0,302545000,3,114000
Canada,75976.0,302555000,3,114000
Canada,1010208.0,302595010,3,114000
Canada,2956.0,302595090,3,114000
Canada,7860.0,302735000,3,114000
Canada,4299.0,302820000,3,114000
Mexico,4379.0,302820000,3,114000
Mexico,105056.0,302845000,3,114000
Mexico,2080.0,302855000,3,114000
Canada,2057.0,302891120,3,114000
Mexico,69182.0,302891120,3,114000
Canada,3297473.0,302895010,3,114000
Canada,1294035.0,302895013,3,114000
Canada,2061978.0,302895025,3,114000
Canada,969952.0,302895028,3,114000
Mexico,6979229.0,302895028,3,114000
Canada,8377233.0,302895031,3,114000
Canada,391242.0,302895034,3,114000
Canada,103666.0,302895037,3,114000
Canada,6076579.0,302895052,3,114000
Mexico,8136.0,302895052,3,114000
Canada,344385.0,302895055,3,114000
Mexico,43748776.0,302895058,3,114000
Mexico,29033601.0,302895061,3,114000
Canada,1201201.0,302895064,3,114000
Canada,13609.0,302895067,3,114000
Canada,12834.0,302895072,3,114000
Mexico,156229.0,302895072,3,114000
Canada,1713715.0,302895077,3,114000
Mexico,10127893.0,302895077,3,114000
Canada,42989.0,302914090,3,114000
Canada,22570.0,302990000,3,114000
Mexico,104034.0,302990000,3,114000
Canada,13614667.0,303110000,3,114000
Canada,6423557.0,303120012,3,114000
Canada,1233452.0,303120022,3,114000
Canada,229612.0,303120032,3,114000
Canada,1839869.0,303120052,3,114000
Canada,2991697.0,303130000,3,114000
Canada,409703.0,303140000,3,114000
Mexico,34319.0,303140000,3,114000
Canada,60279.0,303190100,3,114000
Canada,65336.0,303260000,3,114000
Canada,3185787.0,303310010,3,114000
Canada,2379122.0,303310020,3,114000
Canada,3532773.0,303310030,3,114000
Greenland,1806177.0,303310030,3,114000
Canada,50600.0,303320000,3,114000
Canada,437722.0,303330000,3,114000
Canada,176000.0,303340000,3,114000
Canada,2512077.0,303390110,3,114000
Canada,450541.0,303390195,3,114000
Canada,526711.0,303410000,3,114000
Mexico,155580.0,303420020,3,114000
Mexico,19775.0,303420060,3,114000
Canada,1833898.0,303510000,3,114000
Mexico,3782952.0,303530000,3,114000
Mexico,770960.0,303540000,3,114000
Mexico,89493.0,303550000,3,114000
Canada,129058.0,303590000,3,114000
Mexico,991386.0,303590000,3,114000
Greenland,6419051.0,303630010,3,114000
Canada,1049190.0,303630090,3,114000
Canada,304191.0,303640000,3,114000
Canada,155960.0,303650000,3,114000
Canada,90967.0,303660000,3,114000
Mexico,547588.0,303660000,3,114000
Canada,375613.0,303670000,3,114000
Canada,66529.0,303690000,3,114000
Mexico,301864.0,303690000,3,114000
Mexico,7648.0,303810091,3,114000
Canada,37708.0,303820000,3,114000
Canada,145434.0,303890001,3,114000
Canada,5726408.0,303890004,3,114000
Canada,3756.0,303890010,3,114000
Canada,244587.0,303890028,3,114000
Canada,640639.0,303890031,3,114000
Canada,2128.0,303890034,3,114000
Canada,2757372.0,303890037,3,114000
Canada,217000.0,303890043,3,114000
Mexico,57454.0,303890043,3,114000
Mexico,45124.0,303890055,3,114000
Canada,2752640.0,303890058,3,114000
Canada,1698793.0,303890061,3,114000
Canada,416769.0,303890064,3,114000
Canada,11640.0,303890067,3,114000
Mexico,2820793.0,303890067,3,114000
Mexico,359307.0,303890070,3,114000
Canada,1734280.0,303890080,3,114000
Mexico,10489888.0,303890080,3,114000
Canada,7717.0,303912000,3,114000
Canada,1768258.0,303914040,3,114000
Canada,418324.0,303914095,3,114000
Canada,83396.0,303990000,3,114000
Mexico,10455.0,303990000,3,114000
Mexico,2596922.0,304310000,3,114000
Canada,92473.0,304330000,3,114000
Canada,61502367.0,304410010,3,112A00
Canada,33817567.0,304410090,3,114000
Canada,1724491.0,304420000,3,114000
Canada,288548.0,304430010,3,114000
Canada,539456.0,304430020,3,114000
Canada,75220.0,304430025,3,114000
Canada,8526242.0,304430090,3,114000
Canada,812058.0,304440010,3,114000
Canada,91468.0,304440015,3,114000
Canada,5965043.0,304440020,3,114000
Canada,471409.0,304440025,3,114000
Canada,6868.0,304440090,3,114000
Mexico,51602.0,304480000,3,114000
Canada,9683940.0,304490106,3,114000
Canada,1700405.0,304490109,3,114000
Canada,7004605.0,304490115,3,114000
Canada,3264954.0,304490120,3,114000
Canada,16507679.0,304490190,3,114000
Mexico,21691703.0,304490190,3,114000
Canada,134595.0,304520090,3,114000
Mexico,149411.0,304530090,3,114000
Mexico,3710.0,304570000,3,114000
Canada,636503.0,304590003,3,114000
Canada,3379144.0,304590006,3,114000
Canada,228864.0,304590009,3,114000
Canada,398341.0,304590020,3,114000
Canada,2858953.0,304590025,3,114000
Canada,2267102.0,304590036,3,114000
Canada,4500.0,304590091,3,114000
Mexico,10942981.0,304590091,3,114000
Mexico,545524.0,304610000,3,114000
Canada,141403.0,304711000,3,114000
Canada,7038423.0,304715000,3,114000
Greenland,6167320.0,304715000,3,114000
Canada,47842.0,304721000,3,114000
Canada,425140.0,304725000,3,114000
Mexico,2601.0,304745000,3,114000
Canada,121628.0,304751000,3,114000
Canada,391765.0,304755000,3,114000
Canada,1670983.0,304815010,3,114000
Canada,32833423.0,304815090,3,114000
Canada,194955.0,304825000,3,114000
Mexico,10825.0,304825000,3,114000
Canada,43527.0,304831010,3,114000
Canada,29353.0,304831025,3,114000
Greenland,842247.0,304835010,3,114000
