U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S
23OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,8,0,0,0,3,8,0,0,2050,1395,1353,1902,902,211,1815,606,4967,4,0,1,37,0,0,0,189,0,0,2,1,0,0,0,0,0,508,1,36,1492,64,222,31,0,0,23,0,573,1,0,3,1,1,34,313,44,11,21,14,43,16,37,30,46,5,0,9,21,7,2,11,3,9,24,9,0,208,0,1,0,1,0,1,16,2,1,10,8,12,67,2,149,42,72,2,0,0,0,0,4,1,607,122,3,8,1,26,1,27,2,27,0,1,27,53,6,10,64,7,1,2,7,97,1,125,2,53,296,246,16,6,72,0,6,5,2,773,6,78,41,1979,0,0,10,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,441,7,65,0,0,2495,385,957,1633,643,183,1499,516,160,3504,467,125,487,61,8,133,350,17,5,41,20,0,359,315,558,64,515,22,121,84,74,135,77,603,0,10,0,14,0,343,6,20,10,185,504,0,1,0,1,3,0,4,0,9,0,0,137,26,0,9,0,0,12,141,52,0,3,0,52,0,0,0,2,31,0,0,0,265,436,204,2,148,0,11,18,0,0,13,0,1,0,0,196,0,7,0,351,125,313,8,54,16,0,117,69,118,35,144,36,28,4,230,1585,46,118,1,37,14,868,130,1,30,0,14,363,0,88,465,193,231,6910,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3311IS,27,22,0,1955,116,63,0,0,863,340,241,190,209,35,116,24,37,439,10893,587,10228,680,1183,505,3709,1,24,65,39,7,1126,3,1247,37,4034,683,451,374,89,474,0,0,0,9,0,14,6,0,13,0,0,0,265,5,3,1,0,109,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,6,0,0,2,0,2,9,16,2,5,13,225,0,0,0,0,0,0,0,0,1409,69,0,0,1,250,1,61,1,0,14,0,183,109,108,130,1,3,9,45,19,7,7,152,18,140,16,9,90,60,27,0,0,1,0,0,2,1,70,421,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3313NF,0,0,0,0,2,0,0,0,17,86,5,98,25,121,84,18,45,44,5256,22254,5901,54,31,89,2126,6,86,1405,243,3,4962,9,2924,76,3413,283,722,507,552,1348,39,408,2,0,0,233,0,5,0,0,0,0,120,2,0,0,0,35,0,0,0,0,12,0,0,0,0,0,0,0,10,0,1,0,27,0,0,0,0,1,0,0,3,0,2,12,21,0,7,25,272,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,100,0,0,7,0,0,8,0,0,0,0,0,0,0,3,0,7,0,3,0,31,257,0,4,0,157,387,0,0,0,0,211,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
