Country,iso3,HS2,usummary_code,impVal,bea_total,weight
Albania,ALB,12,311,1021674.0,6121004.0,0.16691281364952548
Albania,ALB,15,311,1243575.0,6121004.0,0.20316519969599758
Albania,ALB,17,311,24774.0,6121004.0,0.00404737523452035
Albania,ALB,18,311,42169.0,6121004.0,0.006889229283300583
Albania,ALB,19,311,216358.0,6121004.0,0.03534681565311835
Albania,ALB,20,311,710575.0,6121004.0,0.11608798164484127
Albania,ALB,21,311,107038.0,6121004.0,0.017487000498611013
Albania,ALB,22,311,12424.0,6121004.0,0.00202973237723746
Albania,ALB,4,311,1182921.0,6121004.0,0.19325604100242377
Albania,ALB,7,311,779707.0,6121004.0,0.1273822072326697
Albania,ALB,8,311,87058.0,6121004.0,0.014222830110877235
Albania,ALB,9,311,448153.0,6121004.0,0.07321560319189466
Albania,ALB,22,3121,741448.0,741448.0,1.0
Albania,ALB,42,313TT,1015.0,130579.0,0.007773072239793535
Albania,ALB,53,313TT,1629.0,130579.0,0.012475206579924797
Albania,ALB,57,313TT,300.0,130579.0,0.002297459775308434
Albania,ALB,63,313TT,114441.0,130579.0,0.8764119804869083
Albania,ALB,64,313TT,5502.0,130579.0,0.04213541227915668
Albania,ALB,94,313TT,7692.0,130579.0,0.05890686863890825
Albania,ALB,42,315AL,768116.0,13873209.0,0.055366858525666265
Albania,ALB,61,315AL,3570668.0,13873209.0,0.25737866415765814
Albania,ALB,62,315AL,7408533.0,13873209.0,0.5340172558490253
Albania,ALB,64,315AL,2111089.0,13873209.0,0.15217020085259295
Albania,ALB,65,315AL,14803.0,13873209.0,0.0010670206150574103
Albania,ALB,44,321,154854.0,154854.0,1.0
Albania,ALB,48,322,2713926.0,2713926.0,1.0
Albania,ALB,49,323,35015.0,35015.0,1.0
Albania,ALB,12,3254,267288.0,267288.0,1.0
Albania,ALB,31,325X,508679.0,4446363.0,0.11440338991665773
Albania,ALB,32,325X,149817.0,4446363.0,0.033694280021671644
Albania,ALB,33,325X,3772652.0,4446363.0,0.848480432209426
