NIPA_Line,Description,Direct,Indirect,Total
122,Pharmaceutical products,0.06955497527326,0.01398191230466,0.08353688757792
9,New light trucks,0.049986812556389995,0.025703437917179998,0.07569025047356999
106,Women's and girls' clothing,0.04471338531449,0.0004444343445987736,0.04515781965908877
107,Men's and boys' clothing,0.032148083947299996,0.00028668836454070703,0.03243477231184071
49,Personal computers/tablets and peripheral equipment,0.03168787610472,0.0001244631655606996,0.0318123392702807
30,Major household appliances,0.028527251048100003,0.0015271497007980036,0.030054400748898005
25,Furniture,0.026260742526410003,0.0028547084089239616,0.029115450935333964
52,"Sporting equipment, supplies, guns, and ammunition",0.024972292067199996,0.0016146117728966965,0.026586903840096692
112,Shoes and other footwear,0.02456892050906,0.00023437267849406478,0.024803293187554063
127,"Games, toys, and hobbies",0.024900980293070002,-0.0001990606058445091,0.024701919687225495
184,Nonprofit hospitals' services to households,0.0,0.02341058974604,0.02341058974604
115,Gasoline and other motor fuel,0.004991184428081185,0.01623706147331,0.021228245901391184
64,Jewelry,0.01729674420769,0.0008339179753114726,0.018130662183001474
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",0.01592073687038,0.002199809784580265,0.018120546654960264
7,New domestic autos,0.01747109912928,0.0003760021498862815,0.01784710127916628
71,Telephone and related communication equipment,0.01408454455027,0.0001567351756698929,0.014241279725939892
95,"Food products, not elsewhere classified",0.007487158115939129,0.006492084432593524,0.013979242548532651
174,Physician services,0.0,0.01303726168683,0.01303726168683
242,Meals at limited service eating places,0.0,0.01169794646922,0.01169794646922
34,Nonelectric cookware and tableware,0.009928296482613204,0.0011237065821542442,0.011052003064767448
70,Luggage and similar personal items,0.01038143000872,0.0001256554730981456,0.010507085481818145
243,Meals at other eating places,0.0,0.010502463249000001,0.010502463249000001
21,Tires,0.009193755065485018,0.0010073893880111022,0.010201144453496121
342,Final consumption expenditures of nonprofit institutions serving households (NPISHs),0.0,0.009851513826238641,0.009851513826238641
22,Accessories and parts,0.006630347534309762,0.0028194826736696603,0.009449830207979423
26,"Clocks, lamps, lighting fixtures, and other household decorative items",0.007893914946241094,0.0009178031845930287,0.008811718130834123
41,Televisions,0.008402032630314506,0.00011264932619820464,0.00851468195651271
134,Household linens,0.0075031122363251575,0.0008222239729382408,0.0083253362092634
98,"Mineral waters, soft drinks, and vegetable juices",0.004665554652284463,0.003513982293563131,0.008179536945847596
192,Motor vehicle maintenance and repair,0.0,0.008016828499761302,0.008016828499761302
33,Dishes and flatware,0.0072381482272481186,0.0006127856665187566,0.007850933893766874
78,Bakery products,0.00377528892536959,0.0035073998384205036,0.0072826887637900935
186,Government hospitals,0.0,0.0071795047954353675,0.0071795047954353675
59,Other recreational vehicles,0.0038973053192915006,0.002817873423299358,0.006715178742590858
57,Pleasure boats,0.00534096287227548,0.0013123639578692318,0.006653326830144712
43,Audio equipment,0.006433028347269929,0.00011887351132747503,0.006551901858597405
67,Therapeutic medical equipment,0.006163235463560599,0.00031864276781855727,0.006481878231379156
129,"Flowers, seeds, and potted plants",0.005554751577999171,0.0007457930843807351,0.006300544662379906
8,New foreign autos,0.0061401182130014645,0.0001274114622903771,0.0062675296752918415
92,Vegetables (fresh),0.004885015207021016,0.001366513039037761,0.006251528246058777
180,Specialty outpatient care facilities and health and allied services,0.0,0.005881958931193849,0.005881958931193849
36,"Tools, hardware, and supplies",0.005082238464162986,0.0007086063409285869,0.005790844805091573
128,Pets and related products,0.003616458018347752,0.0020274018906927247,0.005643859909040477
91,Fruit (fresh),0.004345681816338101,0.001215642247541066,0.005561324063879167
133,Household paper products,0.004072112865029863,0.001465913256102081,0.0055380261211319445
139,Cosmetic / perfumes / bath / nail preparations and implements,0.0037846319339067277,0.0017527168473406788,0.005537348781247406
27,Carpets and other floor coverings,0.004637829109192096,0.0005809971589942577,0.005218826268186354
83,Poultry,0.0026382894311360217,0.0024510801974095544,0.005089369628545576
