ISO,country_name,Direct,Indirect,Total
CHN,China,0.2933186270229426,0.09507798922805959,0.3883966162510022
CAN,Canada,0.027234678550528905,0.03709573183909488,0.06433041038962378
MEX,Mexico,0.033970759460324934,0.022398284667018504,0.05636904412734344
JPN,Japan,0.027043191218689283,0.015342136797031843,0.042385328015721126
DEU,Germany,0.024348000370394304,0.014848961148660996,0.0391969615190553
VNM,Vietnam,0.028156246072651117,0.007422635465649749,0.03557888153830086
KOR,South Korea,0.02096816543843661,0.013136859104901694,0.0341050245433383
IRL,Ireland,0.01786679508673486,0.00925518370704216,0.02712197879377702
IND,India,0.01651779591002995,0.009398419475703449,0.025916215385733396
ITA,Italy,0.014303398420002254,0.006484936889493121,0.020788335309495372
THA,Thailand,0.008129192454560437,0.006140296247310583,0.014269488701871018
TWN,Taiwan,0.006702046631694212,0.006380179998409944,0.013082226630104155
CHE,Switzerland,0.007603972392508495,0.005247954504643808,0.012851926897152302
FRA,France,0.008259514746197986,0.004156409326792128,0.012415924072990114
ISR,Israel,0.006894667181043771,0.005124046196045388,0.012018713377089159
GBR,United Kingdom,0.00720451656559499,0.004643167822467036,0.011847684388062026
SGP,Singapore,0.007806431826033681,0.003548629267264039,0.01135506109329772
IDN,Indonesia,0.008076784757835033,0.0031088099875018265,0.011185594745336858
ESP,Spain,0.007488763267586061,0.0026753213807524864,0.010164084648338548
BRA,Brazil,0.003501376150178874,0.00637245516753356,0.009873831317712432
NLD,Netherlands,0.00484746036761864,0.0034557376193442035,0.008303197986962843
MYS,Malaysia,0.0031390832650742147,0.003117134005770852,0.0062562172708450665
BEL,Belgium,0.003986822265586701,0.0021388655527732536,0.006125687818359954
KHM,Cambodia,0.0054498286138281605,0.0005912249324904802,0.006041053546318641
TUR,Türkiye,0.002821594055240594,0.0022285394050451353,0.00505013346028573
ARG,Argentina,0.0022750790690281375,0.0025086803114394867,0.004783759380467625
AUS,Australia,0.0027389684645016117,0.002022472143027607,0.004761440607529219
BGD,Bangladesh,0.004678792439983303,5.441963451787443e-05,0.004733212074501177
COL,Colombia,0.0020068289638845217,0.0020614804482679025,0.004068309412152424
CHL,Chile,0.0015566476891298194,0.0023296231161810247,0.0038862708053108434
AUT,Austria,0.002103299445279897,0.0017407448383195134,0.00384404428359941
SWE,Sweden,0.0020471194797971157,0.0015261108343805677,0.003573230314177683
CRI,Costa Rica,0.0013252415832690064,0.002111395722858258,0.0034366373061272644
PER,Peru,0.001991453556131881,0.0012154284657839962,0.0032068820219158765
HUN,Hungary,0.0019748609643672594,0.0011931433308215048,0.003168004295188765
SAU,Saudi Arabia,0.0002484966376504228,0.0028659673961044857,0.0031144640337549085
DOM,Dominican Republic,0.0020420716336098663,0.0009791273394040238,0.00302119897301389
POL,Poland,0.0015217898357064573,0.0014774501026053087,0.0029992399383117663
HND,Honduras,0.0022063987436167034,0.0007899808504443731,0.0029963795940610768
PHL,Philippines,0.001792638144160701,0.0011103478884672852,0.002902986032627986
ZAF,South Africa,0.0012330268581529785,0.0013659880351911493,0.0025990148933441276
DNK,Denmark,0.0014640555057972495,0.001044391465187714,0.0025084469709849636
NIC,Nicaragua,0.001904791566098595,0.0006025770935699714,0.002507368659668566
GTM,Guatemala,0.001911917418904142,0.0005509673323533901,0.002462884751257532
PAK,Pakistan,0.002052709127256219,0.00040537025846342075,0.0024580793857196396
PRT,Portugal,0.001516554954645796,0.0008008666259306884,0.0023174215805764845
HKG,Hong Kong,0.0015092063021239599,0.0007055281920829405,0.0022147344942069006
NZL,New Zealand,0.0012360171062970676,0.0008866394558463466,0.002122656562143414
SVN,Slovenia,0.001317944635446604,0.0005969370512090449,0.0019148816866556486
JOR,Jordan,0.0016306851464934664,0.0002408165346995923,0.0018715016811930588
FIN,Finland,0.0008509771813789585,0.0009495804280389498,0.0018005576094179082
ECU,Ecuador,0.0007903173900207878,0.0009760392271542304,0.0017663566171750183
IRQ,Iraq,9.528176494861289e-05,0.0016352956283724929,0.0017305773933211058
CZE,Czechia,0.0007439607501627067,0.0009191455292509058,0.0016631062794136126
NOR,Norway,0.0007030410832354662,0.0009156973932229654,0.0016187384764584315
ARE,United Arab Emirates,0.0004112857999330623,0.001191471044598708,0.00160275684453177
SVK,Slovakia,0.001086436155083804,0.00031653797876567597,0.00140297413384948
LKA,Sri Lanka,0.0012548479805653582,0.00014143555560782082,0.001396283536173179
NGA,Nigeria,8.310086683794578e-05,0.0012165759558186986,0.0012996768226566445
GUY,Guyana,1.3922315893303945e-05,0.0011861161157343887,0.0012000384316276926
SLV,El Salvador,0.001024335132735233,0.00014804304578652314,0.0011723781785217562
EGY,Egypt,0.0009564798051879023,0.0002039165569207765,0.0011603963621086787
ROU,Romania,0.0005235349236789874,0.0005194413840469484,0.0010429763077259358
DZA,Algeria,0.00014023177031139303,0.0006067846623774681,0.000747016432688861
RUS,Russia,0.0003267258100488487,0.0003599122863783144,0.0006866380964271631
GRC,Greece,0.0003871150540909585,0.00026192446759656343,0.0006490395216875219
LTU,Lithuania,0.0003774765637660743,0.00022801390000751597,0.0006054904637735903
MAR,Morocco,0.00032781388377267466,0.0002090961909293672,0.0005369100747020419
CIV,Cote d'Ivoire,0.0002621546524653244,0.000225028844829187,0.0004871834972945114
KAZ,Kazakhstan,4.982993080350395e-05,0.00037642700340400725,0.0004262569342075112
QAT,Qatar,8.901049344039387e-05,0.00033222679850630933,0.00042123729194670323
URY,Uruguay,0.00021538842054200194,0.0002038144787861734,0.0004192028993281754
BGR,Bulgaria,0.00026714927499407157,0.00014423892705068617,0.0004113882020447577
KEN,Kenya,0.0003752354169328674,2.852084296557698e-05,0.00040375625989844436
TTO,Trinidad and Tobago,7.040382347922853e-05,0.0003292044072548703,0.00039960823073409885
ISL,Iceland,0.00017617458323858644,0.00021392806401417423,0.00039010264725276064
HTI,Haiti,0.0003734049450514997,4.6877702239213e-06,0.000378092715275421
TUN,Tunisia,0.00023188374141904397,0.00014556193537515138,0.00037744567679419536
GHA,Ghana,0.00010722803885522764,0.00024311362108299408,0.00035034165993822174
MMR,Myanmar,0.00031139378128732745,2.9469990996507862e-05,0.00034086377228383536
LBY,Libya,8.697340596338562e-09,0.0003347690386577612,0.0003347777359983575
UKR,Ukraine,0.0001400546304375269,0.00019169345252664197,0.0003317480829641689
MDG,Madagascar,0.00028414586043842886,4.54373240102507e-05,0.0003295831844486796
AGO,Angola,2.7090883449878106e-05,0.0002799456806180122,0.0003070365640678903
SRB,Serbia,0.00014728188797342922,0.00014922849277351197,0.0002965103807469412
BHS,Bahamas,5.642540533967993e-05,0.0002342976295973498,0.0002907230349370297
OMN,Oman,0.00013005082343114238,0.0001429347821617698,0.0002729856055929122
KWT,Kuwait,3.167228194866243e-05,0.000221169716247978,0.0002528419981966405
HRV,Croatia,0.00015254470580862922,9.024407879042807e-05,0.00024278878459905727
VEN,Venezuela,4.79351545932285e-05,0.0001547092746828759,0.0002026444292761044
BHR,Bahrain,5.0523548623502616e-05,0.0001437369642121644,0.00019426051283566703
ETH,Ethiopia,0.0001497116830639141,3.778287884539076e-05,0.00018749456190930486
LAO,Laos,0.0001133275517717462,5.424245657307994e-05,0.00016757000834482613
LVA,Latvia,8.001653525997935e-05,6.420150780520784e-05,0.00014421804306518718
LUX,Luxembourg,4.499449249415185e-05,9.432855652058241e-05,0.00013932304901473425
FJI,Fiji,0.0001022509839187406,3.4763697430183794e-05,0.0001370146813489244
EST,Estonia,7.731753463877763e-05,5.788823604841848e-05,0.0001352057706871961
FRO,Faroe Islands,4.5132508758882185e-05,8.222730486940882e-05,0.000127359813628291
PRY,Paraguay,7.082653003734598e-05,5.301642057060969e-05,0.00012384295060795567
JAM,Jamaica,6.622455233889772e-05,5.73517744951564e-05,0.00012357632683405412
PAN,Panama,5.278315086908053e-05,6.634566883776316e-05,0.00011912881970684366
LSO,Lesotho,0.0001161819001775452,1.5029326151837688e-06,0.00011768483279272898
MUS,Mauritius,6.047643168398678e-05,4.271833575414847e-05,0.00010319476743813526
BWA,Botswana,9.865497362359251e-05,3.3641328597740903e-06,0.00010201910648336661
TZA,Tanzania,7.674110709194648e-05,1.539995117422405e-05,9.214105826617052e-05
LBN,Lebanon,5.324399027844338e-05,2.5273753744973812e-05,7.85177440234172e-05
SEN,Senegal,3.063953037387083e-05,3.584567509652502e-05,6.648520547039585e-05
BRN,Brunei Darussalam,7.525152965150201e-06,5.574879642994176e-05,6.327394939509196e-05
BOL,Bolivia,3.764227463567959e-05,2.429907707195417e-05,6.194135170763376e-05
MDA,Moldova,4.954969117223309e-05,1.1935213567519511e-05,6.148490473975261e-05
CMR,Cameroon,1.903815036488113e-05,4.151567126080963e-05,6.055382162569075e-05
LIE,Liechtenstein,2.2322963613361353e-05,3.763671883636084e-05,5.9959682449722194e-05
UGA,Uganda,3.5754698206207216e-05,2.2805064367003863e-05,5.855976257321108e-05
BIH,Bosnia and Herzegovina,3.890782477721169e-05,1.862958813192842e-05,5.753741290914011e-05
MOZ,Mozambique,3.92494244427419e-05,1.673898473594117e-05,5.5988409178683076e-05
NPL,Nepal,3.6177303506180064e-05,1.5611952911246455e-05,5.178925641742651e-05
NAM,Namibia,4.329130774641989e-05,6.949809083714375e-06,5.024111683013427e-05
LBR,Liberia,1.3563378605207735e-05,2.96148839011892e-05,4.3178262506396935e-05
MAC,Macau,3.6844603364833636e-05,2.6582811324189643e-06,3.95028844972526e-05
ARM,Armenia,3.394933416821023e-05,4.818330001574343e-06,3.876766416978457e-05
ZMB,Zambia,3.4262288277022396e-05,3.405878554590102e-06,3.7668166831612496e-05
TGO,Togo,2.3946207058563293e-05,1.3177435232522734e-05,3.712364229108602e-05
MKD,North Macedonia,2.158364147982994e-05,1.5433528449497712e-05,3.701716992932766e-05
GAB,Gabon,1.6469061510057948e-06,3.531258775458202e-05,3.695949390558782e-05
BLZ,Belize,1.8585915935535956e-05,1.5614725593228134e-05,3.420064152876409e-05
SUR,Suriname,9.470916868227199e-06,2.398579274198149e-05,3.3456709610208694e-05
ALB,Albania,2.022454876887386e-05,1.2824019550043724e-05,3.304856831891758e-05
GNQ,Equatorial Guinea,8.953818806523595e-09,2.9359078006499658e-05,2.9368031825306185e-05
REU,Reunion,8.106285533532623e-06,2.061998814457155e-05,2.8726273678104168e-05
ZWE,Zimbabwe,1.749316383626459e-05,1.0117515499841706e-05,2.7610679336106294e-05
PNG,Papua New Guinea,1.3652211424238565e-05,1.0795640072205113e-05,2.444785149644368e-05
GEO,Georgia,1.2803297113553257e-05,8.504188957601256e-06,2.1307486071154515e-05
TCD,Chad,7.64480169496389e-07,2.0174432465654017e-05,2.0938912635150407e-05
BEN,Benin,1.33446144738074e-05,6.919513760750287e-06,2.0264128234557685e-05
MLT,Malta,9.579769630263733e-06,1.0336170649047406e-05,1.991594027931114e-05
BRB,Barbados,1.3735960685646942e-05,4.476443230952912e-06,1.8212403916599855e-05
MWI,Malawi,1.1269890661913415e-05,6.841116190611506e-06,1.811100685252492e-05
GRL,Greenland,3.850140688796642e-06,1.1116160925625754e-05,1.4966301614422396e-05
AZE,Azerbaijan,3.927949441394457e-06,1.0035944124916972e-05,1.3963893566311427e-05
PYF,French Polynesia,5.232800931518337e-06,8.342399683356746e-06,1.3575200614875086e-05
MCO,Monaco,9.332826022198715e-06,4.0027884215363585e-06,1.3335614443735074e-05
FLK,Falkland Islands,3.6781812925863443e-06,9.596813515470516e-06,1.327499480805686e-05
RWA,Rwanda,7.323717426475405e-06,5.339708484011455e-06,1.2663425910486862e-05
CYP,Cyprus,6.31138429158251e-06,5.709416253607248e-06,1.2020800545189758e-05
MNG,Mongolia,4.831473109350382e-06,6.529479444285209e-06,1.136095255363559e-05
SWZ,Eswatini,7.254634307987046e-06,3.7073330012169135e-06,1.0961967309203959e-05
MHL,Marshall Islands,3.418323430459768e-06,5.902592355809934e-06,9.320915786269702e-06
AFG,Afghanistan,5.6632129523545144e-06,3.3574363910359275e-06,9.020649343390442e-06
SDN,Sudan,2.425498529467789e-06,6.2155510242987244e-06,8.641049553766514e-06
COD,DR Congo,4.647896703255026e-06,2.9352372377778297e-06,7.583133941032855e-06
UZB,Uzbekistan,3.796315841803572e-06,3.4682342078357604e-06,7.264550049639332e-06
SLE,Sierra Leone,3.028202230168938e-06,3.911730178836075e-06,6.939932409005012e-06
NCL,New Caledonia,3.2629066036308057e-07,6.457464456104717e-06,6.783755116467797e-06
GRD,Grenada,2.319646954904081e-06,3.9726701828404555e-06,6.292317137744537e-06
BLR,Belarus,3.6753061320389855e-06,2.262655279161577e-06,5.937961411200563e-06
SHN,St. Helena,1.6863812878216781e-06,4.214433498202138e-06,5.9008147860238156e-06
VUT,Vanuatu,2.6067449671490292e-06,2.421088731592103e-06,5.027833698741132e-06
CYM,Cayman Islands,1.2742483656582058e-06,3.74558801002704e-06,5.0198363756852455e-06
KGZ,Kyrgyz Republic,2.27279213177687e-06,2.741944073170997e-06,5.014736204947867e-06
SYR,Syria,2.8374231494097087e-06,1.8246026824024883e-06,4.662025831812197e-06
SMR,San Marino,1.4682023770212758e-06,2.6542344260463633e-06,4.122436803067639e-06
TKM,Turkmenistan,2.612578562822557e-06,1.1384464428407229e-06,3.75102500566328e-06
MNE,Montenegro,2.6349128955537946e-06,1.0132161805582364e-06,3.648129076112031e-06
YEM,Yemen,2.1522441526742314e-06,1.1285709881805466e-06,3.2808151408547777e-06
SYC,Seychelles,1.1226445132809024e-06,1.7995886605233917e-06,2.922233173804294e-06
KNA,St. Kitts and Nevis,1.0319335999545653e-06,1.7859859011025868e-06,2.817919501057152e-06
GIN,Guinea,1.3389395564894945e-06,1.405012984092965e-06,2.7439525405824594e-06
TCA,Turks and Caicos Islands,7.228229779361869e-07,1.6487483230006218e-06,2.3715713009368087e-06
WSM,Samoa,1.5312508948892336e-06,8.372924580481103e-07,2.368543352937344e-06
MLI,Mali,7.941565560172509e-07,1.5051433897668782e-06,2.2992999457841287e-06
MDV,Maldives,6.160299855589326e-07,1.3496758865969744e-06,1.9657058721559072e-06
TLS,Timor-Leste,1.1229492314980071e-06,8.275078532484229e-07,1.9504570847464304e-06
BFA,Burkina Faso,1.072431726833309e-06,7.083104121151319e-07,1.7807421389484411e-06
BDI,Burundi,1.134773881193921e-06,5.853031659422954e-07,1.7200770471362164e-06
COG,Congo Republic,2.148904363448315e-07,1.4574342164690547e-06,1.6723246528138861e-06
CPV,Cabo Verde,1.0376888899920393e-06,5.620757841792468e-07,1.5997646741712862e-06
VCT,St. Vincent and the Grenadines,4.278541645687858e-07,9.7691918293578e-07,1.4047733475045657e-06
LCA,St. Lucia,6.436621673285406e-07,6.87754109948489e-07,1.3314162772770297e-06
GUF,French Guiana,3.0348611518514665e-07,7.503837297379356e-07,1.0538698449230824e-06
CUW,Curacao,2.915626524557876e-07,7.59740832086189e-07,1.0513034845419767e-06
COM,Comoros,5.741427476183639e-07,4.280283857610964e-07,1.0021711333794603e-06
NIU,Niue,5.722664580831873e-07,4.227732100223782e-07,9.950396681055656e-07
NER,Niger,4.6274396005863246e-07,5.060555488439738e-07,9.687995089026064e-07
BMU,Bermuda,6.647238663425025e-07,2.788793936931354e-07,9.436032600356379e-07
SOM,Somalia,3.206848992500721e-07,6.054625743126824e-07,9.261474735627546e-07
ATG,Antigua and Barbuda,2.2136964111445419e-07,6.068868170944848e-07,8.28256458208939e-07
TON,Tonga,2.8506903481007223e-07,4.243100892949557e-07,7.093791241050279e-07
MTQ,Martinique,5.752861464957842e-07,1.0683782586637589e-07,6.821239723621601e-07
IRN,Iran,5.783863748407223e-07,9.284002003282672e-08,6.71226394873549e-07
BTN,Bhutan,5.0859413544771346e-08,6.057367667609132e-07,6.565961803056846e-07
MYT,Mayotte,2.6597570078871983e-07,3.7248180610686183e-07,6.384575068955816e-07
MRT,Mauritania,2.8076740517279636e-07,3.2641224712777727e-07,6.071796523005736e-07
GMB,Gambia,1.8069768421800146e-07,4.2478569481394226e-07,6.054833790319438e-07
NRU,Nauru,4.262903047233414e-07,1.328962840622672e-07,5.591865887856086e-07
DJI,Djibouti,3.037144632286123e-07,2.0741122702950436e-07,5.111256902581166e-07
VGB,British Virgin Islands,4.142772039046625e-07,7.98764102457731e-08,4.941536141504356e-07
TJK,Tajikistan,1.457625030890604e-07,3.4573752270292054e-07,4.91500025791981e-07
AND,Andorra,2.554921290500598e-07,2.1458817621846212e-07,4.7008030526852197e-07
CXR,Christmas Island,3.078966921007198e-07,1.5766717030165004e-07,4.6556386240236985e-07
FSM,"Micronesia, Fed. Sts.",1.949999887898289e-07,2.269496471291429e-07,4.219496359189718e-07
ABW,Aruba,1.656755693300401e-07,2.4400098349895866e-07,4.096765528289987e-07
SSD,South Sudan,1.156528811390956e-07,2.7898893035617266e-07,3.9464181149526826e-07
DMA,Dominica,1.4139205756017232e-07,2.2520978203477255e-07,3.666018395949449e-07
MSR,Montserrat,1.5043756665748527e-07,2.1549792896309842e-07,3.659354956205837e-07
SLB,Solomon Islands,2.0938004484189647e-07,1.5295510083387318e-07,3.623351456757697e-07
AIA,Anguilla,2.467193070260144e-07,4.608681949845035e-08,2.9280612652446476e-07
GLP,Guadeloupe,2.124714142432887e-07,5.406515294223815e-08,2.665365671855269e-07
PLW,Palau,1.8561126501641848e-07,5.091721702565631e-08,2.365284820420748e-07
ERI,Eritrea,1.4337840747873624e-07,6.362848003237157e-08,2.0700688751110782e-07
SXM,Sint Maarten,1.0109251687606292e-07,8.137239465077665e-08,1.8246491152683957e-07
CCK,Cocos (Keeling) Islands,6.822367834483256e-08,1.0607372291617767e-07,1.7429740126101023e-07
CAF,Central African Republic,5.241736191414308e-08,9.158246345540283e-08,1.439998253695459e-07
KIR,Kiribati,3.7920685123773564e-08,6.576581570535231e-08,1.0368650082912587e-07
TUV,Tuvalu,5.921189280388876e-08,2.7447058524030214e-08,8.665895132791897e-08
STP,Sao Tome and Principe,3.624730018643589e-08,4.034486841677817e-08,7.659216860321407e-08
GIB,Gibraltar,6.202378230314083e-08,6.632330758968903e-09,6.865611306210974e-08
VAT,Vatican,3.267657744922e-08,7.2038137878231194e-09,3.988039123704312e-08
COK,Cook Islands,2.5246630807961563e-08,1.2443966442661421e-08,3.7690597250622984e-08
GNB,Guinea-Bissau,8.842864494766976e-09,8.326405890127484e-09,1.7169270384894458e-08
NFK,Norfolk Island,3.4958071547384174e-09,1.3253858883716493e-08,1.674966603845491e-08
SJM,Svalbard and Jan Mayen Islands,4.597282374744132e-09,3.8135526863166906e-09,8.410835061060824e-09
PCN,Pitcairn,1.1121997896303781e-09,8.288643225595243e-10,1.9410641121899026e-09
TKL,Tokelau,1.9487839005307304e-10,1.2501493733898605e-10,3.198933273920591e-10
