Country,original_impVal,june_2025_impVal,difference,percent_change
Anguilla,1190598.0,1190598.0,0.0,0.0
Belize,81128498.0,81128498.0,0.0,0.0
British Indian Ocean Territories,462491.0,462491.0,0.0,0.0
Central African Republic,1422027.0,1422027.0,0.0,0.0
Chad,80814038.0,80814038.0,0.0,0.0
Christmas Island,1747242.0,1747242.0,0.0,0.0
Cuba,4869872.0,4869872.0,0.0,0.0
Equatorial Guinea,127640788.0,127640788.0,0.0,0.0
Eritrea,852918.0,852918.0,0.0,0.0
Falkland Islands (Islas Malvinas),22756661.0,22756661.0,0.0,0.0
Heard and McDonald Islands,13589.0,13589.0,0.0,0.0
Guinea-Bissau,122848.0,122848.0,0.0,0.0
French Guiana,1821129.0,1821129.0,0.0,0.0
French Southern and Antarctic Lands,36412.0,36412.0,0.0,0.0
Greenland,32585481.0,32585481.0,0.0,0.0
Gibraltar,431179.0,431179.0,0.0,0.0
Maldives,4765289.0,4765289.0,0.0,0.0
Kiribati,808162.0,808162.0,0.0,0.0
Pitcairn Islands,9335.0,9335.0,0.0,0.0
Palau,2234213.0,2234213.0,0.0,0.0
Norfolk Island,191165.0,191165.0,0.0,0.0
Micronesia,2440090.0,2440090.0,0.0,0.0
"Korea, North",57465.0,57465.0,0.0,0.0
Reunion,44066856.0,44066856.0,0.0,0.0
Samoa,5717674.0,5717674.0,0.0,0.0
Sao Tome and Principe,572291.0,572291.0,0.0,0.0
"Svalbard, Jan Mayen Island",41855.0,41855.0,0.0,0.0
Sudan,13133891.0,13133891.0,0.0,0.0
St Pierre and Miquelon,3435723.0,3435723.0,0.0,0.0
St Vincent and the Grenadines,8263880.0,8263880.0,0.0,0.0
Somalia,2482732.0,2482732.0,0.0,0.0
Solomon Islands,1345899.0,1345899.0,0.0,0.0
South Sudan,805202.0,805202.0,0.0,0.0
St Helena,10636649.0,10636649.0,0.0,0.0
Tajikistan,4633938.0,4633938.0,0.0,0.0
Timor-Leste,5912676.0,5912676.0,0.0,0.0
Uzbekistan,42437585.0,42437585.0,0.0,0.0
Vanuatu,13667021.0,13667021.0,0.0,0.0
Vatican City,170599.0,170599.0,0.0,0.0
Wallis and Futuna,39214.0,39214.0,0.0,0.0
West Bank Administered by Israel,5998891.0,5998891.0,0.0,0.0
Yemen,8915258.0,8915258.0,0.0,0.0
