U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,Used,Other
23PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,1,1,0,0,359,209,193,247,70,18,225,55,392,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,84,0,6,248,21,16,1,0,0,3,0,25,0,0,0,0,0,0,55,1,1,1,1,2,1,1,3,2,0,0,1,1,0,0,1,0,1,1,1,0,10,0,0,0,0,0,0,2,0,0,0,0,2,15,0,27,3,12,0,0,0,0,0,1,0,42,13,1,1,0,4,0,5,0,5,0,0,4,7,0,2,3,1,0,0,1,17,0,19,0,6,48,46,1,1,12,0,0,0,0,56,0,9,9,0,0
327,0,0,0,79,0,7,0,0,293,49,157,161,137,33,176,163,16,498,25,9,49,5,0,10,57,6,0,9,2,0,25,29,65,10,92,2,17,13,7,10,12,96,0,1,0,1,0,37,1,2,2,18,113,0,0,0,0,0,0,1,0,1,0,0,46,3,0,3,0,0,5,46,19,0,0,0,5,0,0,0,0,4,0,0,0,41,70,62,0,66,0,1,2,0,0,2,0,0,0,0,67,0,0,0,142,16,54,1,5,0,0,50,5,59,2,10,1,9,0,15,172,4,47,0,11,1,176,14,0,9,0,1,33,0,11,58,81,86,0,0
3311IS,9,8,0,556,27,7,0,0,320,97,85,33,65,10,21,4,6,108,1669,100,1886,132,242,100,750,0,4,9,7,1,239,1,261,8,930,78,90,55,18,92,0,0,0,1,0,3,1,0,1,0,0,0,68,2,1,0,0,22,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,5,0,2,4,67,0,0,0,0,0,0,0,0,429,21,0,0,0,56,0,16,0,0,4,0,56,33,33,40,0,1,3,11,6,2,2,43,6,43,5,2,24,18,8,0,0,0,0,0,1,0,17,0,0
3313NF,0,0,0,0,0,0,0,0,3,16,1,18,5,22,15,3,5,8,513,1936,1102,9,8,15,383,1,15,166,40,1,811,1,424,11,584,49,98,73,65,146,4,90,0,0,0,52,0,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,6,25,0,1,0,12,50,0,0,0,0,13,0,0
332,21,87,5,622,58,28,1,76,894,425,433,843,804,760,459,457,105,31,36,25,1032,45,126,27,660,5,81,33,92,3,261,60,334,87,947,195,197,139,59,53,210,34,25,8,-2,105,7,9,37,14,2,138,199,4,28,3,3,8,6,11,4,11,2,0,13,16,4,7,6,14,3,25,144,0,17,5,45,30,4,6,38,38,5,3,2,410,138,125,4,24,38,11,4,0,0,0,5,1,0,148,147,2,77,2,134,14,70,8,26,22,3,110,68,129,12,5,4,0,2,4,45,2,213,1,27,92,191,159,15,50,0,558,71,9,73,23,177,190,0,0
33311,242,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,71,0,42,114,0,0
33312,0,0,0,146,138,54,0,0,0,44,1,398,21,8,101,4,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,7,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
