"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
3313NF,Nonferrous metal production and processing and foundries,0,0,0,0,15,0,5,0,61,667,50,505,114,559,510,96,164,151,9420,57970,30772,553,407,736,15294,19,550,3475,1138,43,15795,42,6836,224,23496,1074,2943,1940,1565,2515,137,2148,4,0,0,1234,0,16,0,0,0,7,693,8,0,0,0,335,0,0,0,0,19,0,0,0,0,0,0,0,24,3,6,0,426,0,0,0,0,110,0,0,7,0,11,38,254,79,37,151,617,0,0,0,0,0,0,1,0,0,0,0,0,0,965,0,469,0,0,21,0,49,34,65,0,0,0,0,0,0,17,0,38,0,117,1,172,604,0,15,0,160,1076,0,0,0,0,689,190561,62,0,0,0,0,2150,21265,-70576,0,0,0,0,0,0,0,0,0,0,0,0,-47099,143462
332,Fabricated metal products,250,1501,122,13303,1196,558,87,1299,7998,12995,19608,24155,16794,8739,15681,12412,4148,2505,2347,3356,45781,2100,1594,2096,21075,213,1928,1466,3063,93,12268,563,3617,1259,23936,9080,4070,4813,2714,2148,6621,6807,5209,610,61,5945,1034,2197,1557,944,81,6852,9626,56,398,88,1488,691,102,322,185,345,32,0,427,291,170,115,88,253,124,422,1754,288,455,1468,2286,414,1833,168,271,1205,256,765,60,4013,3551,3763,200,1862,1552,460,261,0,0,0,15,26,3,1841,3175,33,4127,29,5272,237,3206,86,333,741,71,1282,1664,4580,553,126,77,11,74,77,1965,29,2908,31,754,1523,4111,4981,257,666,0,4410,1629,272,630,871,2879,6529,435041,26188,15179,0,0,0,6649,31357,-103144,0,108,0,0,0,211,0,0,0,105,0,0,-23347,411694
33311,Agricultural implement manufacturing,1388,713,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,4,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,9,0,498,0,0,0,0,0,101,0,0,6,0,20,3,318,0,0,0,0,0,0,0,0,0,15,0,0,0,53,0,0,0,0,0,0,669,0,378,875,7502,1563,45150,0,0,0,2496,7187,-20694,0,1,0,0,0,20,0,0,0,42,0,0,35765,43267
33312,Construction machinery manufacturing,0,0,0,1994,2027,750,0,0,224,239,16,1992,79,79,582,17,0,0,0,0,0,89,280,7,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,69,0,0,2,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10300,0,38345,0,0,0,2888,8374,-26966,0,699,0,0,0,0,0,0,0,7805,0,0,31145,41445
33313,Mining and oil and gas field machinery manufacturing,0,0,0,2884,571,346,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,37,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,5,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4285,0,12756,0,0,0,1306,2019,-2924,0,0,0,0,0,0,0,0,0,0,0,0,13157,17442
3332OM,Other machinery,28,7,33,9604,1192,1634,805,42,5133,2871,6450,6782,10495,456,4725,1429,452,97,645,828,4807,1219,2907,1078,29665,1,18,136,152,3,2293,1790,11832,5375,14587,1176,2083,104,606,421,2076,2943,65,32,1,1082,1448,48,996,939,1,3065,2322,20,153,155,590,389,41,418,113,442,32,0,215,184,165,204,32,174,425,133,99,1,61,26,472,76,50,4591,28,1980,33,33,44,680,86,376,13,324,1210,8,57,0,665,0,0,6,2,237,905,25,2851,289,1455,253,755,72,255,518,3,4002,651,3691,2055,363,16,44,77,465,879,168,249,11,238,48,1034,7986,526,248,0,629,398,49,1971,918,1421,1621,201161,14619,186685,0,0,0,12173,90850,-184831,0,1722,0,0,0,88,0,0,0,1282,0,0,122588,323749
3341,Computer and peripheral equipment manufacturing,24,0,0,0,15,25,10,0,215,54,5,92,27,10,92,34,45,46,3,31,75,0,1,2,127,1572,230,339,1046,0,0,86,1037,66,8,2,6,14,10,7,56,1,0,3,0,36,494,82,0,0,1,0,160,0,0,0,0,0,15,0,0,0,0,0,306,303,502,153,97,342,110,461,174,0,0,0,170,2,4,69,0,90,168,0,32,15,235,449,67,445,401,195,949,0,0,3,233,0,0,643,63,722,675,473,726,1802,301,445,728,1896,580,1296,854,287,293,104,0,88,0,263,5,38,331,26,151,135,150,17,33,238,0,251,181,0,1261,278,282,94,27889,60160,63890,0,0,0,597,11171,-146710,0,564,0,0,0,225,0,0,0,3112,0,0,-6991,20898
3342,Communications equipment manufacturing,1,0,0,0,1,17,2,0,1237,287,343,670,182,38,68,1045,0,0,0,0,0,0,0,0,229,14,6746,393,2932,0,13,0,0,0,69,7880,0,0,0,0,0,0,0,0,0,1,13,37,0,0,0,0,21,5,391,574,0,593,645,0,530,358,0,0,50,99,167,15,12,37,12,95,16,0,54,0,150,3,1,0,0,93,881,0,103,462,4712,4941,1110,5865,1582,304,211,0,25,0,351,0,1,62,115,584,292,362,135,267,160,114,174,7225,3034,910,765,226,50,1050,0,48,0,16,114,0,155,9,37,2,4,790,0,248,0,7260,303,0,176,0,0,7,71381,12083,65155,0,0,0,1410,8828,-126570,0,4599,0,0,0,1530,0,0,0,1529,0,0,-31436,39945
3344,Semiconductor and other electronic component manufacturing,0,0,0,0,0,3,0,0,8,14,2,51,4,0,106,71,1244,666,794,962,4615,508,401,439,5057,556,3907,12030,4198,223,4420,116,2286,174,10454,832,451,919,753,1084,289,2178,260,414,18,1064,635,403,519,424,9,1919,2125,721,136,1229,635,1565,37020,0,16,752,169,0,261,0,6,14,137,0,1,4,15,4,1,1,8,0,1,2,0,0,5,2543,5,2,4270,2603,403,3029,10,197,144,0,0,0,0,0,0,0,25,1,6194,75,353,5,1891,0,67,0,0,0,359,4,742,0,0,0,0,1,108,65,0,0,0,0,0,5907,0,0,0,1160,1568,0,189,5,420,15,142668,283,0,0,0,0,1543,34607,-67994,0,0,0,0,0,1,0,0,0,7,0,0,-31553,111115
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0,3,1,111,13,28,62,24,539,275,544,921,55,1,175,31,15,13,0,0,1489,0,4,6,918,7,859,629,4797,0,476,186,968,195,23,7501,5004,0,424,2,1,0,0,0,0,17,99,11,867,353,0,7,497,0,0,0,25,28,0,20,5,5,61,0,364,61,19,16,5,102,0,41,0,1,0,0,7,0,0,1,0,0,25,39,20,0,38,49,8,57,396,0,0,0,0,0,0,1,0,0,51,56,711,88,4114,22,313,17,338,10,11,75,378,628,84,5118,507,54,842,1159,613,39,97,0,0,1,59,159,155,28,0,11390,3377,0,35,45,140,1495,61754,10364,95171,0,0,0,2389,33639,-56775,0,13206,0,0,0,935,0,0,0,413,0,0,99342,161096
334X,Other computer and electronic product manufacturing,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,43,54,23,888,1,461,6530,133,10,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,4,3,1,1,8,2,6,10,3,0,0,238,139,3,68,84,235,3,136,2,0,0,0,0,0,0,25,0,18,1,99,759,18,23,15,3,7,1,50,28,0,0,0,0,0,0,1,2,100,22,126,40,142,24,69,241,27,6,58,251,0,105,46,11,0,0,1,5,4,0,0,1,206,30,16,1,25,0,14,709,0,36,0,8,34,12579,28996,2284,0,133,0,563,1954,-39789,0,0,0,0,0,0,0,0,0,143,0,0,-5716,6863
335,"Electrical equipment, appliances, and components",3937,2090,102,293,70,622,15,6,4221,10723,7027,10407,6502,1401,8675,3334,510,119,1295,492,3382,447,676,156,15861,234,420,573,1179,22,12719,86,2352,153,5461,965,748,107,696,176,837,448,0,53,2,492,92,198,520,337,13,345,1280,1686,10,5,4,95,1,48,17,15,0,0,406,138,1225,73,1,210,34,163,103,1,349,35,154,216,2,101,1,181,0,8,0,4,835,3852,194,502,0,129,68,0,0,38,0,7,6,1325,762,0,4743,469,3448,148,862,4,2079,89,63,754,1426,1157,335,7,2,0,0,4,1168,780,585,55,464,545,700,2968,2382,76,0,2240,5604,58,642,361,640,4096,164829,64943,50056,0,9308,0,4113,29067,-171991,0,782,0,0,0,115,0,0,0,615,0,0,-12992,151837
336111,Automobile manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,23225,0,0,0,5123,16685,-71884,0,12614,0,0,0,12654,0,0,0,25599,0,0,25461,25461
336112,Light truck and utility vehicle manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225312,185449,0,0,0,7683,33350,-121395,0,0,0,0,0,0,0,0,0,0,0,0,330399,330399
33612,Heavy duty truck manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,192,32,1,0,0,0,0,0,0,0,0,1408,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,49,0,0,0,3430,0,32648,0,0,0,273,6922,-17932,0,385,0,0,0,53,0,0,0,12240,0,0,34589,38019
3362BP,"Motor vehicle body, trailer, and parts manufacturing",539,380,126,1882,733,235,27,5,0,2253,0,16,2,2,0,0,2024,526,564,214,1437,3609,3935,247,3592,9,545,109,247,14,706,12214,129051,10646,52362,870,1751,414,327,391,1984,1743,104,62,1,1180,144,234,198,232,27,798,689,318,143,477,875,3126,75,2737,475,1559,387,0,2139,2144,342,1747,766,492,129,3879,523,0,63,0,7152,518,1,113,5,1743,121,32,129,1071,112,149,4,48,648,148,23,0,0,0,0,0,0,0,3010,0,108,6,728,642,1924,398,437,693,446,12712,1980,1831,374,87,66,18,89,362,1961,135,2264,116,133,158,1609,19685,561,880,0,5673,219,3449,3855,327,4469,1523,346741,53126,25709,0,0,0,7381,44946,-151841,0,20,0,0,0,7,0,0,0,8,0,0,-20644,326097
3364,Aerospace product and parts manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,62921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,833,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53769,883,0,0,0,0,0,122406,1241,43495,0,0,0,832,79521,-31477,0,22425,0,0,0,2684,0,0,0,4,0,0,118725,241131
3365AO,All other transportation equipment manufacturing,0,0,31,0,1,0,0,0,25,1,0,0,0,0,2,0,23,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,3905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,1225,81,109,0,656,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,0,0,2,0,77,3,103,0,0,0,0,0,0,0,0,0,0,209,0,0,407,0,0,0,8204,56,3,0,0,0,111,19735,34975,17533,0,0,0,3048,8684,-20070,0,18946,0,0,0,12,0,0,0,244,0,0,63372,83107
337,Furniture and related products,0,0,0,0,0,0,0,0,52,1724,3288,6354,1042,180,8156,448,380,0,0,0,0,0,0,0,224,7,68,17,21,2,1,0,0,0,24,8,83,3343,211,5,0,0,0,0,0,0,0,0,0,0,0,0,349,3,1,1,0,299,0,507,1,237,0,0,166,0,0,10,0,0,286,414,1347,0,0,0,0,0,0,0,0,0,0,1,0,0,13,101,2,478,0,0,0,0,0,0,0,2620,261,94,0,12,5,0,0,23,218,0,554,6,0,0,4,0,0,10,2,20,41,169,129,1,275,293,316,2,327,166,79,83,0,0,0,95,0,0,0,1495,37154,66469,36488,0,864,0,2109,2945,-65972,0,0,0,0,0,7,0,0,0,744,0,0,43654,80808
3391,Medical equipment and supplies manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,64,12,13,28,5,0,47,75,0,0,0,0,0,47,0,0,30,48,1,14,0,3675,5,0,0,0,0,0,0,0,0,0,0,0,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,129,0,82,0,596,1,0,592,0,410,9,11306,9342,38,1298,102,25800,629,472,0,12,0,0,11,0,0,0,1611,388,0,11,5680,1,59,62869,29082,35930,0,0,0,1027,18583,-50253,0,64,0,0,0,12,0,0,0,485,0,0,34930,97799
3399,Other miscellaneous manufacturing,40,69,1,73,27,9,0,0,49,91,104,194,9,23,144,895,18,43,3,3,40,96,7,357,1541,0,0,1,0,0,477,115,483,30,1729,10,0,14,4,4563,32,10,0,55,89,0,4,2,273,10,0,20,56,1,56,83,12,308,180,420,66,163,3,0,1011,150,8,93,17,11,418,1335,15,0,1,0,9,25,0,78,49,129,1,3,4,0,43,85,7,76,34,73,37,0,0,15,0,0,0,280,84,11,30,258,481,237,108,381,592,12,56,1605,140,13,319,24,14,1,45,43,367,46,1727,144,261,35,1017,142,1720,430,0,13,201,0,1087,337,516,4,29613,110910,17280,0,0,0,1495,9384,-95342,0,8,0,0,0,1,0,0,0,111,0,0,43847,73460
311,Food manufacturing,0,34830,276,0,0,0,0,0,0,0,0,0,0,0,0,0,41,640,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,174983,11157,0,13,252,327,611,995,4752,15,904,2557,231,0,0,0,0,0,0,0,0,3136,96,0,0,792,278,0,0,1,0,0,0,119,1,202,20,0,0,5,0,0,21,0,4,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1894,0,3627,81,0,0,0,0,3961,0,0,0,0,3,6136,4362,19152,866,3100,3553,78539,0,2,784,0,3376,113,679,25228,17559,15033,0,425751,568290,0,0,0,0,2926,75665,-115732,0,0,0,0,0,0,0,0,0,0,0,0,531149,956900
3121,Beverage manufacturing,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,214,0,19,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,17,0,0,0,0,152,0,0,0,0,0,15,4,2,53,1381,355,15667,0,0,109,0,6,0,35,128,72,19,0,31367,130882,0,0,0,0,2498,3200,-32534,0,0,0,0,0,0,0,0,0,0,0,0,104046,135413
3122,Tobacco product manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3047,0,23469,0,28091,50561,0,0,0,0,1170,704,-2227,0,0,0,0,0,0,0,0,0,0,0,0,50208,78299
313TT,Textile mills and textile product mills,22,3,22,0,2,0,0,0,197,450,379,667,52,51,349,102,577,258,0,0,1,0,0,0,782,0,0,0,1,0,0,155,2081,112,894,477,264,3117,1031,568,70,17,0,9180,1799,3552,278,27,0,0,0,2,2809,98,229,340,56,1102,368,170,340,350,13,0,51,106,3935,6,20,9,1003,107,690,0,0,33,24,0,1,12,15,4,1,0,359,0,1,5,0,7,0,0,0,0,0,0,0,0,0,121,222,0,0,0,20,55,380,0,69,16,0,150,10,190,59,32,0,0,0,51,403,2289,1628,0,256,1625,525,58,582,61,0,991,562,4,185,1901,792,21,53061,30375,379,0,321,0,1375,7639,-43655,0,0,0,0,0,10,0,0,0,2,0,0,-3554,49507
315AL,Apparel and leather and allied products,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,304,0,1099,0,0,0,0,274,11,0,0,288,2068,0,1425,3,0,0,0,0,0,9,38,10,0,10,42,138,0,310,89,0,89,6,282,19,13,59,149,99,0,0,0,0,0,0,0,0,0,0,0,0,18,18,176,892,38,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,23,0,0,4,0,125,37,94,59,27,0,0,0,8,93,0,192,85,75,27,644,460,27,1431,0,348,127,275,532,507,2755,32,16234,178330,0,0,0,0,8796,3791,-186517,0,0,0,0,0,0,0,0,0,0,0,0,4400,20634
322,Paper products,403,11,0,181,155,33,23,0,133,588,78,936,319,150,1411,161,1360,2010,872,896,2223,72,56,97,1708,2,173,163,233,9,1368,281,3276,395,2190,265,279,1413,846,1462,17500,2244,6313,432,12,46094,9546,437,381,726,214,4558,5417,760,383,484,516,1587,610,1687,786,2595,120,0,191,1007,397,140,265,156,293,1209,287,35,64,3,285,1568,28,1163,565,272,697,350,109,7,82,298,17,137,177,736,429,0,13,1347,1,0,1,961,1051,402,709,259,497,1080,358,562,967,760,1733,3144,1422,475,231,274,226,57,519,217,1559,783,1178,52,159,2429,6454,231,176,582,0,121,2777,197,8729,3886,3803,51,191033,21180,0,0,0,0,-688,23441,-33319,0,0,0,0,0,0,0,0,0,0,0,0,10614,201647
323,Printing and related support activities,5,7,0,12,1,0,0,12,0,7,0,13,0,0,29,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,42,2,0,0,0,0,1219,1,0,1,74,56,0,805,1664,1136,404,1529,2525,814,255,1494,254,0,191,174,178,32,66,130,62,9372,215,6,8,0,312,83,3,210,32,15,3140,146,700,178,137,79,24,316,3931,883,1357,563,908,1598,0,0,0,131,536,670,374,243,648,1068,206,3077,791,1033,238,74,3105,16,581,759,281,77,145,184,3052,111,1414,581,239,619,1147,75,299,626,0,440,1695,50,7197,1521,1636,416,72786,3008,0,0,0,0,-1224,2462,-3461,0,0,0,0,0,0,0,0,0,0,0,0,785,73571
324,Petroleum and coal products,5289,2947,571,12475,3691,1375,20024,1045,1579,14609,4214,11891,3811,2272,8671,9180,948,633,1338,254,806,25,49,14,684,5,28,48,47,1,550,3,88,24,420,119,33,269,344,647,1861,473,229,82,4,1505,646,29594,4306,2213,102,1532,934,619,244,1536,325,1509,96,800,520,1447,77,0,1094,630,362,1051,94,671,130,976,410,47163,5617,3647,30643,2298,232,3145,13941,4785,79,647,143,58,95,669,60,722,142,4605,4142,0,4,97,400,35,16,6296,2847,67,1863,111,1834,120,751,67,204,1125,109,6478,1452,1999,1335,570,21,22,105,191,1691,891,1151,309,1153,818,5629,1284,768,1137,0,19885,2041,2011,85164,6204,76634,31260,556075,291458,0,0,0,0,13986,167704,-94299,0,0,0,0,0,0,0,0,0,0,0,0,378849,934924
3251,Basic chemical manufacturing,1210,7,0,11090,690,462,1306,138,63,124,7,63,8,34,11,57,351,2093,1160,265,1182,21,58,16,257,1,29,748,75,0,391,15,161,13,945,206,49,34,213,424,2582,175,123,687,2,3698,1343,53949,55121,40266,1335,23643,12847,0,26,17,0,261,0,55,60,300,4,0,23,22,19,0,5,11,0,31,0,0,25,2,114,2,1,1,12,2,7,0,10,0,273,130,28,6,0,10,10,0,0,0,0,329,15,10360,0,2,88,35,4707,241,1515,68,321,14,1,2270,1241,1058,134,1933,302,1985,173,3158,2540,186,9,0,15,17,1417,682,15,15,0,1363,1197,38,4328,22590,3683,2489,291749,1246,2451,0,0,0,2326,66353,-80024,0,0,0,0,0,0,0,0,0,0,0,0,-7648,284101
3252,"Resin, rubber, and artificial fibers manufacturing",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1158,1596,384,37,823,0,0,0,429,0,20,136,139,8,1473,0,0,1,3322,33,248,395,2607,1871,412,0,931,10040,18,1607,0,3,194,13136,0,7754,68759,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,345,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,44,118148,0,0,0,0,0,1318,42976,-29857,0,0,0,0,0,0,0,0,0,0,0,0,14437,132585
3254,Pharmaceutical and medicine manufacturing,0,1730,361,0,0,0,0,0,0,239,0,0,0,0,0,0,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,68731,0,0,0,0,0,0,0,275,0,0,0,2,0,0,0,0,0,212,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,16186,0,3654,655,0,0,0,0,0,15246,1635,11723,10832,14337,28739,5206,47,326,473,0,0,0,79,0,0,6649,154,0,11,1005,0,52,193854,244520,0,0,0,0,3461,50621,-211585,0,0,0,0,0,0,0,0,0,0,0,0,87017,280871
325X,Other chemical manufacturing,21699,2317,2228,1705,1665,602,14,12,1140,5654,1123,3808,828,399,3514,1421,1369,548,139,157,5659,444,178,77,1273,9,81,412,563,6,957,268,6647,365,3241,476,501,1555,567,1227,1994,369,77,311,56,3083,2739,5366,3187,758,277,16007,3728,12,35,21,118,56,117,197,18,1771,10,0,87,65,29,109,28,94,14,118,141,1,141,2,233,17,1,41,3,392,53,376,382,23,121,223,18,358,1326,32,48,0,2,78,0,154,29,3308,213,92,192,7,988,239,1259,210,646,740,1082,7320,510,1140,481,109,47,21,229,295,885,150,670,8,540,56,326,936,4190,153,0,1066,2593,66,3846,6755,9844,1103,172209,74036,0,0,0,0,3315,35159,-49374,0,0,0,0,0,0,0,0,0,0,0,0,63136,235345
326,Plastics and rubber products,1574,349,86,172,1199,504,11,0,3728,9217,5609,6981,1843,1120,6675,2009,1557,1258,512,219,2627,2395,1517,306,6376,76,221,642,1289,155,2392,1171,12174,1237,11317,940,1926,2972,2351,2379,15869,5148,158,428,56,2828,3186,721,1898,1398,628,7092,24800,5554,1012,1176,2460,3982,1624,4610,1468,6451,391,0,1167,2073,657,845,518,1601,537,2769,1189,291,4,0,1301,101,75,146,1707,411,188,146,193,2538,2282,1567,68,366,945,49,164,0,1,1725,0,11,13,580,3515,29,2615,51,4792,602,3964,406,765,136,167,1339,1890,635,661,4424,1199,144,621,2468,5545,1704,2351,48,323,160,9715,3149,570,530,0,1737,1538,45,4453,10476,4029,4435,299483,50214,482,0,17,0,5452,28022,-87264,0,0,0,0,0,8,0,0,0,0,0,0,-3069,296414
4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,225,131,23,343,250,43,14,2,527,793,296,186,23,10,110,25,351,121,289,84,318,789,772,48,840,2,87,21,42,2,160,2310,23883,2013,9169,65,563,91,57,74,333,290,19,20,3,199,31,103,85,87,6,175,1990,345,466,200,199,643,24,509,79,427,61,0,422,355,68,289,121,111,24,952,92,86,15,1,1932,88,0,31,422,278,21,6,23,169,24,47,1,11,112,40,17,0,0,6,0,0,0,38,654,0,62,2,206,102,344,66,73,118,74,1822,350,370,140,21,12,5,15,69,340,28,433,9,82,28,323,3916,99,170,0,1208,151,539,662,101,868,374,71084,22685,26044,0,2,0,4470,18510,0,0,4558,0,0,0,4556,0,0,0,9732,0,0,90557,161641
4234,Professional and commercial equipment and supplies merchant wholesalers,34,13,5,247,35,50,127,18,200,143,123,254,255,57,265,70,92,86,55,76,258,40,77,56,859,301,155,113,867,27,312,70,605,138,470,191,74,61,3397,50,428,194,66,7,19,548,457,39,53,235,98,372,999,410,883,907,438,1184,192,366,312,1704,10,0,413,218,189,144,49,123,81,1543,162,20,7,2,66,18,5,935,11,333,105,8829,23,26,203,267,43,185,301,88,292,6,171,139,51,0,0,396,64,283,647,152,980,677,459,178,842,650,226,668,578,330,200,8773,4925,57,1116,359,13397,376,404,21,93,96,724,336,573,138,0,1114,1564,13,1279,4199,401,110,82693,53563,58519,28559,190,0,1441,36085,0,0,526,1029,0,0,125,1196,0,0,1119,2795,0,185147,267840
