Country,iso3,HS_Section,usummary_code,impVal,bea_total,weight
Albania,ALB,12,3399,35794.0,239310.0,0.14957168526179432
Albania,ALB,14,3399,99859.0,239310.0,0.41727884334127285
Albania,ALB,15,3399,2331.0,239310.0,0.009740503948852952
Albania,ALB,20,3399,80459.0,239310.0,0.33621244411015
Albania,ALB,11,S003,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,14,S003,91393.0,1871498.0,0.04883414248906491
Albania,ALB,17,S003,32500.0,1871498.0,0.017365767957005566
Albania,ALB,21,S003,1746122.0,1871498.0,0.9330076762037683
Andorra,AND,4,311,2912.0,2912.0,1.0
Andorra,AND,11,313TT,511.0,511.0,1.0
Andorra,AND,10,323,123903.0,123903.0,1.0
Andorra,AND,7,3252,584.0,584.0,1.0
Andorra,AND,7,326,18254.0,19679.0,0.9275877839321104
Andorra,AND,8,326,1425.0,19679.0,0.07241221606788963
Andorra,AND,14,3313NF,11165.0,11165.0,1.0
Andorra,AND,15,332,180445.0,197531.0,0.9135021844672482
Andorra,AND,16,332,17086.0,197531.0,0.08649781553275182
Andorra,AND,17,33311,3723.0,3723.0,1.0
Andorra,AND,15,3332OM,4500.0,24503.0,0.18365098151246786
Andorra,AND,16,3332OM,12497.0,24503.0,0.5100191813247358
Andorra,AND,18,3332OM,7506.0,24503.0,0.3063298371627964
Andorra,AND,16,3342,16798.0,16798.0,1.0
Andorra,AND,16,3344,1480605.0,1480605.0,1.0
Andorra,AND,16,3345,2500.0,50829.0,0.04918452064766177
Andorra,AND,18,3345,48329.0,50829.0,0.9508154793523382
Andorra,AND,16,335,27334.0,27334.0,1.0
Andorra,AND,16,3364,8506.0,8506.0,1.0
Andorra,AND,17,3365AO,16489.0,16489.0,1.0
Andorra,AND,20,337,30176.0,30176.0,1.0
Andorra,AND,18,3391,138761.0,138761.0,1.0
Andorra,AND,7,3399,832.0,778466.0,0.001068768578203801
Andorra,AND,12,3399,2925.0,778466.0,0.0037573895327477373
Andorra,AND,14,3399,115500.0,778466.0,0.14836871488285935
Andorra,AND,18,3399,248082.0,778466.0,0.3186805846369655
Andorra,AND,20,3399,411127.0,778466.0,0.5281245423692236
Andorra,AND,10,S003,101100.0,436774.0,0.23146982192163454
Andorra,AND,21,S003,335674.0,436774.0,0.7685301780783654
Anguilla,AIA,4,3121,235930.0,235930.0,1.0
Anguilla,AIA,11,313TT,2056.0,2056.0,1.0
Anguilla,AIA,8,315AL,1154.0,165172.0,0.006986656334003342
Anguilla,AIA,11,315AL,535.0,165172.0,0.0032390477804954835
Anguilla,AIA,12,315AL,163483.0,165172.0,0.9897742958855011
Anguilla,AIA,6,325X,53405.0,53405.0,1.0
Anguilla,AIA,7,326,68858.0,68858.0,1.0
Anguilla,AIA,13,327,55328.0,55328.0,1.0
