Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,327999,4000.0,Asia,RoAsia,RoAsia,3.8830082352479226e-06,4.343059248980605e-05,1030129157.0,92100977.0
Afghanistan,AFG,331510,23075.0,Asia,RoAsia,RoAsia,1.2510559705314084e-05,3.890599321306825e-05,1844441859.0,593096284.0
Afghanistan,AFG,332200,23799.0,Asia,RoAsia,RoAsia,2.169744608393404e-06,8.4041056059183e-06,10968572019.0,2831830193.0
Afghanistan,AFG,332500,16673.0,Asia,RoAsia,RoAsia,1.643940397035875e-06,7.721650834726017e-06,10142095194.0,2159253294.0
Afghanistan,AFG,332720,3294.0,Asia,RoAsia,RoAsia,4.6332600168743834e-07,1.074873809798414e-06,7109465016.0,3064545782.0
Afghanistan,AFG,332999,39388.0,Asia,RoAsia,RoAsia,2.558596155146786e-06,1.3562854623707767e-05,15394379422.0,2904108397.0
Afghanistan,AFG,333111,4822.0,Asia,RoAsia,RoAsia,3.624217820503887e-07,2.5351937507602327e-06,13304939821.0,1902024253.0
Afghanistan,AFG,333120,3732.0,Asia,RoAsia,RoAsia,1.1408093122361587e-07,1.0678196158074294e-06,32713617955.0,3494972320.0
Afghanistan,AFG,333413,2850.0,Asia,RoAsia,RoAsia,6.242472695003887e-07,2.426506622985506e-06,4565498544.0,1174528012.0
Afghanistan,AFG,333618,3728.0,Asia,RoAsia,RoAsia,2.538612552452404e-07,2.600372513127853e-06,14685186979.0,1433640750.0
Afghanistan,AFG,333914,7213.0,Asia,RoAsia,RoAsia,1.104485518442269e-06,6.752228709618614e-06,6530642439.0,1068239882.0
Afghanistan,AFG,333993,6113.0,Asia,RoAsia,RoAsia,1.2192357858615522e-06,2.5319683683631345e-05,5013796405.0,241432716.0
Afghanistan,AFG,33399A,3130.0,Asia,RoAsia,RoAsia,1.211224657883488e-07,6.083777875322831e-07,25841613937.0,5144829519.0
Afghanistan,AFG,334118,6919.0,Asia,RoAsia,RoAsia,2.1743776125081413e-07,4.338468292443812e-07,31820599882.0,15948024818.0
Afghanistan,AFG,334220,19714.0,Asia,RoAsia,RoAsia,1.6659452988172832e-07,4.045892533310621e-07,118335217933.0,48725960558.0
Afghanistan,AFG,33441A,20000.0,Asia,RoAsia,RoAsia,7.498808927715053e-07,2.359724992165412e-06,26670902263.0,8475563918.0
Afghanistan,AFG,334511,13500.0,Asia,RoAsia,RoAsia,1.9011725400946822e-06,7.959455927652069e-06,7100881017.0,1696095829.0
Afghanistan,AFG,334513,5459.0,Asia,RoAsia,RoAsia,6.136807136186999e-07,2.971526381327157e-06,8895505234.0,1837102990.0
Afghanistan,AFG,334516,8634.0,Asia,RoAsia,RoAsia,1.0393236957049263e-06,5.5908699257685615e-06,8307325269.0,1544303501.0
Afghanistan,AFG,335120,351.0,Asia,RoAsia,RoAsia,2.9182150847544755e-08,1.2640662856365612e-07,12027900268.0,2776753118.0
Afghanistan,AFG,335312,6081.0,Asia,RoAsia,RoAsia,3.2299735998827534e-07,1.975908327170055e-06,18826779266.0,3077571928.0
Afghanistan,AFG,335313,8137.0,Asia,RoAsia,RoAsia,3.8139743362817204e-07,2.6180550023317693e-06,21334700453.0,3108032487.0
Afghanistan,AFG,335920,30156.0,Asia,RoAsia,RoAsia,1.9390103350983726e-06,8.107002982816038e-06,15552263675.0,3719746997.0
