Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Armenia,ARM,S003,3021911.0,Asia,Europe,RoAsia,2.0496277755281708e-05,5.2006594741536384e-05,147437063260.0,58106303922.0
Aruba,ABW,313TT,300.0,North America,RoWorld,RoWorld,8.810532660237349e-09,2.8038874976741635e-07,34050154692.0,1069943071.0
Aruba,ABW,315AL,6886.0,North America,RoWorld,RoWorld,5.541639065450954e-08,4.515524897858071e-07,124259265511.0,15249611409.0
Aruba,ABW,321,4000.0,North America,RoWorld,RoWorld,1.7193219151478294e-07,1.2717848210946559e-06,23264985834.0,3145186146.0
Aruba,ABW,323,18088.0,North America,RoWorld,RoWorld,2.6636067456313826e-06,0.00014574462360830525,6790792233.0,124107494.0
Aruba,ABW,325X,1121496.0,North America,RoWorld,RoWorld,2.0625205518745136e-05,0.00020249622553859643,54375021814.0,5538355083.0
Aruba,ABW,326,4952.0,North America,RoWorld,RoWorld,6.443554189439103e-08,1.5246561873588313e-06,76851995877.0,3247945367.0
Aruba,ABW,327,47460.0,North America,RoWorld,RoWorld,1.5766235485219463e-06,2.2805335088739965e-05,30102303143.0,2081091982.0
Aruba,ABW,332,21183.0,North America,RoWorld,RoWorld,2.141844338349468e-07,7.049275764386361e-06,98900744656.0,3004989549.0
Aruba,ABW,3332OM,22363.0,North America,RoWorld,RoWorld,1.1218078876846024e-07,6.7264902313743264e-06,199347858448.0,3324616439.0
Aruba,ABW,3341,47171.0,North America,RoWorld,RoWorld,3.063176977428384e-07,0.00012616526612638622,153993714198.0,373882618.0
Aruba,ABW,3342,15739.0,North America,RoWorld,RoWorld,1.2971583009218425e-07,1.0507535971885795e-05,121334458476.0,1497877337.0
Aruba,ABW,3345,260437.0,North America,RoWorld,RoWorld,3.5004169355271655e-06,7.171638733681738e-05,74401708367.0,3631485211.0
Aruba,ABW,335,6016.0,North America,RoWorld,RoWorld,2.9429451402020706e-08,1.5166004828829216e-06,204421071865.0,3966766507.0
Aruba,ABW,3362BP,62618.0,North America,RoWorld,RoWorld,4.0719510096876874e-07,1.848152428819222e-05,153778863869.0,3388140449.0
Aruba,ABW,3365AO,4300.0,North America,RoWorld,RoWorld,2.7681560837059784e-07,1.4361131025769433e-05,15533806151.0,299419314.0
Aruba,ABW,337,2775.0,North America,RoWorld,RoWorld,5.823643742634876e-08,5.450839430156164e-06,47650579648.0,509095899.0
Aruba,ABW,3399,137099.0,North America,RoWorld,RoWorld,1.4024543993413083e-06,1.3437649144628256e-05,97756476121.0,10202603039.0
Aruba,ABW,S003,8921785.0,North America,RoWorld,RoWorld,6.0512498029527015e-05,0.0006835723611447494,147437063260.0,13051705287.0
Australia,AUS,111,94933219.0,Oceania,RoAsia,RoAsia,0.0018264790644755802,0.031714763697139145,51976078372.0,2993344674.0
Australia,AUS,112,41165316.0,Oceania,RoAsia,RoAsia,0.0029590379826045098,0.012436851055516585,13911722743.0,3309946852.0
Australia,AUS,113FF,112244798.0,Oceania,RoAsia,RoAsia,0.006834165042700032,0.02215407571924082,16424068968.0,5066552964.0
Australia,AUS,212,613702879.0,Oceania,RoAsia,RoAsia,0.10338726916066651,0.7701501045881399,5935961787.0,796861385.0
Australia,AUS,311,5010273092.0,Oceania,RoAsia,RoAsia,0.042514721848950145,0.1799621529065135,117847956522.0,27840704343.0
Australia,AUS,3121,274902570.0,Oceania,RoAsia,RoAsia,0.008917981733899984,0.1998292946041835,30825648471.0,1375687036.0
