Country,iso3,summary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Algeria,DZA,315AL,13743.0,Africa,RoWorld,RoWorld,1.1059939831032887e-07,9.01203291769728e-07,124259265511.0,15249611409.0
Algeria,DZA,322,10285.0,Africa,RoWorld,RoWorld,3.866219031063236e-07,3.6147101896756734e-06,26602217612.0,2845318009.0
Algeria,DZA,323,9839.0,Africa,RoWorld,RoWorld,1.4488736604526302e-06,7.927804907574719e-05,6790792233.0,124107494.0
Algeria,DZA,324,1679957473.0,Africa,RoWorld,RoWorld,0.027022604222467404,0.1159982420007601,62168600005.0,14482611495.0
Algeria,DZA,325,234782594.0,Africa,RoWorld,RoWorld,0.0005982070289561684,0.01782943883351769,392477156963.0,13168254828.0
Algeria,DZA,326,1995239.0,Africa,RoWorld,RoWorld,2.5962097369511888e-05,0.0006143080546465361,76851995877.0,3247945367.0
Algeria,DZA,327,85365292.0,Africa,RoWorld,RoWorld,0.002835839224476446,0.04101947090198342,30102303143.0,2081091982.0
Algeria,DZA,331,76758622.0,Africa,RoWorld,RoWorld,0.0005734787566520753,0.0022927297168644192,133847367683.0,33479141233.0
Algeria,DZA,332,33039.0,Africa,RoWorld,RoWorld,3.3406219654783586e-07,1.099471377895298e-05,98900744656.0,3004989549.0
Algeria,DZA,333,212039.0,Africa,RoWorld,RoWorld,8.457444832201115e-07,3.7959560939423214e-05,250712838460.0,5585918139.0
Algeria,DZA,334,544198.0,Africa,RoWorld,RoWorld,1.0083910009490415e-06,4.3261016969571166e-05,539669631609.0,12579408394.0
Algeria,DZA,335,85196.0,Africa,RoWorld,RoWorld,4.167672110449728e-07,2.147744260965648e-05,204421071865.0,3966766507.0
Algeria,DZA,3361MV,2194.0,Africa,RoWorld,RoWorld,5.233580367892175e-09,3.963146918624333e-07,419215880100.0,5536004708.0
Algeria,DZA,3364OT,81329.0,Africa,RoWorld,RoWorld,1.0405107965887699e-06,2.4242391435771094e-05,78162571947.0,3354825790.0
Algeria,DZA,339,803.0,Africa,RoWorld,RoWorld,5.164192491697288e-09,4.713038578240033e-08,155493816563.0,17037840592.0
Algeria,DZA,Other,32433464.0,Africa,RoWorld,RoWorld,0.00021998175548847403,0.002484998188880726,147437063260.0,13051705287.0
Andorra,AND,311FT,2912.0,Europe,Europe,Europe,1.9335600246233107e-08,7.875504667616257e-08,150603030830.0,36975408217.0
Andorra,AND,313TT,511.0,Europe,Europe,Europe,1.5007273964604284e-08,1.1289514494857752e-07,34050154692.0,4526323964.0
Andorra,AND,323,123903.0,Europe,Europe,Europe,1.824573565921966e-05,9.830396452376271e-05,6790792233.0,1260406949.0
Andorra,AND,325,584.0,Europe,Europe,Europe,1.4879846881255701e-09,2.474483913779515e-09,392477156963.0,236008808442.0
Andorra,AND,326,19679.0,Europe,Europe,Europe,2.560636165064057e-07,1.88184108805067e-06,76851995877.0,10457312323.0
Andorra,AND,331,11165.0,Europe,Europe,Europe,8.341591017645445e-08,3.284774277473578e-07,133847367683.0,33990159009.0
Andorra,AND,332,197531.0,Europe,Europe,Europe,1.9972650427158982e-06,8.471974651667246e-06,98900744656.0,23315815748.0
Andorra,AND,333,28226.0,Europe,Europe,Europe,1.1258298607034964e-07,3.3084231936844833e-07,250712838460.0,85315566805.0
Andorra,AND,334,1548232.0,Europe,Europe,Europe,2.8688514404340635e-06,2.926365893762886e-05,539669631609.0,52906302773.0
Andorra,AND,335,27334.0,Europe,Europe,Europe,1.337141995716147e-07,9.855719747176407e-07,204421071865.0,27734149003.0
Andorra,AND,3364OT,24995.0,Europe,Europe,Europe,3.19782210044834e-07,6.69221062515943e-07,78162571947.0,37349392301.0
Andorra,AND,337,30176.0,Europe,Europe,Europe,6.332766615414415e-07,5.823426348906128e-06,47650579648.0,5181829080.0
Andorra,AND,339,917227.0,Europe,Europe,Europe,5.898800481422202e-06,2.8191560170979638e-05,155493816563.0,32535517525.0
Andorra,AND,Other,436774.0,Europe,Europe,Europe,2.9624437054186615e-06,7.516809201740161e-06,147437063260.0,58106303922.0
Angola,AGO,111CA,69550.0,Africa,RoWorld,RoWorld,1.0555823509515522e-06,2.847348106568972e-06,65887801115.0,24426237115.0
Angola,AGO,113FF,55849.0,Africa,RoWorld,RoWorld,3.40043628097361e-06,1.67532237545071e-05,16424068968.0,3333627057.0
Angola,AGO,211,1689780168.0,Africa,RoWorld,RoWorld,0.009575482328878754,0.030743411605744328,176469457095.0,54963976987.0
Angola,AGO,311FT,4500.0,Africa,RoWorld,RoWorld,2.98798767541377e-08,2.355112408968109e-07,150603030830.0,19107368221.0
Angola,AGO,315AL,900.0,Africa,RoWorld,RoWorld,7.242920649006475e-09,5.90178972999167e-08,124259265511.0,15249611409.0
Angola,AGO,321,203279.0,Africa,RoWorld,RoWorld,8.73755098973339e-06,6.463178666182513e-05,23264985834.0,3145186146.0
Angola,AGO,323,3619.0,Africa,RoWorld,RoWorld,5.329275106390963e-07,2.916020526528398e-05,6790792233.0,124107494.0
Angola,AGO,324,59121164.0,Africa,RoWorld,RoWorld,0.0009509811061411243,0.004082217079454978,62168600005.0,14482611495.0
